代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11702798.6199999973
真實報酬,1702798.6199999973
趨勢值,0.1907011478

選擇檔數,6
找到最佳解世代,2583
找到最佳解實驗,1
Stock#,AAPL,AXP,DD,HD,MCD,PFE,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,11107,19552,18092,11122,10819,50382,
剩餘資金,60.6499999999,53.5200000001,30.9599999999,34.3000000001,107.2400000001,29.4400000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1745414.6299999997,1667839.1199999999,1656715.3999999999,1673895.3000000000,1694254.4500000000,1658604.8800000004,10096727.7799999993,
FS(3),1727976.6399999999,1672531.6000000001,1634281.3199999998,1677120.6799999999,1674022.9199999999,1684299.7000000002,10070236.8599999994,
FS(4),1737084.3799999997,1680938.9600000000,1651830.5599999998,1698919.8000000000,1664285.8199999998,1694879.9200000002,10127943.4399999995,
FS(5),1763963.3199999998,1678592.7200000000,1645860.2000000000,1705593.0000000000,1676727.6699999999,1678253.8600000003,10148994.7699999996,
FS(6),1778069.2100000000,1680352.3999999999,1633738.5599999998,1705593.0000000000,1676186.7199999997,1676742.4000000001,10150686.2900000010,
FS(7),1788954.0699999998,1675464.3999999999,1636090.5200000000,1726836.0200000000,1676186.7199999997,1685307.3400000003,10188843.0700000003,
FS(8),1725199.8899999999,1653370.6400000001,1625959.0000000000,1711487.6599999999,1694579.0200000000,1683795.8800000004,10094396.0899999999,
FS(9),1749191.0099999998,1648091.6000000001,1629939.2400000000,1722609.6599999999,1701935.9400000002,1675230.9400000002,10127002.3899999987,
FS(10),1775514.5999999999,1671162.9600000000,1633738.5599999998,1715714.0200000000,1701503.1799999999,1678253.8600000003,10175891.1799999997,
FS(11),1794951.8499999999,1696971.6000000001,1640432.6000000001,1670225.0399999998,1705398.0200000000,1681780.6000000003,10189763.7099999990,
FS(12),1787732.2999999998,1708702.8000000000,1647488.4800000000,1693358.8000000000,1719246.3400000001,1680772.9600000002,10237305.6799999997,
FS(13),1753411.6700000002,1683285.2000000002,1627768.2000000000,1664664.0399999998,1708319.1499999999,1660116.3400000003,10097568.5999999996,
FS(14),1749413.1499999999,1669403.2800000000,1633557.6400000001,1640418.0800000001,1706912.6799999999,1646009.3800000004,10045718.2099999990,
FS(15),1746192.1199999999,1667839.1199999999,1645317.4399999999,1659436.7000000000,1713404.0800000001,1650543.7600000000,10082737.2199999988,
FS(16),1774737.1099999999,1667839.1199999999,1669017.9600000000,1667333.3200000001,1727252.3999999999,1670192.7400000000,10176376.6500000004,
FS(17),1776958.5099999998,1667448.0800000001,1663952.2000000000,1658324.5000000000,1718272.6300000001,1674727.1200000003,10159687.0399999991,
FS(18),1769072.5400000000,1669012.2400000000,1657981.8400000001,1648870.8000000000,1713945.0300000000,1674223.3000000000,10133109.7499999981,
FS(19),1775625.6700000002,1671162.9600000000,1662866.6799999999,1664441.6000000001,1718380.8199999998,1682284.4200000002,10174766.1500000004,
FS(20),1793507.9399999999,1669989.8399999999,1666304.1599999999,1683793.8799999999,1727576.9699999997,1686314.9800000002,10227491.7699999977,
FS(21),1809502.0199999998,1670185.3600000001,1654725.2799999998,1666554.7800000000,1724439.4600000000,1687826.4400000002,10213237.3399999999,
FS(22),1814389.0999999999,1675464.3999999999,1672093.6000000001,1668334.3000000000,1726062.3100000001,1685307.3400000003,10241655.0499999989,
FS(23),1821608.6499999999,1683480.7200000000,1717323.6000000001,1666888.4400000002,1730822.6699999999,1708986.8800000004,10329114.9599999990,
FS(24),1822164.0000000000,1684262.8000000000,1730892.6000000001,1677009.4600000000,1729091.6300000001,1711002.1600000001,10354426.6500000004,
FS(25),1800283.2100000000,1668034.6400000001,1674264.6400000001,1700921.7600000000,1721410.1399999999,1702941.0400000000,10267859.4299999997,
FS(26),1798395.0199999998,1666470.4800000000,1671369.9199999999,1741294.6200000001,1711889.4199999999,1712513.6200000003,10301937.0800000001,
FS(27),1791175.4699999997,1650437.8399999999,1666485.0799999998,1756531.7600000000,1730065.3400000001,1712513.6200000003,10307213.1099999994,
FS(28),1761964.0599999998,1647309.5200000000,1670827.1599999999,1775772.8200000001,1728009.7300000000,1718055.6400000004,10301942.9299999978,
FS(29),1793841.1499999999,1675464.3999999999,1722389.3600000001,1761425.4400000002,1747700.3100000001,1729139.6800000002,10429964.3399999999,
FS(30),1786732.6700000002,1692279.1199999999,1765448.3199999998,1778553.3200000001,1691441.5100000002,1782040.7800000000,10496499.7199999988,
FS(31),1773293.2000000000,1694038.8000000000,1790596.2000000000,1779776.7400000002,1698690.2400000000,1766422.3600000003,10502821.5400000010,
FS(32),1758076.6099999999,1685240.3999999999,1803984.2799999998,1772658.6599999999,1698690.2400000000,1800178.3000000000,10518832.4899999984,
FS(33),1775847.8099999998,1700882.0000000000,1800004.0399999998,1761759.1000000001,1697824.7199999997,1781536.9600000002,10517858.6299999990,
FS(34),1762408.3399999999,1718087.7600000000,1797652.0799999998,1755197.1200000001,1695228.1600000001,1791109.5400000000,10519687.0000000000,
FS(35),1763074.7599999998,1740181.5200000000,1804888.8800000001,1753528.8200000001,1703342.4100000001,1786071.3400000003,10551091.7300000004,
FS(36),1733530.1399999999,1729036.8800000001,1814115.7999999998,1764873.2600000000,1729848.9600000000,1813277.6200000003,10584686.6600000001,
FS(37),1703763.3799999997,1728841.3600000001,1811763.8400000001,1770545.4800000000,1720652.8100000001,1812269.9800000002,10547840.8499999978,
FS(38),1687102.8799999997,1728450.3200000001,1802536.9199999999,1779220.6400000001,1719354.5300000000,1811766.1600000001,10528435.4499999993,
FS(39),1672219.5000000000,1724735.4399999999,1812306.6000000001,1791788.5000000000,1690684.1799999999,1789094.2600000000,10480832.4800000004,
FS(40),1700986.6299999997,1734120.3999999999,1786796.8800000001,1793568.0200000000,1659200.8899999999,1778514.0400000000,10453190.8599999994,
FS(41),1713093.2599999998,1749762.0000000000,1772685.1200000001,1789786.5399999998,1666774.1900000002,1786071.3400000003,10478176.4499999993,
FS(42),1702541.6099999999,1762470.8000000000,1779379.1599999999,1805802.2200000002,1703991.5500000000,1793628.6400000004,10547817.9799999986,
FS(43),1711871.4900000000,1768727.4399999999,1783721.2400000000,1819148.6200000001,1695228.1600000001,1798666.8400000003,10577367.7900000010,
FS(44),1708428.3199999998,1770291.6000000001,1814296.7200000000,1824264.7400000002,1698257.4800000000,1817308.1800000002,10632851.0399999991,
FS(45),1715870.0099999998,1787692.8800000001,1812849.3600000001,1837055.0399999998,1697175.5800000001,1820834.9200000002,10671481.7900000010,
FS(46),1704763.0099999998,1779481.0400000000,1815201.3199999998,1838389.6799999999,1700962.2300000000,1811766.1600000001,10650567.4399999995,
FS(47),1725977.3799999997,1782413.8399999999,1828589.3999999999,1847620.9400000002,1718164.4400000002,1813781.4400000002,10716551.4399999976,
FS(48),1724977.7500000000,1790039.1199999999,1834921.6000000001,1844618.0000000000,1726819.6399999999,1816300.5400000000,10737680.6499999985,
FS(49),1730975.5300000000,1792776.3999999999,1846862.3199999998,1843060.9200000002,1732445.5200000000,1820834.9200000002,10766959.6099999994,
FS(50),1731641.9500000000,1796686.8000000000,1843967.6000000001,1836943.8200000001,1737422.2600000002,1833934.2400000000,10780600.6699999999,
FS(51),1738861.5000000000,1798055.4399999999,1845234.0399999998,1837944.8000000000,1765227.0900000001,1836453.3400000003,10821780.2099999990,
FS(52),1732752.6499999999,1791212.2400000000,1839625.5200000000,1830604.2800000000,1773449.5300000000,1831415.1400000004,10799063.3599999994,
FS(53),1743748.5800000001,1815652.2400000000,1840349.2000000000,1829269.6400000001,1789245.2700000000,1830911.3200000003,10849180.2500000000,
FS(54),1775847.8099999998,1798055.4399999999,1827503.8800000001,1826489.1400000001,1785350.4299999999,1812773.8000000000,10826024.4999999981,
FS(55),1782400.9399999999,1792776.3999999999,1826237.4399999999,1816813.0000000000,1789569.8400000001,1823857.8400000003,10831659.4599999990,
FS(56),1774514.9699999997,1800401.6799999999,1823704.5599999998,1817925.2000000000,1793572.8700000001,1805216.5000000000,10815339.7799999993,
FS(57),1732530.5099999998,1796882.3200000001,1826418.3600000001,1815589.5800000001,1801470.7400000000,1825873.1200000003,10798768.6299999990,
FS(58),1735529.3999999999,1800597.2000000002,1834017.0000000000,1817702.7600000000,1799306.9400000002,1834941.8800000004,10822099.1799999997,
FS(59),1734640.8399999999,1806267.2800000000,1843424.8400000001,1832272.5800000001,1767282.7000000000,1833934.2400000000,10817826.4800000004,
FS(60),1744970.3499999999,1835204.2400000000,1851566.2400000000,1846619.9600000000,1773124.9600000000,1827384.5800000003,10878874.3300000001,
FS(61),1737306.5199999998,1828752.0800000001,1831665.0399999998,1847064.8400000001,1769879.2600000002,1821842.5600000001,10836514.2999999989,
FS(62),1748413.5199999998,1870984.3999999999,1882141.7200000000,1864637.6000000001,1774531.4299999999,1800682.1200000003,10941394.7899999991,
FS(63),1811057.0000000000,1872939.6000000001,1868934.5599999998,1861189.7800000000,1789461.6499999999,1793628.6400000004,10997215.2299999986,
FS(64),1851819.6899999999,1858862.1599999999,1846862.3199999998,1838612.1200000001,1798549.6099999999,1770956.7400000000,10965666.6400000006,
