代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12916373.8300000001
真實報酬,2916373.8300000001
趨勢值,0.1041143897

選擇檔數,4
找到最佳解世代,1708
找到最佳解實驗,1
Stock#,BA,CSCO,INTC,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,9766,74074,64036,48197,
剩餘資金,1.6599999999,2.5000000000,34.5600000001,21.6100000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2494824.0199999996,2507407.3999999999,2521772.2400000002,2480721.2000000002,10004724.8599999994,
FS(3),2497753.8199999994,2477037.0600000001,2519210.8000000003,2510121.3700000001,10004123.0500000007,
FS(4),2528321.3999999994,2488148.1600000001,2531377.6400000001,2514941.0700000003,10062788.2700000014,
FS(5),2525293.9399999995,2500000.0000000000,2537781.2400000002,2526508.3500000006,10089583.5299999993,
FS(6),2523438.3999999994,2500740.7399999998,2552509.5200000000,2483131.0500000003,10059819.7099999990,
FS(7),2548244.0399999996,2485185.1999999997,2539061.9600000000,2483613.0200000005,10056104.2200000007,
FS(8),2553224.6999999997,2488148.1600000001,2516649.3599999999,2459514.5200000005,10017536.7400000002,
FS(9),2557814.7199999997,2463703.7399999998,2509605.3999999999,2449875.1200000001,9980998.9800000004,
FS(10),2546388.5000000000,2479259.2799999998,2540342.6800000002,2457104.6700000004,10023095.1300000008,
FS(11),2536720.1599999997,2484444.4600000000,2546105.9199999999,2475901.5000000000,10043172.0400000010,
FS(12),2525684.5799999996,2488888.8999999999,2548027.0000000000,2506265.6100000003,10068866.0900000017,
FS(13),2539552.2999999998,2485185.1999999997,2577483.5600000001,2520724.7100000004,10122945.7699999996,
FS(14),2529786.2999999998,2500000.0000000000,2567237.8000000003,2539521.5400000000,10136545.6400000006,
FS(15),2585550.1599999997,2537037.0000000000,2589010.0400000000,2557354.4300000006,10268951.6300000008,
FS(16),2561818.7799999998,2544444.3999999999,2614624.4399999999,2586272.6300000004,10307160.2500000000,
FS(17),2597757.6599999997,2561481.4199999999,2622308.7600000002,2574705.3500000006,10356253.1899999995,
FS(18),2523731.3799999999,2540740.6999999997,2611422.6400000001,2647964.7900000000,10323859.5099999998,
FS(19),2532032.4799999995,2538518.4800000004,2647923.1600000001,2738093.1800000006,10456567.2999999989,
FS(20),2504590.0199999996,2550370.3199999998,2843232.9600000000,2697125.7300000004,10595319.0299999993,
FS(21),2531837.1599999997,2521481.4600000000,2841311.8799999999,2663869.8000000003,10558500.3000000007,
FS(22),2519434.3399999999,2529629.6000000001,2913032.2000000002,2650374.6400000006,10612470.7799999993,
FS(23),2524512.6599999997,2564444.3799999999,2991156.1200000001,2654230.4000000004,10734343.5599999987,
FS(24),2564846.2399999998,2534074.0400000000,3016130.1600000001,2656640.2500000000,10771690.6899999995,
FS(25),2556252.1599999997,2553333.2799999998,2967462.8000000003,2685076.4800000004,10762124.7200000007,
FS(26),2578909.2799999998,2548888.8399999999,2990515.7600000002,2700981.4900000002,10819295.3700000010,
FS(27),2599027.2399999998,2548148.1000000001,2995638.6400000001,2658086.1600000001,10800900.1400000006,
FS(28),2593558.2799999998,2555555.5000000000,2990515.7600000002,2687486.3300000001,10827115.8700000010,
FS(29),2565529.8599999994,2522222.1999999997,2964901.3599999999,2705319.2200000007,10757972.6399999987,
FS(30),2547462.7599999998,2517777.7600000002,2918795.4399999999,2703391.3400000003,10687427.3000000007,
FS(31),2562795.3799999999,2514814.8000000003,2929681.5600000001,2694715.8800000004,10702007.6200000010,
FS(32),2556349.8199999994,2521481.4600000000,2936725.5200000000,2698089.6700000004,10712646.4699999988,
FS(33),2567092.4199999999,2526666.6400000001,2911111.1200000001,2729417.7200000007,10734287.9000000004,
FS(34),2575295.8599999994,2657777.6200000001,2923277.9600000000,2758335.9200000004,10914687.3600000013,
FS(35),2561232.8199999994,2659259.1000000001,2857961.2400000002,2852802.0400000000,10931255.1999999993,
FS(36),2584378.2399999998,2703703.5000000000,2857320.8799999999,2855693.8600000003,11001096.4800000004,
FS(37),2607426.0000000000,2714814.6000000001,2877812.3999999999,2862441.4400000004,11062494.4399999995,
FS(38),2589456.5599999996,2699999.8000000003,2859241.9600000000,2847018.4000000004,10995716.7200000007,
FS(39),2596585.7399999998,2702962.7600000002,2865645.5600000001,2859067.6500000004,11024261.7099999990,
FS(40),2593655.9399999995,2731110.8799999999,2848996.2000000002,2874008.7200000007,11047771.7399999984,
FS(41),2617192.0000000000,2794814.5199999996,2864364.8399999999,2871598.8700000001,11147970.2300000004,
FS(42),2629985.4600000000,2776296.0199999996,2814416.7600000002,2909192.5300000003,11129890.7700000014,
FS(43),2703230.4600000000,2762962.6999999997,2871408.8000000003,2912084.3500000006,11249686.3100000005,
FS(44),2650298.7399999998,2785184.8999999999,2861163.0400000000,2886057.9700000007,11182704.6500000004,
FS(45),2714656.6800000002,2794073.7799999998,2848996.2000000002,2896661.3100000005,11254387.9700000007,
FS(46),2690925.2999999998,2763703.4399999999,2781758.3999999999,2912084.3500000006,11148471.4900000002,
FS(47),2717586.4799999995,2771110.8399999999,2782398.7600000002,2878346.4500000002,11149442.5299999993,
FS(48),2753720.6800000002,2770370.1000000001,2758705.4399999999,2920759.8100000005,11203556.0299999993,
FS(49),2792101.0599999996,2785925.6400000001,2775995.1600000001,2954497.7100000004,11308519.5700000003,
FS(50),2765342.2199999997,2811851.5400000000,2795846.3199999998,2983897.8800000004,11356937.9600000009,
FS(51),2831555.6999999997,2808147.8399999999,2774714.4399999999,2996429.1000000006,11410847.0800000001,
FS(52),2850111.0999999996,2825925.6000000001,2775354.8000000003,3099088.7100000004,11550480.2099999990,
FS(53),2870033.7399999998,2807407.1000000001,2770231.9199999999,3110174.0200000005,11557846.7799999993,
FS(54),2870619.6999999997,2828888.5600000001,2853478.7200000002,3122705.2400000007,11675692.2200000007,
FS(55),2892104.8999999994,2850370.0199999996,2962339.9199999999,3123669.1800000006,11828484.0199999996,
FS(56),2902945.1599999997,2837036.6999999997,3012288.0000000000,3096196.8900000001,11848466.7500000000,
FS(57),2909293.0599999996,2869629.2600000002,3045586.7200000002,3064868.8400000003,11889377.8800000008,
FS(58),2881264.6399999992,2854073.7200000002,2994357.9199999999,3121741.3000000003,11851437.5799999982,
FS(59),2881948.2599999998,2855555.1999999997,2990515.7600000002,3050409.7400000002,11778428.9600000009,
FS(60),2884487.4199999999,2850370.0199999996,2950813.4399999999,3067760.6600000001,11753431.5400000010,
FS(61),2887026.5799999996,2856295.9399999999,2952734.5200000000,3034022.7600000002,11730079.8000000007,
FS(62),2894155.7599999998,2858518.1600000001,2959778.4800000000,3034022.7600000002,11746475.1600000020,
FS(63),2880092.7199999997,2837036.6999999997,2955936.3199999998,3014743.9600000004,11687809.6999999993,
FS(64),2898941.0999999996,2878518.1400000001,3000121.1600000001,3060049.1400000006,11837629.5399999991,
FS(65),2908316.4600000000,2901481.0800000001,2898303.9199999999,3059567.1700000004,11767668.6300000008,
FS(66),2897280.8799999999,2888147.7600000002,2845154.0400000000,3057639.2900000000,11688221.9700000007,
FS(67),3016133.0999999996,2928147.7200000002,2865005.2000000002,3083665.6700000004,11892951.6900000013,
FS(68),3028926.5599999996,2958518.0600000001,2865005.2000000002,3111137.9600000004,11963587.7799999993,
FS(69),3109789.0399999996,2939999.5600000001,2793284.8799999999,3088967.3400000003,11932040.8200000003,
FS(70),3127660.8199999994,2956295.8399999999,2721564.5600000001,3095232.9500000002,11900754.1699999999,
FS(71),3204421.5799999996,2970369.8999999999,2779837.3199999998,3098606.7400000007,12053235.5400000010,
FS(72),3283428.5199999996,3027406.8799999999,2768951.2000000002,3116921.6000000006,12196708.1999999993,
FS(73),3273174.2199999997,3002962.4600000000,2762547.6000000001,3056675.3500000006,12095359.6299999990,
FS(74),3427965.3199999994,3051851.3000000003,2842592.6000000001,3075472.1800000006,12397881.4000000004,
FS(75),3322004.2199999997,3059258.6999999997,2848355.8399999999,3089931.2800000003,12319550.0399999991,
FS(76),3298272.8399999999,3058517.9600000000,2870128.0800000001,3239341.9800000000,12466260.8599999994,
FS(77),3300909.6599999997,3085925.3399999999,2929681.5600000001,3199820.4400000004,12516337.0000000000,
FS(78),3277373.5999999996,3118517.8999999999,2949532.7200000002,3235968.1900000004,12581392.4100000001,
FS(79),3268584.1999999997,3123703.0800000001,2914312.9199999999,3277417.6100000003,12584017.8100000005,
FS(80),3350813.9199999999,3103703.1000000001,2900865.3599999999,3263440.4800000000,12618822.8599999994,
FS(81),3351888.1800000002,3152591.9399999999,3206957.4399999999,3279345.4900000007,12990783.0500000026,
FS(82),3328449.7799999998,3174073.3999999999,3200553.8399999999,3257174.8700000001,12960251.8900000006,
