代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12172571.1199999992
真實報酬,2172571.1199999992
趨勢值,0.0720991996

選擇檔數,2
找到最佳解世代,2042
找到最佳解實驗,1
Stock#,INTC,NKE,
分配資金,5000000,5000000,
張數,111906,83500,
剩餘資金,39.9200000000,19.9999999998,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4978737.8600000003,5018370.0000000000,9997107.8600000013,
FS(3),4861236.5599999996,5045090.0000000000,9906326.5600000005,
FS(4),4862355.6200000001,4986640.0000000000,9848995.6199999992,
FS(5),4820950.3999999994,5060120.0000000000,9881070.4000000004,
FS(6),4851165.0200000005,5118570.0000000000,9969735.0199999996,
FS(7),4885855.8799999999,5169505.0000000000,10055360.8799999990,
FS(8),4848926.8999999994,5191215.0000000000,10040141.9000000004,
FS(9),4850045.9600000000,5369070.0000000000,10219115.9599999990,
FS(10),4841093.4799999995,5388275.0000000000,10229368.4800000004,
FS(11),4986571.2800000003,5409985.0000000009,10396556.2800000012,
FS(12),5176811.4799999995,5411655.0000000000,10588466.4800000004,
FS(13),5264098.1600000001,5364060.0000000000,10628158.1600000001,
FS(14),5322289.2800000003,5309785.0000000000,10632074.2800000012,
FS(15),5232764.4799999995,5408315.0000000000,10641079.4799999986,
FS(16),5226050.1200000001,5284735.0000000000,10510785.1199999992,
FS(17),5156668.3999999994,5314795.0000000000,10471463.3999999985,
FS(18),5160025.5800000001,5256345.0000000000,10416370.5800000001,
FS(19),5172335.2400000002,5256345.0000000000,10428680.2400000002,
FS(20),5165620.8799999999,5222945.0000000000,10388565.8799999990,
FS(21),5242836.0200000005,5301435.0000000000,10544271.0200000014,
FS(22),5064905.4799999995,5300600.0000000000,10365505.4799999986,
FS(23),4972023.5000000000,5297260.0000000000,10269283.5000000000,
FS(24),5006714.3600000003,5342350.0000000000,10349064.3599999994,
FS(25),5006714.3600000003,5389945.0000000000,10396659.3599999994,
FS(26),4881379.6399999997,5351535.0000000000,10232914.6400000006,
FS(27),4756044.9199999999,5362390.0000000000,10118434.9199999999,
FS(28),4857879.3799999999,5368235.0000000009,10226114.3800000008,
FS(29),4838855.3600000003,5399965.0000000000,10238820.3600000013,
FS(30),4827664.7599999998,5295590.0000000000,10123254.7599999998,
FS(31),4967547.2599999998,5328155.0000000000,10295702.2599999998,
FS(32),4977618.7999999998,5353205.0000000000,10330823.7999999989,
FS(33),5015666.8399999999,5612054.9999999991,10627721.8399999999,
FS(34),5119739.4199999999,5543585.0000000000,10663324.4199999999,
FS(35),5154430.2800000003,5606210.0000000000,10760640.2800000012,
FS(36),5092881.9799999995,5678020.0000000000,10770901.9799999986,
FS(37),5069381.7199999997,5653804.9999999991,10723186.7199999988,
FS(38),5604292.3999999994,5681360.0000000009,11285652.4000000004,
FS(39),5593101.7999999998,5642950.0000000000,11236051.7999999989,
FS(40),5459933.6600000001,5622075.0000000000,11082008.6600000001,
FS(41),5387194.7599999998,5696390.0000000000,11083584.7599999998,
FS(42),5332360.8199999994,5648795.0000000009,10981155.8200000003,
FS(43),5164501.8199999994,5612890.0000000000,10777391.8199999984,
FS(44),4982095.0400000000,5376585.0000000000,10358680.0400000010,
FS(45),5025738.3799999999,5445890.0000000000,10471628.3799999990,
FS(46),5058191.1200000001,5480125.0000000000,10538316.1199999992,
FS(47),4784021.4199999999,5217935.0000000000,10001956.4199999999,
FS(48),4918308.6200000001,5468435.0000000000,10386743.6199999992,
FS(49),5016785.8999999994,5509350.0000000000,10526135.9000000004,
FS(50),4975380.6799999997,5500165.0000000000,10475545.6799999997,
FS(51),5078334.2000000002,5674679.9999999991,10753014.1999999993,
FS(52),5138763.4400000004,5702235.0000000009,10840998.4400000013,
FS(53),5098477.2800000003,5703070.0000000000,10801547.2799999993,
FS(54),5183525.8399999999,5635435.0000000000,10818960.8399999999,
FS(55),5141001.5599999996,5598695.0000000000,10739696.5599999987,
FS(56),5125334.7199999997,5605375.0000000000,10730709.7199999988,
FS(57),5341313.2999999998,5691380.0000000000,11032693.2999999989,
FS(58),5495743.5800000001,5815795.0000000009,11311538.5800000001,
FS(59),5585268.3799999999,5680525.0000000000,11265793.3800000008,
FS(60),5515886.6600000001,5597025.0000000000,11112911.6600000001,
FS(61),5353622.9600000000,5537739.9999999991,10891362.9599999990,
FS(62),5481195.7999999998,5501835.0000000000,10983030.8000000007,
FS(63),5567363.4199999999,5431695.0000000000,10999058.4199999999,
FS(64),5674793.1799999997,5447560.0000000000,11122353.1799999997,
FS(65),5743055.8399999999,5358215.0000000000,11101270.8399999999,
FS(66),5678150.3600000003,5436705.0000000000,11114855.3599999994,
FS(67),5840414.0599999996,5536070.0000000000,11376484.0599999987,
FS(68),5765437.0400000000,5579489.9999999991,11344927.0399999991,
FS(69),5794532.5999999996,5525215.0000000000,11319747.5999999996,
FS(70),5803485.0800000001,5527720.0000000000,11331205.0800000001,
FS(71),5693817.2000000002,5543585.0000000000,11237402.2000000011,
FS(72),5726269.9400000004,5503505.0000000000,11229774.9399999995,
FS(73),5688221.8999999994,5486804.9999999991,11175026.8999999985,
FS(74),5768794.2199999997,5577820.0000000000,11346614.2199999988,
FS(75),5769913.2800000003,5540244.9999999991,11310158.2799999993,
FS(76),5688221.8999999994,5379090.0000000000,11067311.9000000004,
FS(77),5523720.0800000001,5396625.0000000000,10920345.0800000001,
FS(78),5872866.7999999998,5502670.0000000009,11375536.8000000007,
FS(79),5728508.0599999996,5525215.0000000000,11253723.0600000005,
FS(80),5550577.5200000005,5464260.0000000000,11014837.5199999996,
FS(81),5828104.3999999994,5547760.0000000000,11375864.3999999985,
FS(82),5474481.4400000004,5354040.0000000000,10828521.4400000013,
FS(83),5567363.4199999999,5569470.0000000000,11136833.4199999999,
FS(84),5594220.8600000003,5713090.0000000000,11307310.8600000013,
FS(85),5637864.2000000002,5810785.0000000000,11448649.2000000011,
FS(86),5459933.6600000001,5640445.0000000000,11100378.6600000001,
FS(87),5544982.2199999997,5609550.0000000009,11154532.2200000007,
FS(88),5737460.5400000000,5594520.0000000000,11331980.5400000010,
FS(89),5718436.5200000005,5580325.0000000000,11298761.5199999996,
FS(90),5899724.2400000002,5658815.0000000000,11558539.2400000002,
FS(91),5803485.0800000001,5615395.0000000000,11418880.0800000001,
FS(92),5863914.3199999994,5599530.0000000000,11463444.3200000003,
FS(93),5991487.1600000001,5637105.0000000000,11628592.1600000001,
FS(94),5999320.5800000001,5527720.0000000000,11527040.5800000001,
FS(95),5843771.2400000002,5488475.0000000000,11332246.2400000002,
FS(96),5766556.0999999996,5518535.0000000000,11285091.0999999996,
FS(97),5718436.5200000005,5584500.0000000000,11302936.5199999996,
FS(98),5757603.6200000001,5592015.0000000000,11349618.6199999992,
FS(99),5749770.2000000002,5566965.0000000000,11316735.2000000011,
FS(100),5936653.2199999997,5682195.0000000000,11618848.2199999988,
FS(101),5900843.2999999998,5808280.0000000000,11709123.3000000007,
FS(102),5776627.6399999997,5710585.0000000000,11487212.6400000006,
FS(103),5967986.8999999994,5686369.9999999991,11654356.8999999985,
FS(104),5853842.7800000003,5699730.0000000000,11553572.7800000012,
FS(105),5850485.5999999996,5586170.0000000009,11436655.5999999996,
FS(106),5906438.5999999996,5686369.9999999991,11592808.5999999996,
FS(107),5967986.8999999994,5789910.0000000000,11757896.9000000004,
FS(108),6001558.7000000002,5716429.9999999991,11717988.6999999993,
FS(109),6081011.9600000000,5673845.0000000000,11754856.9600000009,
FS(110),6152631.7999999998,5671340.0000000000,11823971.8000000007,
FS(111),6117940.9400000004,5713925.0000000009,11831865.9400000013,
FS(112),6143679.3199999994,5748160.0000000000,11891839.3200000003,
FS(113),6034011.4400000004,5803270.0000000000,11837281.4399999995,
FS(114),6114583.7599999998,5956910.0000000000,12071493.7599999998,
FS(115),6133607.7800000003,5923510.0000000000,12057117.7799999993,
FS(116),6133607.7800000003,5955239.9999999991,12088847.7799999993,
FS(117),6078773.8399999999,5960250.0000000000,12039023.8399999999,
FS(118),6093321.6200000001,5954405.0000000000,12047726.6200000010,
FS(119),6178370.1799999997,5956910.0000000000,12135280.1799999997,
FS(120),6126893.4199999999,6027050.0000000009,12153943.4199999999,
FS(121),6204108.5599999996,6032895.0000000000,12237003.5600000005,
FS(122),6190679.8399999999,5921840.0000000000,12112519.8399999999,
FS(123),6230966.0000000000,6031225.0000000000,12262191.0000000000,
FS(124),6177251.1200000001,5995320.0000000000,12172571.1199999992,
