代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10934953.4499999993
真實報酬,934953.4499999993
趨勢值,0.0369107688

選擇檔數,3
找到最佳解世代,2265
找到最佳解實驗,1
Stock#,AAPL,INTC,NKE,
分配資金,3333333,3333333,3333333,
張數,19867,69954,49273,
剩餘資金,47.7400000000,24.9000000001,14.5499999997,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3188701.2399999998,3228402.0000000000,3312145.6099999999,9729249.8499999996,
FS(3),3109034.5699999998,3114376.9800000000,3172703.0200000000,9396115.5700000003,
FS(4),3238964.7500000000,3141659.0399999996,3213599.6099999999,9594224.4000000004,
FS(5),3169628.9199999995,3161945.7000000002,3233801.5399999996,9565377.1599999983,
FS(6),3082412.7900000000,2990558.3999999999,3079084.3199999998,9152056.5099999998,
FS(7),3107445.2099999995,3074503.2000000002,3226903.3199999994,9408852.7299999986,
FS(8),3232607.3100000001,3136062.7199999997,3251047.0899999999,9619718.1200000010,
FS(9),3264990.5200000000,3110179.7399999998,3245627.0600000001,9620798.3200000003,
FS(10),3325187.5299999998,3174537.4199999999,3348607.6299999994,9848333.5800000001,
FS(11),3436840.0699999998,3212312.5800000001,3364867.7200000002,10014021.3699999992,
FS(12),3425714.5499999998,3187129.1400000001,3365360.4499999997,9978205.1399999987,
FS(13),3414191.6899999995,3240294.1799999997,3325449.3199999994,9979936.1899999995,
FS(14),3398695.4299999997,3213711.6599999997,3303769.1999999997,9916177.2899999991,
FS(15),3427105.2399999998,3203918.0999999996,3307711.0399999996,9938735.3799999990,
FS(16),3486706.2399999998,3338929.3199999998,3358462.2299999995,10184098.7899999991,
FS(17),3555644.7299999995,3435465.8399999999,3431879.0000000000,10422990.5700000003,
FS(18),3544121.8699999996,3491429.0399999996,3352056.7399999998,10387608.6499999985,
FS(19),3538757.7799999998,3448057.5600000001,3302783.7399999998,10289600.0800000001,
FS(20),3476772.7399999998,3346624.2600000002,3267799.9099999997,10091197.9100000001,
FS(21),3500811.8100000001,3426371.8199999998,3246612.5200000000,10173797.1500000004,
FS(22),3512930.6799999997,3480236.3999999999,3205223.1999999997,10198391.2799999993,
FS(23),3509950.6299999994,3547392.2399999998,3214585.0699999994,10271928.9399999995,
FS(24),3477368.7500000000,3590064.1799999997,3161862.9600000000,10229296.8899999987,
FS(25),3515314.7199999997,3549490.8599999999,3208179.5799999996,10272986.1600000001,
FS(26),3575710.3999999994,3650924.1599999997,3266814.4499999997,10493450.0099999998,
FS(27),3610278.9799999995,3604054.9800000000,3292436.4099999997,10506771.3699999992,
FS(28),3575511.7299999995,3622243.0200000000,3260408.9600000000,10458164.7099999990,
FS(29),3545115.2199999997,3627839.3399999999,3261887.1499999999,10434842.7099999990,
FS(30),3549287.2900000000,3559284.4199999999,3271249.0200000000,10379821.7300000004,
FS(31),3536771.0800000001,3579571.0800000001,3247597.9799999995,10363941.1400000006,
FS(32),3482732.8399999999,3555786.7199999997,3237743.3799999994,10276263.9399999995,
FS(33),3481540.8199999998,3606153.5999999996,3291450.9499999997,10379146.3699999992,
FS(34),3402668.8300000001,3606853.1400000001,3269278.0999999996,10278801.0699999984,
FS(35),3354590.6899999995,3555786.7199999997,3174181.2100000000,10084559.6199999992,
FS(36),3276910.7199999997,3452954.3399999999,3184528.5399999996,9914394.5999999996,
FS(37),3432469.3300000001,3671210.8199999998,3247105.2500000000,10350786.4000000004,
FS(38),3344458.5200000000,3580970.1599999997,3260408.9600000000,10185838.6399999987,
FS(39),3307505.8999999994,3469743.2999999998,3224439.6699999999,10001689.8699999992,
FS(40),3333333.0000000000,3643229.2199999997,3273712.6699999999,10250275.8899999987,
FS(41),3311479.2999999998,3422174.5800000001,3159399.3100000001,9893054.1899999995,
FS(42),3345451.8699999996,3480236.3999999999,3286523.6499999999,10112212.9199999999,
FS(43),3409423.6099999999,3497025.3599999999,3371273.2100000000,10277723.1799999997,
FS(44),3433065.3399999999,3524307.4199999999,3428922.6200000001,10386296.3799999990,
FS(45),3345253.1999999997,3413080.5600000001,3328405.6999999997,10086740.4599999990,
FS(46),3378431.0899999999,3466245.5999999996,3310174.6899999999,10154852.3799999990,
FS(47),3442005.4899999998,3586566.4800000000,3301305.5499999998,10329878.5199999996,
FS(48),3425913.2199999997,3574674.2999999998,3292929.1399999997,10293517.6600000001,
FS(49),3459687.1199999996,3687999.7799999998,3339245.7599999998,10486933.6599999983,
FS(50),3471408.6499999994,3627839.3399999999,3313623.7999999998,10412872.7899999991,
FS(51),3493063.6799999997,3665614.5000000000,3304261.9299999997,10462941.1099999994,
FS(52),3541141.8199999998,3745362.0600000001,3326434.7800000003,10612939.6600000001,
FS(53),3533195.0200000000,3750258.8399999999,3261887.1499999999,10545342.0099999998,
FS(54),3433065.3399999999,3653022.7799999998,3238728.8399999999,10324817.9600000009,
FS(55),3292406.9799999995,3604754.5200000000,3256467.1200000001,10153629.6199999992,
FS(56),3282870.8199999998,3574674.2999999998,3295392.7899999996,10152938.9100000001,
FS(57),3237176.7199999997,3599158.2000000002,3299827.3599999999,10136163.2799999993,
FS(58),3251282.2900000000,3594261.4199999999,3285045.4600000000,10130590.1699999999,
FS(59),3262606.4799999995,3711084.5999999996,3353042.1999999997,10326734.2799999993,
FS(60),3224859.1799999997,3688699.3199999998,3427444.4299999997,10341003.9299999997,
FS(61),3283268.1599999997,3611050.3799999999,3369795.0200000000,10264114.5599999987,
FS(62),3359557.4399999995,3730671.7199999997,3355505.8499999996,10445736.0099999979,
FS(63),3507963.9299999997,3659318.6400000001,3363389.5300000003,10530673.0999999996,
FS(64),3514321.3699999996,3657220.0200000000,3296378.2500000000,10467920.6400000006,
FS(65),3652198.3500000001,3692197.0200000000,3355505.8499999996,10699902.2199999988,
FS(66),3678621.4599999995,3730671.7199999997,3416604.3700000001,10825898.5499999989,
FS(67),3696303.0899999999,3751657.9199999999,3373244.1299999994,10821206.1399999987,
FS(68),3722328.8599999999,3801325.2600000002,3348114.8999999999,10871770.0199999996,
FS(69),3775572.4199999995,3846095.8199999998,3346636.7100000000,10968305.9499999993,
FS(70),3746765.2700000000,3824410.0800000001,3371765.9399999999,10942942.2899999991,
