代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11985089.3599999975
真實報酬,1985089.3599999975
趨勢值,0.1129310042

選擇檔數,4
找到最佳解世代,1902
找到最佳解實驗,1
Stock#,CVX,MRK,NKE,V,
分配資金,2500000,2500000,2500000,2500000,
張數,22313,46554,37696,20764,
剩餘資金,51.4799999999,50.1999999999,1.2800000003,14.3999999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2491074.7999999998,2530725.6399999997,2483790.7200000002,2507682.6799999997,10013273.8399999999,
FS(3),2524767.4300000002,2532587.7999999998,2452126.0800000001,2530730.7199999997,10040212.0299999993,
FS(4),2535923.9300000002,2527932.3999999994,2459288.3200000003,2513704.2399999998,10036848.8900000006,
FS(5),2540163.3999999999,2535846.5799999996,2418953.6000000001,2530107.7999999998,10025071.3799999990,
FS(6),2529230.0299999998,2549347.2399999998,2454387.8400000003,2537790.4800000000,10070755.5899999980,
FS(7),2615581.3399999999,2567037.7599999998,2499246.0800000001,2585340.0400000000,10267205.2199999988,
FS(8),2605986.7500000000,2577279.6399999997,2518848.0000000000,2579733.7599999998,10281848.1499999985,
FS(9),2598623.4600000000,2577745.1799999997,2494345.6000000001,2558139.2000000002,10228853.4399999995,
FS(10),2568947.1699999999,2551209.3999999994,2495476.4800000004,2545265.5200000000,10160898.5699999984,
FS(11),2578988.0200000000,2572158.6999999997,2502638.7200000002,2562499.6399999997,10216285.0800000001,
FS(12),2574971.6800000002,2591711.3799999999,2484544.6400000001,2585755.3199999998,10236983.0199999996,
FS(13),2541279.0499999998,2543295.2199999997,2477005.4399999999,2558346.8399999999,10119926.5499999989,
FS(14),2554889.9800000000,2543760.7599999998,2518094.0800000001,2593645.6399999997,10210390.4599999990,
FS(15),2611565.0000000000,2546088.4599999995,2501130.8799999999,2558554.4800000000,10217338.8199999984,
FS(16),2537039.5800000001,2519552.6799999997,2428377.6000000001,2491486.7599999998,9976456.6199999992,
FS(17),2520974.2200000002,2486499.3399999994,2436293.7600000002,2429402.3999999999,9873169.7199999988,
FS(18),2573856.0299999998,2515828.3599999999,2484167.6800000006,2504983.3599999999,10078835.4299999997,
FS(19),2558460.0600000001,2502327.6999999997,2494345.6000000001,2437708.0000000000,9992841.3599999994,
FS(20),2501338.7799999998,2564710.0600000001,2466827.5200000000,2429194.7599999998,9962071.1199999992,
FS(21),2544626.0000000000,2535846.5799999996,2504523.5200000000,2483804.0800000001,10068800.1799999997,
FS(22),2504462.6000000001,2479981.7799999998,2417068.8000000003,2458264.3599999999,9859777.5400000010,
FS(23),2562253.2700000000,2518156.0600000001,2514324.4800000004,2475083.2000000002,10069817.0099999998,
FS(24),2554443.7200000002,2539105.3599999999,2579161.6000000001,2487749.2399999998,10160459.9199999999,
FS(25),2617143.2500000000,2538639.8199999998,2623265.9200000004,2516403.5600000001,10295452.5499999989,
FS(26),2560691.3599999999,2484171.6399999997,2546366.0800000001,2443937.2000000002,10035166.2799999993,
FS(27),2587913.2200000002,2614522.8399999994,2532418.5600000005,2466569.9600000000,10201424.5800000001,
FS(28),2651951.5299999998,2629885.6599999997,2525633.2800000003,2506644.4800000000,10314114.9499999993,
FS(29),2660876.7300000000,2616385.0000000000,2519224.9600000004,2487126.3199999998,10283613.0099999998,
FS(30),2660430.4700000002,2641524.1599999997,2554659.2000000002,2513911.8799999999,10370525.7099999990,
FS(31),2675826.4399999999,2661542.3799999999,2535057.2800000003,2507267.3999999999,10379693.5000000000,
FS(32),2693230.5800000001,2730442.2999999998,2527895.0400000005,2530730.7199999997,10482298.6399999987,
FS(33),2693230.5800000001,2759305.7799999998,2544858.2400000002,2570597.5999999996,10567992.1999999993,
FS(34),2762847.1399999997,2743011.8799999999,2495476.4800000004,2570597.5999999996,10571933.0999999996,
FS(35),2760392.7100000000,2729976.7599999998,2477759.3600000003,2573919.8399999999,10542048.6699999999,
FS(36),2729154.5100000002,2738822.0199999996,2491329.9200000004,2578903.2000000002,10538209.6500000004,
