代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11954299.8399999999
真實報酬,1954299.8399999999
趨勢值,0.1193153143

選擇檔數,7
找到最佳解世代,2116
找到最佳解實驗,1
Stock#,AAPL,DIS,MRK,PG,VZ,WBA,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,8448,14277,24639,19852,29262,21836,18564,
剩餘資金,14.2000000000,14.3800000000,1.7800000001,21.0800000001,0.1600000000,59.8800000000,71.1999999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1491677.5599999998,1422289.1199999999,1411816.4800000000,1408321.9600000000,1397260.6599999999,1389921.2799999998,1425786.3999999999,9947076.4599999990,
FS(3),1494380.9199999999,1410010.8999999999,1417483.4500000000,1416659.8000000000,1399894.2400000000,1358914.1599999999,1420959.7600000000,9918306.2300000004,
FS(4),1553010.0400000000,1444132.9299999999,1422904.0300000000,1437901.4400000002,1410135.9399999999,1393415.0400000000,1427642.8000000000,10089145.2200000007,
FS(5),1564245.8799999999,1463121.3399999999,1413787.6000000001,1428968.0400000000,1396675.4199999999,1360442.6799999999,1443236.5599999998,10070480.5199999996,
FS(6),1571764.6000000001,1453270.2100000000,1398511.4199999999,1418247.9600000000,1375899.3999999999,1361752.8399999999,1449733.9600000000,10029183.3900000006,
FS(7),1582831.4800000000,1427286.0699999998,1427831.8300000001,1436710.3200000001,1357171.7200000000,1374417.7199999997,1483891.7200000000,10090143.8600000013,
FS(8),1605472.1199999999,1451699.7400000000,1430542.1200000001,1452194.8800000001,1381166.5600000001,1393415.0400000000,1517121.2800000000,10231614.7400000002,
FS(9),1593222.5200000000,1457267.7699999998,1470703.6899999999,1456562.3200000001,1422718.5999999999,1399529.1199999999,1508953.1199999999,10308960.1399999987,
FS(10),1589505.3999999999,1462550.2599999998,1470457.3000000000,1454775.6400000001,1418914.5400000000,1421583.4799999997,1519163.3199999998,10336952.9399999976,
