代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12711879.3399999999
真實報酬,2711879.3399999999
趨勢值,0.1371367224

選擇檔數,5
找到最佳解世代,1730
找到最佳解實驗,1
Stock#,DIS,MRK,PFE,VZ,WBA,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,20128,33025,55172,41832,31816,
剩餘資金,81.9200000000,5.9999999999,15.0000000000,12.0799999999,46.2400000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2017712.6399999999,2048216.5000000000,2011034.4000000001,2000418.3199999998,2013999.0399999998,10091380.9000000004,
FS(3),2011674.2400000000,2027410.7500000000,2010482.6799999999,2006693.1199999999,2000954.4800000000,10057215.2699999996,
FS(4),2051326.3999999999,2045244.2500000000,2007172.3600000001,2025099.1999999997,2009226.6399999999,10138068.8499999996,
FS(5),2062598.0799999998,2047225.7500000000,2013241.2800000000,2050198.3999999997,2023543.8400000001,10196807.3500000015,
FS(6),2092991.3600000001,2066710.5000000000,2023172.2400000000,2057309.8399999999,2017180.6399999999,10257364.5800000001,
FS(7),2100438.7199999997,2058454.2500000000,2002758.5999999999,2062329.6799999997,2038179.2000000000,10262160.4499999993,
FS(8),2100036.1599999997,2062087.0000000000,2002758.5999999999,2041832.0000000000,2026725.4400000002,10233439.1999999993,
FS(9),2139889.6000000001,2067040.7500000000,1998344.8399999999,1982848.8799999999,2033406.7999999998,10221530.8700000010,
FS(10),2189001.9199999999,2033025.0000000000,1995034.5199999998,2000418.3199999998,2063950.1600000001,10281429.9199999999,
FS(11),2191014.7199999997,2048546.7500000000,2006068.9199999999,2010458.0000000000,2093539.0399999998,10349627.4299999997,
FS(12),2154985.6000000001,2014200.7500000000,1995034.5199999998,1985358.7999999998,2041042.6400000001,10190622.3100000005,
FS(13),2135662.7199999997,2015521.7500000000,1998344.8399999999,2028864.0799999998,2055678.0000000000,10234071.3900000006,
FS(14),2156797.1200000001,2023778.0000000000,2011586.1200000001,2011712.9600000000,2163534.2400000002,10367408.4399999995,
FS(15),2131435.8399999999,2020475.5000000000,2002758.5999999999,2034302.2400000000,2156852.8800000004,10345825.0600000005,
FS(16),2140493.4399999999,2030052.7500000000,2014344.7200000000,2081572.3999999997,2151126.0000000000,10417589.3100000005,
FS(17),2102451.5200000000,2017173.0000000000,2007172.3600000001,2074879.2799999998,2139354.0800000001,10341030.2400000002,
FS(18),2098627.2000000002,2005284.0000000000,2007172.3600000001,2062329.6799999997,2118037.3599999999,10291450.5999999996,
FS(19),2092588.7999999998,1977543.0000000000,1997793.1200000001,2062748.0000000000,2108174.4000000004,10238847.3200000003,
FS(20),2108892.4800000000,1991413.5000000000,2006068.9199999999,2127587.6000000001,1899461.4400000002,10133423.9399999995,
FS(21),2109697.6000000001,2004623.5000000000,2001655.1600000001,2104580.0000000000,1909642.5600000001,10130198.8200000003,
FS(22),2120164.1599999997,1996697.5000000000,2004413.7600000000,2109181.5200000000,1944958.3200000001,10175415.2600000016,
FS(23),2094199.0400000000,2004953.7500000000,2005517.2000000002,2120894.4800000000,1933186.3999999999,10158750.8700000010,
FS(24),2120365.4399999999,2035667.0000000000,2034206.6399999999,2145157.0400000000,1984728.3200000001,10320124.4400000013,
FS(25),2109093.7599999998,2054161.0000000000,2047447.9199999999,2153523.4399999999,2013999.0399999998,10378225.1600000001,
FS(26),2134052.4800000000,2048216.5000000000,2050206.5199999998,2122567.7600000002,2027679.9199999999,10382723.1799999997,
FS(27),2134253.7599999998,2057463.5000000000,2065102.9600000000,2147666.9600000004,2010817.4400000002,10415304.6199999992,
