代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11939872.3699999992
真實報酬,1939872.3699999992
趨勢值,0.0553743021

選擇檔數,2
找到最佳解世代,2096
找到最佳解實驗,1
Stock#,MRK,PG,
分配資金,5000000,5000000,
張數,73583,60459,
剩餘資金,35.1499999998,40.6999999998,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5049300.6099999994,5035670.8100000005,10084971.4199999999,
FS(3),5105223.6899999995,4996977.0500000007,10102200.7400000002,
FS(4),5126562.7599999998,4952237.3899999997,10078800.1500000004,
FS(5),5118468.6299999999,4980653.1200000001,10099121.7500000000,
FS(6),5083148.7899999991,4958283.2900000000,10041432.0800000001,
FS(7),5140543.5299999993,5024788.1900000004,10165331.7199999988,
FS(8),5211919.0399999991,5045344.2500000000,10257263.2899999991,
FS(9),5149373.4899999993,5055017.6900000004,10204391.1799999997,
FS(10),5181750.0099999998,5093711.4500000002,10275461.4599999990,
FS(11),5181750.0099999998,5078596.7000000002,10260346.7099999990,
FS(12),5149373.4899999993,5078596.7000000002,10227970.1899999995,
FS(13),5208239.8899999997,5160820.9400000004,10369060.8300000001,
FS(14),5231786.4499999993,5188632.0800000001,10420418.5299999993,
FS(15),5208239.8899999997,5094920.6299999999,10303160.5199999996,
FS(16),5198674.0999999996,5025392.7800000003,10224066.8800000008,
FS(17),5175127.5399999991,5033857.0400000000,10208984.5800000001,
FS(18),5203824.9099999992,5009673.4400000004,10213498.3499999996,
FS(19),5220013.1699999990,5032043.2700000005,10252056.4399999995,
FS(20),5263427.1399999997,5058645.2300000004,10322072.3699999992,
FS(21),5279615.3999999994,5100361.9400000004,10379977.3399999999,
FS(22),5251653.8599999994,5019951.4700000007,10271605.3300000001,
FS(23),5240616.4099999992,4952841.9800000004,10193458.3899999987,
FS(24),5226635.6399999997,4966747.5500000007,10193383.1899999995,
FS(25),5258276.3299999991,4981862.3000000007,10240138.6299999990,
FS(26),5323029.3700000001,4969770.5000000000,10292799.8700000010,
FS(27),5183957.5000000000,4923821.6600000001,10107779.1600000001,
FS(28),5030904.8599999994,4768442.0300000003,9799346.8900000006,
FS(29),5136864.3799999999,4779929.2400000002,9916793.6200000010,
FS(30),5111110.3299999991,4844620.3700000001,9955730.6999999993,
FS(31),5240616.4099999992,4897824.2900000000,10138440.6999999993,
FS(32),5284766.2099999990,4949214.4400000004,10233980.6499999985,
FS(33),5313463.5799999991,4851270.8600000003,10164734.4399999995,
FS(34),5323765.1999999993,5278111.4000000004,10601876.5999999996,
FS(35),5339953.4599999990,5235790.0999999996,10575743.5599999987,
FS(36),5305369.4499999993,5269647.1399999997,10575016.5899999999,
FS(37),5190579.9699999997,5408702.8399999999,10599282.8099999987,
FS(38),5147901.8299999991,5380891.7000000002,10528793.5299999993,
FS(39),5180278.3499999996,5311968.4400000004,10492246.7899999991,
FS(40),5257540.5000000000,5334942.8600000003,10592483.3599999994,
FS(41),5362028.3599999994,5392378.9100000001,10754407.2699999996,
FS(42),5416479.7799999993,5361544.8200000003,10778024.5999999996,
FS(43),5380424.1099999994,5416562.5100000007,10796986.6199999992,
FS(44),5317878.5599999996,5429863.4900000002,10747742.0500000007,
FS(45),5380424.1099999994,5513901.5000000000,10894325.6099999994,
FS(46),5394404.8799999999,5532643.7900000000,10927048.6699999999,
FS(47),5524646.7899999991,5519342.8100000005,11043989.5999999996,
FS(48),5554079.9899999993,5523574.9400000004,11077654.9299999997,
FS(49),5508458.5299999993,5587056.8899999997,11095515.4199999999,
FS(50),5495949.4199999990,5604590.0000000000,11100539.4199999999,
FS(51),5490062.7799999993,5651143.4299999997,11141206.2099999990,
FS(52),5451799.6200000001,5652352.6100000003,11104152.2300000004,
FS(53),5506986.8700000001,5672908.6699999999,11179895.5400000010,
FS(54),5596758.1299999999,5672304.0800000001,11269062.2099999990,
FS(55),5618097.1999999993,5640260.8100000005,11258358.0099999998,
FS(56),5502571.8899999997,5568314.5999999996,11070886.4900000002,
FS(57),5503307.7199999997,5526597.8899999997,11029905.6099999994,
FS(58),5494477.7599999998,5534457.5600000005,11028935.3200000003,
FS(59),5551136.6699999990,5558641.1600000001,11109777.8299999982,
FS(60),5617361.3700000001,5605799.1799999997,11223160.5500000007,
FS(61),5682850.2399999993,5623332.2900000000,11306182.5299999993,
FS(62),5732886.6799999988,5611845.0800000001,11344731.7599999979,
FS(63),5838110.3700000001,5714020.7900000000,11552131.1600000001,
FS(64),5829280.4099999992,5642074.5800000001,11471354.9899999984,
FS(65),5754961.5799999991,5641469.9900000002,11396431.5700000003,
FS(66),5766734.8599999994,5655980.1500000004,11422715.0099999998,
FS(67),5645322.9099999992,5589475.2500000000,11234798.1600000001,
FS(68),5696831.0099999998,5624541.4700000007,11321372.4800000004,
FS(69),5674020.2799999993,5677745.3899999997,11351765.6699999999,
FS(70),5740244.9799999995,5685000.4700000007,11425245.4499999993,
FS(71),5813827.9799999995,5833729.6100000003,11647557.5899999999,
FS(72),5627662.9899999993,5842798.4600000000,11470461.4499999993,
FS(73),5535684.2399999993,5608822.1299999999,11144506.3699999992,
FS(74),5469459.5399999991,5591893.6100000003,11061353.1499999985,
FS(75),5428253.0599999996,5547758.5400000000,10976011.5999999996,
FS(76),5407649.8199999994,5500600.5200000005,10908250.3399999999,
FS(77),5364235.8499999996,5499995.9299999997,10864231.7799999993,
FS(78),5235465.5999999996,5281738.9400000004,10517204.5399999991,
FS(79),5445177.1499999994,5446792.0100000007,10891969.1600000001,
FS(80),5546721.6899999995,5563477.8799999999,11110199.5700000003,
FS(81),5545985.8599999994,5512692.3200000003,11058678.1799999997,
FS(82),5622512.1799999988,5557431.9800000004,11179944.1599999983,
FS(83),5562174.1200000001,5518738.2200000007,11080912.3399999999,
FS(84),5448120.4699999997,5480044.4600000000,10928164.9299999997,
FS(85),5612210.5599999996,5591893.6100000003,11204104.1699999999,
FS(86),5550400.8399999999,5569523.7800000003,11119924.6200000010,
FS(87),5591607.3199999994,5590079.8399999999,11181687.1599999983,
FS(88),5548929.1799999988,5498786.7500000000,11047715.9299999997,
FS(89),5480496.9899999993,5512087.7300000004,10992584.7199999988,
FS(90),5511401.8499999996,5548363.1299999999,11059764.9800000004,
FS(91),5398819.8599999994,5510878.5500000007,10909698.4100000001,
FS(92),5481968.6499999994,5562873.2900000000,11044841.9399999995,
FS(93),5490062.7799999993,5524179.5300000003,11014242.3100000005,
FS(94),5562909.9499999993,5480044.4600000000,11042954.4100000001,
FS(95),5582777.3599999994,5527202.4800000004,11109979.8399999999,
FS(96),5579834.0399999991,5467952.6600000001,11047786.6999999993,
FS(97),5551136.6699999990,5733972.2600000007,11285108.9299999997,
FS(98),5384103.2599999998,5701324.4000000004,11085427.6600000001,
FS(99),5367915.0000000000,5659003.0999999996,11026918.0999999996,
FS(100),5365707.5099999998,5654166.3799999999,11019873.8900000006,
FS(101),5388518.2399999993,5655375.5600000005,11043893.8000000007,
FS(102),5398819.8599999994,5714625.3799999999,11113445.2400000002,
FS(103),5476817.8399999999,5832520.4299999997,11309338.2699999996,
FS(104),5625455.5000000000,5892979.4299999997,11518434.9299999997,
FS(105),5656360.3599999994,5926836.4700000007,11583196.8300000001,
