代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12071998.1599999983
真實報酬,2071998.1599999983
趨勢值,0.1893096093

選擇檔數,3
找到最佳解世代,3798
找到最佳解實驗,1
Stock#,MCD,TRV,V,
分配資金,3333333,3333333,3333333,
張數,18862,26352,23784,
剩餘資金,40.3600000000,68.5200000001,5.3999999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3348988.4600000000,3321474.6000000001,3365441.3999999999,10035905.4599999990,
FS(3),3349365.6999999997,3325163.8800000004,3389938.9199999999,10064469.5000000000,
FS(4),3323147.5200000000,3308562.1200000001,3365203.5600000001,9996914.1999999993,
FS(5),3306171.7199999997,3340448.0400000000,3333808.6799999997,9980429.4399999995,
FS(6),3296174.8599999999,3314886.6000000001,3338803.3199999998,9949865.7799999993,
FS(7),3286932.4799999995,3305136.3599999999,3348792.6000000001,9940862.4399999995,
FS(8),3281462.5000000000,3353624.0400000000,3377095.5600000001,10012183.0999999996,
FS(9),3284857.6600000001,3374178.5999999996,3412771.5600000001,10071808.8200000003,
FS(10),3317300.2999999998,3344927.8800000004,3404922.8399999999,10067152.0199999996,
FS(11),3394634.5000000000,3392625.0000000005,3446544.8399999999,10233805.3399999999,
FS(12),3381053.8599999999,3402111.7199999997,3435366.3599999999,10218532.9399999995,
FS(13),3404442.7400000002,3418977.0000000005,3442263.7199999997,10265684.4599999990,
FS(14),3448202.5800000001,3421085.1599999997,3424901.3999999999,10294190.1399999987,
FS(15),3454992.8999999994,3452707.5600000001,3469377.4800000000,10377078.9399999995,
FS(16),3444430.1800000002,3491445.0000000005,3473896.4399999999,10409772.6200000010,
FS(17),3455747.3799999999,3511999.5600000001,3497204.7599999998,10464952.6999999993,
FS(18),3458576.6800000002,3494870.7600000002,3501485.8799999999,10454934.3200000003,
FS(19),3467630.4399999999,3502512.8399999999,3522891.4800000000,10493035.7599999998,
FS(20),3490453.4600000000,3505675.0800000001,3554999.8799999999,10551129.4199999999,
FS(21),3406328.9399999999,3482485.3200000003,3519086.0400000000,10407901.2999999989,
FS(22),3420664.0599999996,3496715.3999999999,3518848.1999999997,10436228.6599999983,
FS(23),3433490.2199999997,3473262.1200000001,3515518.4399999999,10422271.7799999993,
FS(24),3405008.6000000001,3465093.0000000005,3492210.1200000001,10362312.7200000007,
FS(25),3385769.3599999999,3452707.5600000001,3504577.7999999998,10343055.7199999988,
FS(26),3415571.3200000003,3475106.7600000002,3583540.6799999997,10474219.7599999998,
FS(27),3429717.8200000003,3497505.9600000000,3608751.7199999997,10535976.5000000000,
FS(28),3434056.0800000001,3504884.5200000000,3626351.8799999999,10565293.4800000004,
FS(29),3446882.2400000002,3506465.6400000001,3667498.1999999997,10620847.0799999982,
FS(30),3495734.8200000003,3535979.8800000004,3697466.0400000000,10729181.7400000002,
FS(31),3469705.2599999998,3556007.3999999999,3685574.0400000000,10711287.6999999993,
FS(32),3453861.1800000002,3503039.8800000004,3676773.9600000000,10633676.0199999996,
FS(33),3488944.5000000000,3460876.6800000002,3656795.3999999999,10606617.5800000001,
FS(34),3515351.2999999998,3540986.7600000002,3705552.6000000001,10761891.6600000001,
FS(35),3523650.5800000001,3554953.3200000003,3640622.2799999998,10719227.1799999997,
FS(36),3503091.0000000000,3556270.9199999999,3639670.9199999999,10699033.8399999999,
FS(37),3536288.1199999996,3557061.4800000000,3693660.6000000001,10787011.1999999993,
FS(38),3536853.9799999995,3593163.7199999997,3667973.8799999999,10797992.5799999982,
FS(39),3572314.5399999996,3607657.3200000003,3678676.6799999997,10858649.5399999991,
FS(40),3581934.1600000001,3614508.8399999999,3714828.3599999999,10911272.3599999994,
FS(41),3553452.5399999996,3637171.5600000001,3740277.2399999998,10930902.3399999980,
FS(42),3552698.0599999996,3605285.6400000001,3752644.9199999999,10910629.6199999992,
FS(43),3552698.0599999996,3599751.7199999997,3768818.0400000000,10921268.8199999984,
FS(44),3581368.2999999998,3597643.5600000001,3749315.1599999997,10928328.0199999996,
FS(45),3597212.3799999999,3594481.3200000003,3749553.0000000000,10941247.6999999993,
FS(46),3580991.0599999996,3580778.2799999998,3751931.3999999999,10913701.7400000002,
FS(47),3585329.3200000003,3562595.3999999999,3745747.5600000001,10893673.2800000012,
FS(48),3569108.0000000000,3569710.4400000004,3771196.4399999999,10910015.8800000008,
FS(49),3562694.9199999999,3591319.0800000001,3754547.6400000001,10908562.6400000006,
FS(50),3613999.5599999996,3629265.9600000000,3796883.1599999997,11040149.6799999978,
FS(51),3618715.0599999996,3604758.5999999996,3815910.3599999999,11039385.0199999977,
