代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12040375.1299999990
真實報酬,2040375.1299999990
趨勢值,0.1496434526

選擇檔數,3
找到最佳解世代,2398
找到最佳解實驗,1
Stock#,KO,MCD,PG,
分配資金,3333333,3333333,3333333,
張數,73453,18013,33861,
剩餘資金,35.8599999998,27.3499999998,56.1600000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3353165.3099999996,3252995.0199999996,3347893.2300000004,9954054.5599999987,
FS(3),3349492.6600000001,3266684.8999999994,3355342.6500000004,9971521.2099999990,
FS(4),3338474.7100000000,3278933.7399999998,3349924.8900000006,9967334.3399999999,
FS(5),3325987.6999999997,3251734.1099999999,3337057.7100000000,9914780.5199999996,
FS(6),3293668.3799999999,3233360.8499999996,3332317.1699999999,9859347.3999999985,
FS(7),3392095.3999999999,3261821.3899999997,3371934.5400000000,10025852.3300000001,
FS(8),3382546.5099999998,3275331.1399999997,3387849.2100000000,10045727.8599999994,
FS(9),3395033.5200000000,3279474.1299999999,3426112.1400000006,10100620.7899999991,
FS(10),3356837.9600000000,3291722.9699999997,3430852.6799999997,10079414.6099999994,
FS(11),3327456.7599999998,3338376.6399999997,3468777.0000000000,10134611.4000000004,
FS(12),3335536.5899999999,3313518.6999999993,3437286.2700000005,10086342.5599999987,
FS(13),3346554.5400000000,3298387.7799999998,3450492.0600000005,10095435.3799999990,
FS(14),3344350.9499999997,3331891.9599999995,3444397.0800000001,10120640.9900000002,
FS(15),3342881.8899999997,3357110.1599999997,3470470.0499999998,10170463.0999999996,
FS(16),3373732.1499999999,3365035.8799999999,3442365.4199999999,10181134.4499999993,
FS(17),3381077.4499999997,3345401.7099999995,3452523.7199999997,10179003.8799999990,
FS(18),3425883.7799999998,3377104.5899999994,3488416.3799999999,10291405.7500000000,
FS(19),3423680.1899999999,3377644.9799999995,3484353.0600000005,10285679.2299999986,
FS(20),3421476.5999999996,3411509.4199999995,3506362.7100000000,10339349.7299999986,
FS(21),3442043.4399999999,3420696.0499999998,3523293.2100000000,10386033.6999999993,
FS(22),3431760.0200000000,3393496.4199999995,3509410.2000000002,10334667.6399999987,
FS(23),3420742.0699999998,3392775.8999999994,3513134.9100000001,10326653.8799999990,
FS(24),3392095.3999999999,3392775.8999999994,3511103.2500000000,10295975.5499999989,
FS(25),3414131.2999999998,3420155.6599999997,3502299.3900000006,10336587.3499999996,
FS(26),3413396.7700000000,3435286.5799999996,3509748.8100000005,10358433.1600000001,
FS(27),3419273.0099999998,3419795.3999999994,3554445.3300000001,10393514.7400000002,
FS(28),3428087.3700000001,3423938.3899999997,3543948.4199999999,10395975.1799999997,
