代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11333835.5000000000
真實報酬,1333835.5000000000
趨勢值,0.0829600263

選擇檔數,4
找到最佳解世代,2149
找到最佳解實驗,1
Stock#,KO,PG,VZ,WMT,
分配資金,2500000,2500000,2500000,2500000,
張數,51450,23825,44232,24664,
剩餘資金,44.4999999998,42.7499999998,7.3599999999,56.9600000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2489710.0000000000,2515009.7500000000,2520789.0400000000,2494820.5600000001,10020329.3499999996,
FS(3),2506688.5000000000,2527398.7500000000,2531847.0400000000,2517758.0800000001,10083692.3699999992,
FS(4),2493826.0000000000,2517868.7500000000,2517250.4799999995,2527130.3999999999,10056075.6300000008,
FS(5),2469644.5000000000,2494520.2500000000,2504865.5200000000,2498520.1599999997,9967550.4299999997,
FS(6),2461927.0000000000,2503335.5000000000,2493807.5200000000,2473856.1599999997,9932926.1799999997,
FS(7),2438774.5000000000,2483560.7500000000,2498230.7199999997,2455111.5200000000,9875677.4900000002,
FS(8),2479420.0000000000,2525731.0000000000,2517250.4799999995,2513565.1999999997,10035966.6799999997,
FS(9),2472217.0000000000,2528113.5000000000,2510173.3599999999,2463743.9199999999,9974247.7800000012,
FS(10),2505145.0000000000,2515962.7500000000,2501326.9600000000,2473609.5200000000,9996044.2300000004,
FS(11),2530355.5000000000,2542170.2500000000,2512827.2799999998,2463497.2799999998,10048850.3100000005,
FS(12),2550935.5000000000,2575763.5000000000,2538039.5200000000,2498766.7999999998,10163505.3200000003,
FS(13),2531384.5000000000,2560039.0000000000,2569444.2400000002,2487668.0000000000,10148535.7400000002,
FS(14),2513377.0000000000,2557180.0000000000,2610137.6799999997,2503946.2399999998,10184640.9199999999,
FS(15),2500514.5000000000,2534308.0000000000,2631811.3599999999,2494080.6400000001,10160714.5000000000,
FS(16),2554537.0000000000,2542646.7500000000,2620753.3599999999,2521457.6800000002,10239394.7900000010,
FS(17),2564827.0000000000,2543599.7500000000,2603945.1999999997,2512332.0000000000,10224703.9499999993,
FS(18),2552479.0000000000,2541932.0000000000,2623849.6000000001,2532309.8399999999,10250570.4400000013,
FS(19),2526239.5000000000,2488802.2500000000,2597752.7199999997,2526143.8399999999,10138938.3100000005,
FS(20),2501029.0000000000,2482369.5000000000,2573425.1199999996,2518744.6400000001,10075568.2599999998,
FS(21),2533957.0000000000,2509530.0000000000,2513711.9199999999,2520471.1200000001,10077670.0399999991,
FS(22),2527783.0000000000,2451873.5000000000,2404016.5600000001,2501973.1200000001,9885646.1799999997,
FS(23),2571515.5000000000,2473077.7500000000,2493807.5200000000,2514798.3999999999,10053199.1699999999,
FS(24),2572544.5000000000,2494043.7500000000,2486730.3999999999,2529596.7999999998,10082915.4500000011,
FS(25),2612675.5000000000,2542885.0000000000,2522558.3199999998,2575471.8399999999,10253590.6600000001,
FS(26),2644574.5000000000,2558371.2500000000,2545116.6399999997,2592490.0000000000,10340552.3900000006,
FS(27),2649205.0000000000,2591488.0000000000,2531847.0400000000,2615920.7999999998,10388460.8399999999,
FS(28),2643545.5000000000,2590296.7500000000,2483634.1599999997,2651930.2399999998,10369406.6500000004,
FS(29),2640973.0000000000,2606021.2500000000,2513711.9199999999,2662289.1200000001,10422995.2899999991,
FS(30),2656922.5000000000,2613168.7500000000,2537154.8799999999,2683993.4399999999,10491239.5700000003,
FS(31),2630683.0000000000,2642473.5000000000,2548655.1999999997,2679800.5600000001,10501612.2599999998,
FS(32),2639944.0000000000,2649382.7500000000,2577848.3199999998,2690159.4399999999,10557334.5099999998,
FS(33),2617306.0000000000,2644379.5000000000,2549097.5200000000,2692379.1999999997,10503162.2200000007,
FS(34),2605472.5000000000,2611262.7500000000,2535827.9199999999,2704464.5600000001,10457027.7300000004,
FS(35),2630168.5000000000,2630799.2500000000,2549097.5200000000,2703724.6400000001,10513789.9100000001,
FS(36),2657951.5000000000,2662248.2500000000,2536270.2400000002,2720989.4399999999,10577459.4299999997,
FS(37),2652292.0000000000,2649382.7500000000,2555290.0000000000,2740967.2799999998,10597932.0300000012,
FS(38),2671328.5000000000,2676305.0000000000,2577406.0000000000,2743680.3199999998,10668719.8200000003,
FS(39),2663096.5000000000,2661771.7500000000,2565463.3599999999,2730855.0400000000,10621186.6500000004,
FS(40),2630168.5000000000,2614360.0000000000,2520789.0400000000,2717043.1999999997,10482360.7400000002,
FS(41),2628110.5000000000,2615551.2500000000,2532289.3599999999,2715563.3599999999,10491514.4700000007,
FS(42),2619878.5000000000,2612454.0000000000,2526981.5200000000,2725182.3199999998,10484496.3399999999,
FS(43),2654864.5000000000,2632467.0000000000,2506192.4799999995,2728388.6400000001,10521912.6200000010,
FS(44),2674415.5000000000,2656053.7500000000,2571213.5200000000,2752559.3599999999,10654242.1300000008,
FS(45),2680589.5000000000,2717998.7500000000,2571213.5200000000,2770317.4399999999,10740119.2100000009,
FS(46),2681104.0000000000,2695841.5000000000,2579175.2799999998,2761931.6800000002,10718052.4600000009,
FS(47),2675444.5000000000,2717284.0000000000,2560597.8399999999,2780183.0400000000,10733509.3800000008,
FS(48),2654350.0000000000,2690123.5000000000,2495134.4799999995,2784129.2799999998,10623737.2599999998,
FS(49),2666183.5000000000,2710136.5000000000,2521231.3599999999,2786595.6800000002,10684147.0400000010,
FS(50),2677502.5000000000,2725146.2500000000,2517692.7999999998,2809779.8399999999,10730121.3900000006,
FS(51),2681618.5000000000,2739679.5000000000,2529635.4399999999,2826551.3599999999,10777484.8000000007,
FS(52),2682133.0000000000,2751353.7500000000,2546885.9199999999,2835923.6800000002,10816296.3499999996,
FS(53),2682647.5000000000,2761122.0000000000,2539366.4799999995,2830497.6000000001,10813633.5800000001,
FS(54),2684705.5000000000,2762313.2500000000,2530962.3999999999,2826551.3599999999,10804532.5099999998,
FS(55),2676988.0000000000,2750400.7500000000,2530520.0800000001,2829511.0400000000,10787419.8699999992,
FS(56),2644060.0000000000,2740156.0000000000,2503096.2400000002,2809286.5600000001,10696598.8000000007,
FS(57),2635313.5000000000,2747065.2500000000,2454883.3599999999,2782649.4399999999,10619911.5500000007,
FS(58),2795323.0000000000,2712519.0000000000,2453998.7199999997,2764644.7200000002,10726485.4399999995,
FS(59),2767025.5000000000,2682737.7500000000,2475672.3999999999,2762424.9600000000,10687860.6099999994,
FS(60),2730496.0000000000,2686788.0000000000,2492922.8799999999,2767851.0400000000,10678057.9199999999,
FS(61),2787091.0000000000,2733485.0000000000,2524769.9199999999,2787582.2399999998,10832928.1600000001,
FS(62),2777830.0000000000,2763742.7500000000,2537597.1999999997,2769084.2399999998,10848254.1899999995,
FS(63),2763938.5000000000,2868811.0000000000,2504865.5200000000,2763904.7999999998,10901519.8200000003,
FS(64),2707858.0000000000,2812345.7500000000,2444710.0000000000,2722469.2799999998,10687383.0300000012,
FS(65),2676988.0000000000,2781135.0000000000,2444267.6799999997,2697805.2799999998,10600195.9600000009,
FS(66),2692423.0000000000,2774225.7500000000,2458864.2400000002,2698298.5600000001,10623811.5500000007,
FS(67),2657437.0000000000,2694173.7500000000,2442498.3999999999,2610001.4399999999,10404110.5899999999,
FS(68),2689336.0000000000,2722763.7500000000,2434978.9600000000,2645764.2399999998,10492842.9499999993,
FS(69),2736155.5000000000,2752306.7500000000,2436748.2400000002,2668701.7600000002,10593912.2500000000,
FS(70),2762395.0000000000,2798050.7500000000,2469037.6000000001,2676594.2399999998,10706077.5899999999,
FS(71),2748503.5000000000,2782326.2500000000,2467268.3199999998,2646010.8799999999,10644108.9500000011,
FS(72),2737184.5000000000,2764457.5000000000,2463287.4399999999,2592736.6400000001,10557666.0800000001,
FS(73),2752619.5000000000,2793524.0000000000,2493365.1999999997,2649217.1999999997,10688725.9000000004,
FS(74),2726380.0000000000,2758739.5000000000,2464614.3999999999,2619373.7600000002,10569107.6600000001,
FS(75),2771656.0000000000,2796859.5000000000,2490268.9600000000,2779443.1200000001,10838227.5800000001,
FS(76),2799439.0000000000,2839506.2500000000,2505750.1599999997,2786842.3199999998,10931537.7300000004,
FS(77),2813845.0000000000,2864760.7500000000,2521231.3599999999,2807066.7999999998,11006903.9100000001,
FS(78),2772170.5000000000,2832835.2500000000,2488942.0000000000,2763658.1599999997,10857605.9100000001,
FS(79),2783489.5000000000,2839982.7500000000,2503096.2400000002,2762918.2399999998,10889486.7300000004,
FS(80),2803555.0000000000,2845224.2500000000,2511500.3199999998,2760205.1999999997,10920484.7699999996,
FS(81),2764967.5000000000,2795191.7500000000,2473460.7999999998,2733568.0800000001,10767188.1300000008,
FS(82),2806127.5000000000,2842841.7500000000,2508404.0800000001,2762178.3199999998,10919551.6500000004,
FS(83),2815388.5000000000,2872146.5000000000,2529193.1199999996,2772783.8399999999,10989511.9600000009,
FS(84),2835454.0000000000,2892397.7500000000,2563251.7599999998,2780183.0400000000,11071286.5500000007,
FS(85),2832367.0000000000,2887156.2500000000,2562809.4399999999,2813726.0800000001,11096058.7699999996,
FS(86),2831852.5000000000,2864522.5000000000,2572540.4799999995,2818165.6000000001,11087081.0800000001,
FS(87),2845229.5000000000,2891444.7500000000,2567232.6399999997,2827537.9199999999,11131444.8100000005,
FS(88),2869411.0000000000,2935521.0000000000,2573425.1199999996,2858861.1999999997,11237218.3200000003,
FS(89),2835968.5000000000,2924799.7500000000,2591560.2400000002,2847269.1200000001,11199597.6099999994,
FS(90),2841628.0000000000,2927420.5000000000,2612349.2799999998,2829757.6800000002,11211155.4600000009,
FS(91),2805098.5000000000,2910743.0000000000,2594656.4799999995,2869220.0800000001,11179718.0600000005,
FS(92),2798924.5000000000,2856183.7500000000,2641100.0800000001,2862314.1599999997,11158522.4900000002,
FS(93),2817961.0000000000,2889300.5000000000,2659677.5200000000,2861574.2399999998,11228513.2599999998,
FS(94),2835454.0000000000,2925038.0000000000,2672947.1199999996,2883771.8399999999,11317210.9600000009,
FS(95),2791721.5000000000,2909551.7500000000,2652158.0800000001,2896350.4800000000,11249781.8100000005,
FS(96),2776286.5000000000,2853086.5000000000,2631811.3599999999,2850475.4399999999,11111659.8000000007,
FS(97),2790692.5000000000,2886679.7500000000,2648177.1999999997,2873659.6000000001,11199209.0500000007,
FS(98),2790178.0000000000,2892636.0000000000,2650831.1199999996,2889691.1999999997,11223336.3200000003,
FS(99),2805098.5000000000,2904310.2500000000,2653042.7199999997,2888458.0000000000,11250909.4699999988,
FS(100),2773714.0000000000,2912410.7500000000,2666754.6399999997,2885251.6800000002,11238131.0700000003,
FS(101),2785547.5000000000,2935759.2500000000,2663216.0800000001,2901036.6400000001,11285559.4700000007,
FS(102),2793779.5000000000,2945051.0000000000,2676485.6799999997,2920274.5600000001,11335590.7400000002,
FS(103),2787091.0000000000,2930994.2500000000,2665870.0000000000,2922001.0400000000,11305956.2900000010,
FS(104),2798410.0000000000,2961728.5000000000,2673389.4399999999,2917808.1599999997,11351336.0999999996,
FS(105),2794294.0000000000,2967923.0000000000,2667196.9600000000,2921507.7600000002,11350921.7200000007,
FS(106),2800982.5000000000,2963396.2500000000,2669850.8799999999,2927180.4800000000,11361410.1099999994,
FS(107),2811787.0000000000,2950769.0000000000,2647292.5600000001,2906709.3599999999,11316557.9199999999,
FS(108),2731010.5000000000,2884773.7500000000,2605714.4799999995,2864040.6400000001,11085539.3700000010,
FS(109),2770112.5000000000,2900498.2500000000,2610137.6799999997,2868726.7999999998,11149475.2300000004,
FS(110),2806127.5000000000,2954342.7500000000,2649504.1599999997,2914355.1999999997,11324329.6100000013,
FS(111),2771656.0000000000,2926705.7500000000,2664985.3599999999,2891417.6800000002,11254764.7900000010,
FS(112),2756735.5000000000,2881200.0000000000,2641542.3999999999,2900050.0800000001,11179527.9800000004,
FS(113),2769598.0000000000,2906216.2500000000,2619426.3999999999,2933346.4800000000,11228587.1300000008,
FS(114),2760851.5000000000,2905263.2500000000,2646407.9199999999,2950118.0000000000,11262640.6699999999,
FS(115),2742329.5000000000,2885012.0000000000,2650831.1199999996,2965656.3199999998,11243828.9399999995,
FS(116),2742329.5000000000,2860234.0000000000,2636234.5600000001,2939265.8399999999,11178063.9000000004,
FS(117),2753134.0000000000,2792332.7500000000,2678254.9600000000,2948144.8799999999,11171866.5899999999,
FS(118),2752105.0000000000,2800195.0000000000,2666754.6399999997,2945431.8399999999,11164486.4800000004,
FS(119),2767540.0000000000,2778752.5000000000,2672062.4799999995,2955790.7200000002,11174145.7000000011,
FS(120),2818475.5000000000,2798765.5000000000,2700370.9600000000,2938525.9199999999,11256137.8800000008,
FS(121),2790178.0000000000,2837123.7500000000,2687101.3599999999,2953324.3199999998,11267727.4299999997,
FS(122),2770627.0000000000,2910981.2500000000,2687986.0000000000,2949378.0800000001,11318972.3300000001,
FS(123),2811272.5000000000,2930517.7500000000,2692851.5200000000,2943705.3599999999,11378347.1300000008,
FS(124),2809729.0000000000,2973164.5000000000,2679581.9199999999,2937539.3599999999,11400014.7800000012,
FS(125),2765482.0000000000,2936474.0000000000,2670293.1999999997,2936059.5200000000,11308308.7200000007,
