代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11556780.6799999997
真實報酬,1556780.6799999997
趨勢值,0.0759133385

選擇檔數,1
找到最佳解世代,2734
找到最佳解實驗,1
Stock#,MCD,
分配資金,10000000,
張數,131596,
剩餘資金,19.9600000007,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10052638.4000000004,10052638.4000000004,
FS(3),10080273.5600000005,10080273.5600000005,
FS(4),10096065.0800000001,10096065.0800000001,
FS(5),10002631.9200000018,10002631.9200000018,
FS(6),10006579.8000000026,10006579.8000000026,
FS(7),10034214.9600000009,10034214.9600000009,
FS(8),10088169.3200000003,10088169.3200000003,
FS(9),10118436.4000000004,10118436.4000000004,
FS(10),10142123.6799999997,10142123.6799999997,
FS(11),10182918.4399999995,10182918.4399999995,
FS(12),10132911.9600000009,10132911.9600000009,
FS(13),10080273.5600000005,10080273.5600000005,
FS(14),10317146.3600000013,10317146.3600000013,
FS(15),10121068.3200000003,10121068.3200000003,
FS(16),10150019.4399999995,10150019.4399999995,
FS(17),10125016.2000000011,10125016.2000000011,
FS(18),10247400.4800000023,10247400.4800000023,
FS(19),10268455.8400000017,10268455.8400000017,
FS(20),10305302.7200000007,10305302.7200000007,
FS(21),10348729.4000000004,10348729.4000000004,
FS(22),10388208.2000000011,10388208.2000000011,
FS(23),10405315.6799999997,10405315.6799999997,
FS(24),10343465.5600000005,10343465.5600000005,
FS(25),10356625.1600000020,10356625.1600000020,
FS(26),10436898.7200000007,10436898.7200000007,
FS(27),10489537.1199999992,10489537.1199999992,
FS(28),10463217.9200000018,10463217.9200000018,
FS(29),10614553.3200000003,10614553.3200000003,
FS(30),10625081.0000000000,10625081.0000000000,
FS(31),10677719.4000000004,10677719.4000000004,
FS(32),10650084.2400000021,10650084.2400000021,
FS(33),10725093.9600000009,10725093.9600000009,
FS(34),10858005.9200000018,10858005.9200000018,
FS(35),10834318.6400000006,10834318.6400000006,
FS(36),10856689.9600000009,10856689.9600000009,
FS(37),10875113.4000000004,10875113.4000000004,
FS(38),10885641.0800000001,10885641.0800000001,
FS(39),10847478.2400000021,10847478.2400000021,
FS(40),10740885.4800000023,10740885.4800000023,
FS(41),10730357.8000000026,10730357.8000000026,
FS(42),10656664.0400000010,10656664.0400000010,
FS(43),10626396.9600000009,10626396.9600000009,
FS(44),10598761.8000000026,10598761.8000000026,
FS(45),10619817.1600000020,10619817.1600000020,
FS(46),10677719.4000000004,10677719.4000000004,
FS(47),10679035.3600000013,10679035.3600000013,
FS(48),10693510.9200000018,10693510.9200000018,
FS(49),10575074.5200000014,10575074.5200000014,
FS(50),10623765.0400000010,10623765.0400000010,
FS(51),10721146.0800000001,10721146.0800000001,
FS(52),10690879.0000000000,10690879.0000000000,
FS(53),10765888.7200000007,10765888.7200000007,
FS(54),10859321.8800000008,10859321.8800000008,
FS(55),10881693.2000000011,10881693.2000000011,
FS(56),10896168.7599999998,10896168.7599999998,
FS(57),10876429.3600000013,10876429.3600000013,
FS(58),10829054.8000000026,10829054.8000000026,
FS(59),10769836.6000000015,10769836.6000000015,
FS(60),10833002.6799999997,10833002.6799999997,
FS(61),11100142.5600000005,11100142.5600000005,
FS(62),11129093.6799999997,11129093.6799999997,
FS(63),11096194.6799999997,11096194.6799999997,
FS(64),11271217.3600000013,11271217.3600000013,
FS(65),11269901.4000000004,11269901.4000000004,
FS(66),11298852.5200000014,11298852.5200000014,
FS(67),11325171.7200000007,11325171.7200000007,
FS(68),11264637.5600000005,11264637.5600000005,
FS(69),11231738.5600000005,11231738.5600000005,
FS(70),11184364.0000000000,11184364.0000000000,
FS(71),11180416.1199999992,11180416.1199999992,
FS(72),11292272.7200000007,11292272.7200000007,
FS(73),11248846.0400000010,11248846.0400000010,
FS(74),11238318.3600000013,11238318.3600000013,
FS(75),11344911.1199999992,11344911.1199999992,
FS(76),11352806.8800000008,11352806.8800000008,
FS(77),11388337.8000000026,11388337.8000000026,
FS(78),11654161.7200000007,11654161.7200000007,
FS(79),11596259.4800000023,11596259.4800000023,
FS(80),11583099.8800000008,11583099.8800000008,
FS(81),11460715.6000000015,11460715.6000000015,
FS(82),11419920.8400000017,11419920.8400000017,
FS(83),11380442.0400000010,11380442.0400000010,
FS(84),11368598.4000000004,11368598.4000000004,
FS(85),11193575.7200000007,11193575.7200000007,
FS(86),11256741.8000000026,11256741.8000000026,
FS(87),11090930.8400000017,11090930.8400000017,
FS(88),11196207.6400000006,11196207.6400000006,
