代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11766252.6600000001
真實報酬,1766252.6600000001
趨勢值,0.1059903477

選擇檔數,2
找到最佳解世代,2448
找到最佳解實驗,1
Stock#,TRV,WMT,
分配資金,5000000,5000000,
張數,84274,81486,
剩餘資金,23.5800000001,19.0400000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4995786.2999999998,4942144.9399999995,9937931.2400000002,
FS(3),4990729.8600000003,4910365.3999999994,9901095.2600000016,
FS(4),4962076.7000000002,4943774.6600000001,9905851.3600000013,
FS(5),4892129.2800000003,4899772.2200000007,9791901.5000000019,
FS(6),4866847.0800000001,4883475.0199999996,9750322.1000000015,
FS(7),4902242.1600000001,4872881.8399999999,9775124.0000000000,
FS(8),4980616.9800000004,4900587.0800000001,9881204.0600000024,
FS(9),4898028.4600000000,4870437.2600000007,9768465.7200000007,
FS(10),4985673.4199999999,4936440.9199999999,9922114.3399999999,
FS(11),5055620.8399999999,5041557.8599999994,10097178.7000000011,
FS(12),5011798.3600000003,5057040.2000000002,10068838.5600000024,
FS(13),5199729.3799999999,5031779.5400000000,10231508.9200000018,
FS(14),5288217.0800000001,5088819.7400000002,10377036.8200000022,
FS(15),5301700.9199999999,4851695.4799999995,10153396.4000000004,
FS(16),5340466.9600000000,4707465.2600000007,10047932.2200000007,
FS(17),5375019.2999999998,4674056.0000000000,10049075.3000000007,
FS(18),5458450.5599999996,4803618.7400000002,10262069.3000000007,
FS(19),5394402.3200000003,4810137.6200000001,10204539.9400000013,
FS(20),5420527.2599999998,4800359.2999999998,10220886.5600000005,
FS(21),5444123.9799999995,4813397.0600000005,10257521.0400000010,
FS(22),5455922.3399999999,4808507.8999999994,10264430.2400000002,
FS(23),5456765.0800000001,4806878.1800000006,10263643.2600000016,
FS(24),5435696.5800000001,4783247.2400000002,10218943.8200000022,
FS(25),5443281.2400000002,4823175.3799999999,10266456.6200000010,
FS(26),5426426.4400000004,4811767.3399999999,10238193.7800000012,
FS(27),5386817.6600000001,4810137.6200000001,10196955.2800000012,
FS(28),5447494.9400000004,4823175.3799999999,10270670.3200000003,
FS(29),5445809.4600000009,4841917.1600000001,10287726.6200000029,
FS(30),5434011.1000000006,4813397.0600000005,10247408.1600000020,
FS(31),5406200.6800000006,4836213.1400000006,10242413.8200000022,
FS(32),5360692.7199999997,4823175.3799999999,10183868.0999999996,
FS(33),5284003.3799999999,5026075.5199999996,10310078.9000000004,
FS(34),5240180.9000000004,5087190.0199999996,10327370.9200000018,
FS(35),5284003.3799999999,5136896.4799999995,10420899.8600000013,
FS(36),5294116.2599999998,5193121.8199999994,10487238.0800000001,
FS(37),5294116.2599999998,5193121.8199999994,10487238.0800000001,
FS(38),5325297.6399999997,5302313.0599999996,10627610.6999999993,
FS(39),5275575.9800000004,5321869.7000000002,10597445.6800000016,
FS(40),5299172.7000000002,5352019.5200000005,10651192.2200000025,
FS(41),5215741.4400000004,5332462.8799999999,10548204.3200000003,
FS(42),5266305.8399999999,5363427.5599999996,10629733.4000000004,
FS(43),5105342.5000000000,5341426.3399999999,10446768.8399999999,
FS(44),5088487.7000000002,5377280.1799999997,10465767.8800000008,
FS(45),5123882.7800000003,5337352.0400000000,10461234.8200000003,
FS(46),5194672.9400000004,5372391.0200000005,10567063.9600000028,
FS(47),5217426.9199999999,5367501.8600000003,10584928.7800000012,
