代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11390921.9099999983
真實報酬,1390921.9099999983
趨勢值,0.1018109947

選擇檔數,4
找到最佳解世代,2214
找到最佳解實驗,1
Stock#,HD,JNJ,NKE,V,
分配資金,2500000,2500000,2500000,2500000,
張數,47160,36764,112561,78963,
剩餘資金,48.4000000001,48.0000000000,20.1899999999,31.4200000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2435862.3999999999,2501470.5600000001,2546150.0100000002,2494472.5899999999,9977955.5600000005,
FS(3),2457556.0000000000,2491911.9199999999,2594551.2400000002,2507106.6699999999,10051125.8300000001,
FS(4),2459442.3999999999,2486764.9600000000,2572039.0400000000,2473152.5800000001,9991398.9800000004,
FS(5),2458027.5999999996,2491911.9199999999,2540521.9600000000,2440777.7500000000,9931239.2300000004,
FS(6),2462743.5999999996,2495588.3199999998,2568662.2100000000,2413930.3300000001,9940924.4599999990,
FS(7),2436805.6000000001,2496323.6000000001,2596802.4600000000,2383924.3900000001,9913856.0500000007,
FS(8),2431146.3999999999,2489338.4399999999,2584420.7500000000,2421037.0000000000,9925942.5899999999,
FS(9),2456612.8000000003,2522426.0400000000,2644078.0799999996,2449463.6799999997,10072580.5999999996,
FS(10),2426430.3999999999,2516543.8000000003,2618189.0500000003,2510265.1899999999,10071428.4399999995,
FS(11),2392003.5999999996,2536764.0000000000,2610309.7800000003,2531585.2000000002,10070662.5799999982,
FS(12),2400963.9999999995,2550366.6800000002,2663213.4500000002,2523688.8999999999,10138233.0299999993,
FS(13),2403322.0000000000,2556248.9199999999,2681223.2100000000,2475521.4700000002,10116315.6000000015,
FS(14),2391060.3999999999,2523161.3199999998,2619314.6599999997,2482628.1400000001,10016164.5199999996,
FS(15),2403322.0000000000,2504044.0400000000,2612561.0000000000,2457359.9800000000,9977287.0199999996,
FS(16),2413225.6000000001,2476103.3999999999,2615937.8299999996,2421037.0000000000,9926303.8299999982,
FS(17),2408509.6000000001,2482720.9199999999,2631696.3699999996,2412351.0699999998,9935277.9599999990,
FS(18),2495283.9999999995,2527205.3599999999,2718368.3399999999,2502368.8900000001,10243226.5899999980,
FS(19),2533012.0000000000,2555881.2799999998,2730750.0500000003,2548957.0600000001,10368600.3900000006,
FS(20),2511318.3999999999,2553307.8000000003,2696981.7500000000,2582911.1499999999,10344519.0999999996,
FS(21),2460857.1999999997,2544852.0800000001,2627193.9299999997,2548167.4300000002,10181070.6400000006,
FS(22),2437277.1999999997,2550734.3199999998,2617063.4399999999,2516582.2300000000,10121657.1899999995,
