代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11811662.9199999999
真實報酬,1811662.9199999999
趨勢值,0.1314420908

選擇檔數,5
找到最佳解世代,3591
找到最佳解實驗,5
Stock#,BA,CAT,DD,MRK,MSFT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,16985,23877,36656,41034,59559,
剩餘資金,16.2500000000,62.4799999999,48.6399999999,2.8399999999,8.7800000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2001528.6500000001,2007401.8699999999,2020160.7999999998,1984817.4199999997,2020250.0600000001,10034158.8000000007,
FS(3),1957367.6499999999,2005014.1699999999,2023826.3999999999,1984407.0799999998,2016676.5200000000,9987291.8200000003,
FS(4),1990658.2500000000,2010505.8800000001,2087607.8400000001,1979072.6599999997,2017867.7000000002,10085712.3300000001,
FS(5),1981995.8999999999,1994508.2900000000,2054250.8799999999,1965121.0999999999,1983323.4799999997,9979199.6500000004,
FS(6),1960764.6499999999,1978271.9299999999,2010996.7999999998,1959376.3399999999,1966051.3699999999,9875461.0899999999,
FS(7),1944289.2000000000,1994269.5199999998,2031890.7200000000,1939680.0200000000,1969624.9100000001,9879754.3699999992,
FS(8),2019532.7500000000,2023160.6900000002,2108868.3200000003,1948707.5000000000,2010720.6199999999,10110989.8800000008,
FS(9),2003906.5500000000,2044172.4500000000,2144058.0800000001,1940500.6999999997,2032757.4500000002,10165395.2300000004,
FS(10),2029044.3499999999,2059214.9600000000,2130861.9200000004,1918342.3399999999,2051816.3300000003,10189279.9000000004,
FS(11),2007303.5500000000,2047515.2300000000,2110701.1200000001,1910956.2200000000,2054198.6900000002,10130674.8099999987,
FS(12),2043991.1500000001,2059931.2699999998,2146990.5600000001,1935576.6199999999,2063132.5400000000,10249622.1400000006,
FS(13),2077111.9000000001,2049902.9299999999,2160553.2800000003,1933114.5799999998,2079809.0600000001,10300491.7500000000,
FS(14),2081018.4500000000,2085479.6600000001,2156521.1200000001,1912597.5799999998,2082191.4200000002,10317808.2300000004,
FS(15),2063184.2000000000,2094075.3800000001,2159087.0400000000,1908494.1799999997,2083978.1900000002,10308818.9900000002,
FS(16),2080339.0500000000,2129174.5699999998,2168984.1600000001,1906852.8199999998,2059559.0000000000,10344909.5999999996,
FS(17),2191420.9500000002,2000000.0000000000,2142225.2800000003,1910545.8799999999,2010720.6199999999,10254912.7300000004,
FS(18),2190741.5499999998,2018385.2900000000,2120598.2400000002,1896594.3199999998,2008338.2600000000,10234657.6599999983,
FS(19),2228278.3999999999,2024115.7699999998,2063048.3199999998,1909725.1999999997,2128051.8500000001,10353219.5399999991,
