代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13586895.6200000010
真實報酬,3586895.6200000010
趨勢值,0.1678827437

選擇檔數,3
找到最佳解世代,3998
找到最佳解實驗,1
Stock#,HD,UNH,WBA,
分配資金,3333333,3333333,3333333,
張數,36621,39271,56458,
剩餘資金,89.5800000001,10.5200000002,52.6800000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3378010.6200000001,3334118.4200000004,3373982.7600000002,10086112.8000000007,
FS(3),3425617.9200000004,3378101.9399999999,3431005.3400000003,10234726.2000000011,
FS(4),3415364.0400000000,3341579.9100000001,3424230.3799999999,10181175.3300000019,
FS(5),3386433.4500000002,3306236.0099999998,3378499.4000000004,10071169.8600000013,
FS(6),3445759.4700000002,3401664.5400000000,3469961.3600000003,10317386.3700000010,
FS(7),3408406.0499999998,3335689.2599999998,3475042.5800000001,10219138.8900000006,
FS(8),3389363.1299999999,3353361.2100000000,3556342.1000000001,10299067.4400000013,
FS(9),3317952.1799999997,3296810.9700000002,3426488.7000000002,10041252.8500000015,
FS(10),3299641.6799999997,3252434.7399999998,3426488.7000000002,9978566.1200000010,
FS(11),3217244.4299999997,3226515.8799999999,3441167.7800000003,9884929.0899999999,
FS(12),3254964.0600000001,3353361.2100000000,3409551.3000000003,10017877.5700000003,
FS(13),3304768.6200000001,3462927.3000000003,3402776.3400000003,10170473.2600000016,
FS(14),3363728.4299999997,3477064.8600000003,3398824.2800000003,10239618.5700000003,
FS(15),3449787.7800000003,3571707.9700000002,3475042.5800000001,10496539.3300000019,
FS(16),3418293.7200000002,3525368.1899999999,3472219.6800000002,10415882.5899999999,
FS(17),3471760.3799999999,3560319.3799999999,3504400.7400000002,10536481.5000000000,
FS(18),3478718.3700000001,3598804.9600000000,3537146.3799999999,10614670.7100000009,
FS(19),3496296.4500000002,3618047.7500000000,3563117.0600000001,10677462.2600000016,
FS(20),3537311.9700000002,3638075.9600000000,3596427.2800000003,10771816.2100000009,
FS(21),3531086.3999999999,3650642.6799999997,3547308.8200000003,10729038.9000000004,
FS(22),3571369.5000000000,3686772.0000000000,3554648.3600000003,10812790.8600000013,
FS(23),3571369.5000000000,3731148.2300000004,3625785.4399999999,10928304.1700000018,
FS(24),3519001.4700000002,3725257.5800000001,3668693.5200000005,10912953.5700000022,
FS(25),3514240.7399999998,3729970.1000000001,3683372.6000000001,10927584.4400000013,
FS(26),3507648.9600000000,3762172.3199999998,3707084.9600000000,10976907.2400000002,
FS(27),3562946.6700000004,3778273.4299999997,3762978.3800000004,11104199.4800000023,
FS(28),3576130.2300000004,3676168.8300000001,3778222.0400000000,11030522.1000000015,
FS(29),3594806.9399999999,3720937.7700000000,3826775.9200000004,11142521.6300000008,
FS(30),3594074.5200000000,3757852.5099999998,3810967.6800000002,11162895.7100000009,
FS(31),3606891.8700000001,3757459.8000000003,3807580.2000000002,11171932.8700000010,
FS(32),3625568.5800000001,3766099.4200000004,3780480.3599999999,11172149.3600000013,
FS(33),3597736.6200000001,3735075.3300000001,3778786.6200000006,11111599.5700000003,
FS(34),3590046.2100000000,3788483.8900000001,3757332.5800000001,11135863.6800000016,
FS(35),3514973.1600000001,3856030.0099999998,3842584.1600000001,11213588.3300000019,
FS(36),3541340.2800000003,3803799.5800000001,3827340.5000000005,11172481.3600000013,
FS(37),3573200.5499999998,3803406.8699999996,3801934.4000000004,11178542.8200000003,
FS(38),3599201.4600000000,3797908.9299999997,3816048.9000000004,11213160.2900000010,
FS(39),3603595.9800000004,3805370.4200000004,3823953.0200000005,11232920.4200000018,
FS(40),3552692.7900000000,3844641.4200000004,3828469.6600000001,11225804.8700000010,
FS(41),3577961.2800000003,3852888.3300000001,3865731.9399999999,11296582.5500000007,
FS(42),3640216.9800000004,3873309.2500000000,3873636.0600000001,11387163.2900000010,
FS(43),3621174.0600000001,3890195.7800000003,3826211.3399999999,11337582.1800000016,
FS(44),3594806.9399999999,3920434.4499999997,3768624.1800000002,11283866.5700000003,
FS(45),3610553.9700000002,3958527.3199999998,3804192.7199999997,11373275.0100000016,
FS(46),3623737.5300000003,3914151.0900000003,3833550.8800000004,11371440.5000000019,
FS(47),3649006.0200000000,3940069.9499999997,3873071.4800000000,11462148.4500000011,
FS(48),3677936.6100000003,3923968.8400000003,3823953.0200000005,11425859.4700000025,
FS(49),3649006.0200000000,3967166.9399999999,3872506.9000000004,11488680.8600000013,
FS(50),3623371.3199999998,3891373.9100000001,3847665.3800000004,11362411.6100000013,
FS(51),3672077.2500000000,3916507.3500000001,4122051.2600000002,11710636.8600000013,
FS(52),3654132.9600000000,3878414.4800000004,4206173.6799999997,11738722.1200000010,
FS(53),3664020.6299999999,3859171.6899999999,4146328.2000000002,11669521.5200000014,
FS(54),3554523.8400000003,3764135.8699999996,4087047.3000000003,11405708.0100000016,
FS(55),3623371.3199999998,3893337.4600000000,4064464.1000000001,11581173.8800000008,
FS(56),3686725.6499999999,4015077.5599999996,4199398.7199999997,11901202.9299999997,
FS(57),3732868.1100000003,4024895.3099999996,4134472.0200000005,11892236.4400000013,
