代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12352339.9299999997
真實報酬,2352339.9299999997
趨勢值,0.0455232420

選擇檔數,1
找到最佳解世代,2273
找到最佳解實驗,1
Stock#,NKE,
分配資金,10000000,
張數,200883,
剩餘資金,44.2599999998,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10010044.1499999985,10010044.1499999985,
FS(3),10018079.4699999988,10018079.4699999988,
FS(4),10006026.4900000002,10006026.4900000002,
FS(5),10128565.1200000010,10128565.1200000010,
FS(6),10116512.1399999987,10116512.1399999987,
FS(7),10042185.4299999997,10042185.4299999997,
FS(8),9971876.3800000008,9971876.3800000008,
FS(9),9997991.1699999999,9997991.1699999999,
FS(10),10028123.6200000010,10028123.6200000010,
FS(11),10034150.1100000013,10034150.1100000013,
FS(12),9899558.5000000000,9899558.5000000000,
FS(13),10044194.2599999998,10044194.2599999998,
FS(14),10074326.7099999990,10074326.7099999990,
FS(15),10060264.8999999985,10060264.8999999985,
FS(16),10156688.7400000002,10156688.7400000002,
FS(17),10140618.0999999996,10140618.0999999996,
FS(18),10138609.2699999996,10138609.2699999996,
FS(19),10030132.4499999993,10030132.4499999993,
FS(20),10062273.7300000004,10062273.7300000004,
FS(21),9927682.1200000010,9927682.1200000010,
FS(22),10122538.6300000008,10122538.6300000008,
FS(23),10128565.1200000010,10128565.1200000010,
FS(24),10086379.6899999995,10086379.6899999995,
FS(25),10066291.3899999987,10066291.3899999987,
FS(26),10190838.8499999996,10190838.8499999996,
FS(27),10289271.5199999996,10289271.5199999996,
FS(28),10325430.4599999990,10325430.4599999990,
FS(29),10283245.0299999993,10283245.0299999993,
FS(30),10261147.8999999985,10261147.8999999985,
FS(31),10389713.0199999996,10389713.0199999996,
FS(32),10544392.9299999997,10544392.9299999997,
FS(33),10522295.8000000007,10522295.8000000007,
FS(34),10510242.8200000003,10510242.8200000003,
FS(35),10508233.9900000002,10508233.9900000002,
FS(36),10486136.8600000013,10486136.8600000013,
FS(37),10490154.5199999996,10490154.5199999996,
FS(38),10387704.1899999995,10387704.1899999995,
FS(39),10329448.1200000010,10329448.1200000010,
FS(40),10275209.7099999990,10275209.7099999990,
FS(41),10212935.9800000004,10212935.9800000004,
FS(42),10220971.3000000007,10220971.3000000007,
FS(43),10257130.2400000002,10257130.2400000002,
FS(44),10297306.8399999999,10297306.8399999999,
FS(45),10241059.5999999996,10241059.5999999996,
FS(46),10249094.9199999999,10249094.9199999999,
FS(47),10188830.0199999996,10188830.0199999996,
FS(48),10180794.6999999993,10180794.6999999993,
FS(49),10379668.8700000010,10379668.8700000010,
FS(50),10433907.2799999993,10433907.2799999993,
FS(51),10423863.1300000008,10423863.1300000008,
FS(52),10381677.6999999993,10381677.6999999993,
FS(53),10502207.5000000000,10502207.5000000000,
FS(54),10522295.8000000007,10522295.8000000007,
FS(55),10646843.2599999998,10646843.2599999998,
FS(56),10701081.6699999999,10701081.6699999999,
FS(57),10727196.4599999990,10727196.4599999990,
FS(58),10767373.0600000005,10767373.0600000005,
FS(59),10668940.3899999987,10668940.3899999987,
FS(60),10568498.8899999987,10568498.8899999987,
FS(61),11020485.6399999987,11020485.6399999987,
FS(62),10815584.9800000004,10815584.9800000004,
FS(63),10849735.0899999999,10849735.0899999999,
FS(64),10992362.0199999996,10992362.0199999996,
FS(65),11036556.2799999993,11036556.2799999993,
FS(66),11032538.6200000010,11032538.6200000010,
FS(67),11179183.2099999990,11179183.2099999990,
FS(68),10976291.3800000008,10976291.3800000008,
FS(69),10992362.0199999996,10992362.0199999996,
FS(70),11100838.8399999999,11100838.8399999999,
FS(71),11291677.6899999995,11291677.6899999995,
FS(72),11283642.3700000010,11283642.3700000010,
FS(73),11239448.1100000013,11239448.1100000013,
FS(74),11283642.3700000010,11283642.3700000010,
FS(75),11329845.4599999990,11329845.4599999990,
FS(76),11363995.5700000003,11363995.5700000003,
FS(77),11349933.7599999998,11349933.7599999998,
FS(78),11460419.4099999983,11460419.4099999983,
FS(79),11450375.2599999998,11450375.2599999998,
