代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11202653.1099999994
真實報酬,1202653.1099999994
趨勢值,0.0728088965

選擇檔數,6
找到最佳解世代,2147
找到最佳解實驗,1
Stock#,INTC,JNJ,JPM,MRK,PFE,PG,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,51361,15263,27838,31036,55481,19952,
剩餘資金,1.5499999999,99.0300000000,4.9400000001,32.7999999999,16.7600000000,75.4400000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1643553.5499999998,1657508.2000000002,1648014.5400000003,1688391.1999999997,1704393.0799999998,1660281.3599999999,10002145.9299999997,
FS(3),1638417.4499999997,1663002.8800000001,1624630.6200000001,1683425.4399999999,1739900.9199999999,1659283.7599999998,10008665.0699999984,
FS(4),1647662.4299999997,1670176.4900000000,1637157.7200000002,1726565.4800000000,1827006.0900000001,1672252.5600000001,10180824.7699999977,
FS(5),1620441.0999999999,1667887.0400000000,1595679.1000000001,1720047.9199999999,1817574.3199999998,1660879.9199999999,10082513.4000000004,
FS(6),1624549.9799999997,1665292.3299999998,1607371.0600000003,1718185.7599999998,1803149.2600000000,1660081.8400000001,10078634.2299999986,
FS(7),1626604.4199999999,1663308.1399999999,1620176.5400000003,1708564.5999999996,1769305.8500000001,1650704.4000000001,10038667.9499999993,
FS(8),1636363.0099999998,1672923.8299999998,1650241.5800000003,1717565.0399999998,1773189.5200000000,1652699.5999999999,10102986.5800000001,
FS(9),1650230.4800000000,1677044.8400000001,1720114.9600000002,1736807.3599999999,1805368.5000000000,1645317.3599999999,10234887.4999999981,
FS(10),1633281.3499999999,1676586.9500000002,1742385.3600000003,1752015.0000000000,1811471.4099999999,1636338.9600000000,10252083.0299999993,
FS(11),1615818.6099999999,1681776.3700000001,1722342.0000000000,1742393.8399999999,1803149.2600000000,1642125.0399999998,10207609.1199999992,
FS(12),1625577.1999999997,1693223.6200000001,1733477.2000000002,1753877.1599999997,1809252.1699999999,1652699.5999999999,10268110.9499999993,
FS(13),1623009.1499999999,1719933.8700000001,1762707.1000000001,1764739.7599999998,1824786.8500000001,1661678.0000000000,10356858.7300000004,
FS(14),1643553.5499999998,1733670.5700000001,1788318.0600000001,1756049.6799999997,1843650.3899999999,1627161.0399999998,10392407.2899999991,
FS(15),1642012.7199999997,1733517.9399999999,1770501.7400000002,1756670.3999999999,1844205.2000000002,1612197.0399999998,10359109.0399999991,
FS(16),1625063.5899999999,1729702.1899999999,1780801.8000000000,1761015.4399999999,1845869.6300000001,1615189.8400000001,10357646.4900000002,
FS(17),1612223.3399999999,1732602.1600000001,1770501.7400000002,1744876.7199999997,1842540.7700000000,1624367.7599999998,10327116.4900000002,
FS(18),1612736.9499999997,1723444.3599999999,1779688.2800000003,1739290.2399999998,1833663.8099999998,1587257.0399999998,10276084.6799999997,
FS(19),1630713.2999999998,1721307.5400000000,1784699.1200000001,1747669.9600000000,1830889.7600000000,1594040.7200000000,10309324.3999999985,
FS(20),1597842.2599999998,1716881.2700000000,1770501.7400000002,1729979.4399999999,1825896.4699999997,1591446.9600000000,10232552.1399999987,
FS(21),1555212.6299999999,1710776.0700000001,1759366.5400000003,1702047.0399999998,1814800.2700000000,1598629.6799999999,10140836.2300000004,
FS(22),1572161.7599999998,1721002.2800000000,1775790.9600000002,1716323.5999999996,1819793.5599999998,1615588.8799999999,10220665.0399999991,
FS(23),1559321.5099999998,1720086.5000000000,1741550.2200000002,1709495.6799999997,1869726.4600000002,1618182.6399999999,10218367.0099999979,
FS(24),1533127.3999999999,1712912.8899999999,1741550.2200000002,1701115.9600000000,1853082.1599999999,1628158.6399999999,10169951.2699999996,
FS(25),1535695.4499999997,1722986.4700000000,1704804.0600000003,1678770.0399999998,1862513.9299999999,1622173.0399999998,10126946.9900000002,
FS(26),1542885.9899999998,1720849.6499999999,1714825.7400000002,1663562.3999999999,1863068.7400000000,1638733.2000000000,10143929.7199999988,
FS(27),1530559.3499999999,1735807.3899999999,1703968.9200000002,1679080.3999999999,1876384.1799999999,1638533.6799999999,10164337.9199999999,
