代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12077175.6900000013
真實報酬,2077175.6900000013
趨勢值,0.2038589960

選擇檔數,8
找到最佳解世代,1816
找到最佳解實驗,3
Stock#,AXP,BA,CAT,HD,JNJ,MCD,UNH,V,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,15905,7076,13547,8525,10024,9644,7548,13988,
剩餘資金,26.0499999999,24.6000000000,18.3100000001,64.5000000000,107.4400000000,41.1599999999,126.6800000000,32.3200000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1244751.3500000001,1264505.7999999998,1275197.4199999999,1247613.0000000000,1249899.7600000000,1246913.9199999999,1245320.2400000000,1241886.9600000002,10016088.4500000011,
FS(3),1236798.8500000001,1253042.6799999999,1276687.5900000001,1250170.5000000000,1251102.6399999999,1257715.2000000000,1248339.4399999999,1245383.9600000002,10019240.8600000013,
FS(4),1239343.6500000001,1255094.7200000000,1298091.8499999999,1255285.5000000000,1253608.6399999999,1255207.7600000000,1248113.0000000000,1246223.2400000002,10050968.3600000013,
FS(5),1236957.8999999999,1265567.1999999997,1294027.7500000000,1254347.7500000000,1252305.5200000000,1253375.3999999999,1253245.6399999999,1241327.4399999999,10051154.5999999996,
FS(6),1232504.5000000000,1256439.1599999999,1315973.8900000001,1263554.7500000000,1246491.6000000001,1253568.2799999998,1249169.7200000000,1243006.0000000000,10060707.9000000004,
FS(7),1228846.3500000001,1263585.9199999999,1315432.0100000000,1263469.5000000000,1245288.7200000000,1265333.9599999997,1251811.5200000000,1242866.1199999999,10076634.1000000015,
FS(8),1219621.4500000002,1245754.3999999999,1285086.7300000000,1249318.0000000000,1257117.0400000000,1265912.5999999999,1249773.5600000001,1240488.1600000001,10013071.9399999995,
FS(9),1205625.0500000000,1242711.7200000000,1261244.0100000000,1243947.2500000000,1253007.2000000000,1261090.5999999999,1245244.7600000000,1243145.8800000001,9956016.4699999988,
FS(10),1219462.4000000001,1266770.1199999999,1275332.8900000001,1255882.2500000000,1260324.7200000000,1266780.5599999998,1262001.3200000001,1256294.6000000001,10062848.8600000013,
FS(11),1205466.0000000002,1258491.1999999997,1278719.6400000001,1259718.5000000000,1221231.1199999999,1275942.3600000001,1272644.0000000000,1255175.5600000001,10027388.3800000008,
FS(12),1201648.8000000000,1262383.0000000000,1266256.4000000001,1255115.0000000000,1216720.3200000001,1279221.3199999998,1277625.6799999999,1255455.3200000001,10014425.8399999999,
FS(13),1272744.1499999999,1268751.3999999999,1282377.3300000001,1267902.5000000000,1221732.3200000001,1285297.0400000000,1294910.5999999999,1275038.5200000003,10168753.8599999994,
FS(14),1265905.0000000000,1276393.4799999997,1277771.3499999999,1278814.5000000000,1220629.6799999999,1286647.2000000000,1292042.3599999999,1275038.5200000003,10173242.0899999999,
FS(15),1279583.3000000000,1288281.1599999999,1311503.3800000001,1294926.7500000000,1231956.8000000000,1294555.2799999998,1300873.5200000000,1284830.1199999999,10286510.3100000024,
FS(16),1282446.2000000000,1298541.3599999999,1414596.0500000000,1304645.2500000000,1237369.7600000000,1366595.9599999997,1313780.5999999999,1288467.0000000000,10506442.1800000016,
FS(17),1280696.6499999999,1285804.5599999998,1417847.3300000001,1314790.0000000000,1238171.6799999999,1358302.1199999999,1316346.9199999999,1284410.4800000000,10496369.7400000002,
FS(18),1277674.7000000000,1296489.3199999998,1391024.2700000003,1330987.5000000000,1240477.2000000000,1358591.4399999999,1318233.9199999999,1281333.1199999999,10494811.4700000007,
FS(19),1260497.3000000000,1307881.6799999999,1385334.5300000000,1330817.0000000000,1237770.7200000000,1349526.0800000001,1320120.9199999999,1276017.6799999999,10467965.9100000001,
FS(20),1260179.2000000002,1290616.2399999998,1381812.3100000001,1314704.7500000000,1236467.6000000001,1361291.7600000000,1317932.0000000000,1276577.2000000002,10439581.0600000005,
FS(21),1265109.7500000002,1298046.0399999998,1375174.2800000000,1321013.2500000000,1240076.2400000000,1362063.2799999998,1314535.3999999999,1294481.8400000001,10470500.0800000001,
FS(22),1253817.2000000000,1297692.2399999998,1375580.6900000002,1321439.5000000000,1236367.3599999999,1375468.4399999999,1302458.5999999999,1293083.0400000000,10455907.0700000022,
