代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12269694.1099999994
真實報酬,2269694.1099999994
趨勢值,0.1850746565

選擇檔數,6
找到最佳解世代,2836
找到最佳解實驗,2
Stock#,DIS,HD,NKE,PFE,V,VZ,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,16893,9639,25992,47551,14077,35340,
剩餘資金,2.6200000001,82.8999999999,58.9599999999,3.4500000001,89.9700000000,31.6000000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1679504.6800000002,1674955.5399999998,1733725.3600000001,1696623.1300000001,1678068.3700000001,1678681.6000000001,10141562.6799999997,
FS(3),1705350.9700000002,1710427.0599999998,1778431.6000000001,1718021.0800000003,1686655.3400000001,1693877.8000000000,10292767.8499999996,
FS(4),1724946.8500000001,1726716.9700000000,1808842.2400000000,1699000.6799999999,1706081.5999999999,1704833.2000000002,10370425.5399999991,
FS(5),1695215.1699999999,1681606.4499999997,1755818.5599999998,1672372.1200000003,1656952.8700000001,1677974.8000000000,10139943.9699999988,
FS(6),1684234.7200000002,1662906.7899999998,1746201.5200000003,1686161.9100000001,1672296.8000000000,1658184.4000000001,10109990.1400000025,
FS(7),1712446.0300000003,1672353.0100000000,1741522.9600000000,1709461.9000000004,1699465.4099999999,1705893.4000000001,10241146.7100000009,
FS(8),1702817.0200000000,1666280.4399999999,1737104.3199999998,1701853.7400000002,1686233.0300000000,1681508.8000000000,10175801.3499999996,
FS(9),1695890.8900000001,1671099.9399999999,1761536.7999999998,1727055.7700000003,1704392.3599999999,1687163.2000000002,10247142.9600000009,
FS(10),1695215.1699999999,1665702.1000000001,1748020.9600000000,1727055.7700000003,1699887.7200000000,1684336.0000000000,10220221.7200000007,
FS(11),1693356.9399999999,1681413.6699999999,1743082.4800000000,1737041.4800000002,1715794.7300000000,1710134.2000000002,10280827.5000000000,
FS(12),1725960.4300000002,1686040.3899999999,1754778.8800000001,1727531.2800000000,1742822.5699999998,1726390.6000000001,10363528.1500000004,
