代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11683518.4800000004
真實報酬,1683518.4800000004
趨勢值,0.1134164796

選擇檔數,3
找到最佳解世代,1619
找到最佳解實驗,1
Stock#,KO,MCD,PG,
分配資金,3333333,3333333,3333333,
張數,71347,17693,32162,
剩餘資金,1.1600000001,148.7300000002,63.3200000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3322630.9500000002,3332625.2800000003,3336870.8199999998,9992128.0500000007,
FS(3),3294805.6200000001,3332625.2800000003,3334941.0999999996,9962373.0000000000,
FS(4),3316209.7199999997,3359518.6400000006,3326578.9800000000,10002308.3400000017,
FS(5),3315496.2500000000,3374380.7600000007,3333654.6200000001,10023532.6300000008,
FS(6),3321204.0099999998,3359164.7800000003,3376108.4600000000,10056478.2500000000,
FS(7),3329765.6500000004,3363234.1700000009,3366138.2399999998,10059139.0600000005,
FS(8),3327625.2400000002,3348018.1900000004,3365816.6200000001,10041461.0500000007,
FS(9),3332619.5300000003,3342002.5700000003,3369032.8199999998,10043655.9200000018,
FS(10),3334759.9400000004,3390127.5300000003,3379003.0400000000,10103891.5100000016,
FS(11),3353310.1600000001,3394550.7800000003,3400551.5800000001,10148413.5200000014,
FS(12),3349742.8100000005,3391896.8300000001,3422743.3599999999,10164384.0000000019,
FS(13),3373287.3200000003,3390304.4600000009,3404411.0199999996,10168003.8000000007,
FS(14),3387556.7199999997,3448691.3600000003,3410843.4199999999,10247092.5000000000,
FS(15),3381848.9600000000,3431175.2900000000,3409556.9399999999,10222582.1900000013,
FS(16),3439640.0300000003,3454883.9100000001,3317895.2399999998,10212420.1799999997,
FS(17),3423230.2199999997,3496816.3200000003,3334941.0999999996,10254988.6400000006,
FS(18),3413241.6400000006,3502124.2200000007,3321754.6799999997,10237121.5400000010,
FS(19),3443207.3799999999,3493100.7900000000,3404732.6399999997,10341041.8100000005,
FS(20),3454622.9000000004,3487792.8900000006,3369997.6799999997,10312414.4700000007,
FS(21),3500284.9800000004,3495754.7400000002,3424673.0800000001,10420713.8000000007,
FS(22),3466751.8900000006,3435598.5400000000,3374821.9800000000,10277173.4100000020,
FS(23),3452482.4900000002,3443383.4600000009,3395084.0400000000,10290950.9900000021,
FS(24),3476027.0000000000,3494870.0900000008,3411808.2799999998,10382706.3700000010,
FS(25),3458190.2500000000,3519286.4300000006,3398943.4800000000,10376421.1600000020,
FS(26),3424657.1600000001,3504070.4500000002,3367424.7199999997,10296153.3300000001,
FS(27),3413955.1100000003,3503893.5200000005,3379324.6599999997,10297174.2900000010,
FS(28),3381848.9600000000,3498585.6200000001,3352630.1999999997,10233065.7799999993,
FS(29),3438213.0899999999,3538571.8000000007,3409556.9399999999,10386342.8300000019,
FS(30),3428224.5099999998,3521586.5200000005,3412773.1399999997,10362585.1699999999,
FS(31),3473886.5899999999,3503539.6600000001,3396370.5199999996,10373797.7699999996,
FS(32),3508846.6200000001,3522294.2400000002,3431748.7199999997,10462890.5800000001,
FS(33),3537385.4199999999,3538571.8000000007,3477097.1399999997,10553055.3600000013,
FS(34),3510273.5600000005,3524948.1900000004,3455870.2199999997,10491092.9700000007,
FS(35),3485302.1100000003,3520878.8000000007,3452010.7799999998,10458192.6900000013,
FS(36),3467465.3600000003,3535917.8500000006,3421135.2599999998,10424519.4700000007,
FS(37),3542379.7100000000,3538041.0100000007,3432391.9600000000,10512813.6800000016,
FS(38),3556649.1100000003,3520524.9400000004,3433678.4399999999,10510853.4900000021,
FS(39),3539525.8300000001,3499293.3400000008,3431427.0999999996,10470247.2700000014,
FS(40),3503138.8600000003,3479831.0400000000,3359705.8399999999,10342676.7400000002,
FS(41),3468178.8300000001,3468330.5900000008,3351022.0999999996,10287532.5200000014,
FS(42),3513840.9100000001,3525302.0500000007,3387686.7799999998,10426830.7400000002,
FS(43),3505279.2700000005,3508139.8400000008,3309854.7399999998,10323274.8500000015,
FS(44),3565924.2199999997,3517163.2700000005,3338478.9199999999,10421567.4100000001,
FS(45),3567351.1600000001,3532202.3200000003,3366781.4800000000,10466335.9600000009,
FS(46),3623001.8200000003,3541048.8200000003,3432713.5800000001,10596765.2200000007,
FS(47),3667236.9600000000,3592712.3800000008,3453618.8799999999,10713569.2200000007,
FS(48),3673658.1900000004,3635706.3700000001,3498324.0599999996,10807689.6200000010,
FS(49),3665810.0200000005,3561749.6300000008,3496715.9600000000,10724276.6100000013,
FS(50),3662242.6699999999,3596427.9100000001,3517942.8799999999,10776614.4600000009,
FS(51),3684360.2400000002,3625975.2200000007,3527591.4800000000,10837927.9400000013,
