代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10727983.5399999991
真實報酬,727983.5399999991
趨勢值,0.1826421032

選擇檔數,1
找到最佳解世代,2621
找到最佳解實驗,1
Stock#,WBA,
分配資金,10000000,
張數,391389,
剩餘資金,11.0499999997,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10504891.8099999987,10504891.8099999987,
FS(3),10454011.2399999984,10454011.2399999984,
FS(4),10579255.7199999988,10579255.7199999988,
FS(5),10504891.8099999987,10504891.8099999987,
FS(6),10234833.3999999985,10234833.3999999985,
FS(7),10136986.1499999985,10136986.1499999985,
FS(8),10203522.2799999993,10203522.2799999993,
FS(9),10230919.5099999998,10230919.5099999998,
FS(10),10528375.1499999985,10528375.1499999985,
FS(11),10532289.0399999991,10532289.0399999991,
FS(12),10152641.7099999990,10152641.7099999990,
FS(13),10305283.4199999981,10305283.4199999981,
FS(14),10489236.2500000000,10489236.2500000000,
FS(15),10540116.8199999984,10540116.8199999984,
FS(16),10489236.2500000000,10489236.2500000000,
FS(17),10567514.0499999989,10567514.0499999989,
FS(18),10915850.2599999998,10915850.2599999998,
FS(19),10915850.2599999998,10915850.2599999998,
FS(20),10727983.5399999991,10727983.5399999991,
