代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10963205.3499999996
真實報酬,963205.3499999996
趨勢值,0.2413991297

選擇檔數,2
找到最佳解世代,2453
找到最佳解實驗,1
Stock#,V,WMT,
分配資金,5000000,5000000,
張數,400320,107365,
剩餘資金,3.1999999999,11.9500000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4843875.2000000002,5133132.6000000006,9977007.8000000007,
FS(3),4915932.7999999998,4983895.2500000000,9899828.0500000007,
FS(4),5380304.0000000000,5213656.3500000006,10593960.3499999996,
FS(5),5544435.2000000002,5328536.9000000004,10872972.1000000015,
FS(6),5536428.7999999998,5290959.1500000004,10827387.9499999993,
FS(7),5388310.4000000004,5123469.7500000000,10511780.1500000004,
FS(8),5500400.0000000000,5178225.8999999994,10678625.9000000004,
FS(9),5644515.2000000002,5167489.4000000004,10812004.6000000015,
FS(10),5600480.0000000000,4995705.4000000004,10596185.4000000004,
FS(11),5428342.4000000004,5179299.5500000007,10607641.9500000011,
FS(12),5620496.0000000000,5368261.9500000002,10988757.9500000011,
FS(13),5568454.4000000004,5416576.2000000002,10985030.6000000015,
FS(14),5572457.6000000006,5370409.2500000009,10942866.8500000015,
FS(15),5428342.4000000004,5248013.1500000004,10676355.5500000007,
FS(16),5640512.0000000000,5369335.5999999996,11009847.5999999996,
FS(17),5548438.4000000004,5283443.6000000006,10831882.0000000000,
FS(18),5612489.5999999996,5180373.2000000002,10792862.7999999989,
FS(19),5676540.7999999998,5286664.5500000007,10963205.3499999996,
