代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11445829.6099999994
真實報酬,1445829.6099999994
趨勢值,0.4066628105

選擇檔數,5
找到最佳解世代,2209
找到最佳解實驗,2
Stock#,BA,CVX,JNJ,PFE,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,67773,34710,41736,171526,41631,
剩餘資金,18.7699999999,9.8000000001,10.8799999999,6.8400000000,46.7600000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1989834.0499999998,2003818.0999999999,1988313.9199999999,2036020.4600000000,1972523.5400000000,9990510.0700000003,
FS(3),2054218.3999999997,2057618.6000000001,2049248.4800000000,2144081.8399999999,2018733.9500000002,10323901.2699999996,
FS(4),1991867.2399999998,1959736.4000000001,1989566.0000000000,2173241.2599999998,2071189.0100000000,10185599.9100000001,
FS(5),2039986.0699999998,2022561.5000000002,2002086.7999999998,2183532.8199999998,2036218.9700000000,10284386.1600000001,
FS(6),2100981.7700000000,2022908.6000000001,1944908.4800000000,2166380.2200000002,1977935.5699999998,10213114.6400000006,
FS(7),2237205.5000000000,2144393.6000000001,1994156.9600000000,2245282.1799999997,2026227.5300000000,10647265.7700000014,
FS(8),2254826.4800000004,2124956.0000000005,1999165.2799999998,2193824.3799999999,1975854.0200000000,10548626.1600000001,
FS(9),2279224.7600000002,2200623.8000000003,2045074.8799999999,2404801.3599999999,2037467.8999999999,10967192.7000000011,
FS(10),2263636.9699999997,2183615.9000000004,2113521.9199999999,2493994.8799999999,2047875.6499999999,11102645.3200000003,
FS(11),2292779.3599999999,2184657.2000000002,2117278.1599999997,2427099.7399999998,2031639.5599999998,11053454.0200000014,
FS(12),2334120.8899999997,2266919.9000000004,2116860.7999999998,2445967.5999999996,2081596.7600000000,11245465.9500000011,
FS(13),2287357.5200000000,2311348.7000000002,2114356.6399999997,2444252.3399999999,2099914.4000000004,11257229.6000000015,
FS(14),2249404.6399999997,2330092.1000000001,2089315.0400000000,2349913.0399999996,2079515.2100000002,11098240.0299999993,
FS(15),2206029.9199999999,2246093.8999999999,2156510.0000000000,2337906.2200000002,2064528.0500000000,11011068.0900000017,
FS(16),2405960.2700000000,2400206.3000000003,2221618.1599999997,2404801.3599999999,2143210.6400000001,11575796.7300000004,
FS(17),2446624.0700000003,2393958.5000000005,2199498.0800000001,2387648.7599999998,2126558.2400000002,11554287.6500000022,
FS(18),2511686.1500000004,2419296.8000000003,2206175.8399999999,2445967.5999999996,2151536.8400000003,11734663.2300000023,
FS(19),2620122.9499999997,2435610.5000000005,2207845.2799999998,2466550.7200000002,2196498.3200000003,11926627.7700000014,
FS(20),2543539.4600000000,2391528.8000000003,2204923.7599999998,2408231.8799999999,2188588.4300000002,11736812.3300000001,
FS(21),2407315.7300000004,2318637.8000000003,2212436.2399999998,2349913.0399999996,2154867.3200000003,11443170.1300000008,
FS(22),2411382.1099999999,2333910.2000000002,2195324.4800000000,2336190.9599999995,2169021.8600000003,11445829.6099999994,
