代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,14765667.4900000002
真實報酬,4765667.4900000002
趨勢值,0.5435456496

選擇檔數,4
找到最佳解世代,2090
找到最佳解實驗,1
Stock#,AAPL,AXP,DD,WBA,
分配資金,2500000,2500000,2500000,2500000,
張數,160978,173130,199203,94339,
剩餘資金,11.6600000001,2.8000000001,2.3499999999,16.5000000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000019,
FS(2),2591757.4600000004,2593490.2000000002,2820716.8299999996,2583961.7100000000,10589926.2000000011,
FS(3),2667417.1200000001,2654085.7000000002,3121513.3599999994,2538678.9900000002,10981695.1700000018,
FS(4),2723759.4200000004,2624653.6000000001,3057768.3999999994,2540565.7700000000,10946747.1900000013,
FS(5),2644880.2000000002,2598684.1000000001,2828684.9499999993,2584905.1000000001,10657154.3499999996,
FS(6),2675466.0200000005,2721606.4000000004,2878485.6999999993,2615093.5800000001,10890651.7000000011,
FS(7),2749515.8999999999,3260040.7000000002,3103585.0899999999,2733960.7200000002,11847102.4100000001,
FS(8),2764003.9200000004,3542242.6000000006,3189242.3799999999,2751885.1300000004,12247374.0300000031,
FS(9),2720539.8599999999,3190788.7000000002,3023903.8899999997,2726413.6000000001,11661646.0499999989,
FS(10),2706051.8399999999,3569943.4000000004,3185258.3199999998,2739621.0600000001,12200874.6200000010,
FS(11),2792979.9600000004,3582062.5000000005,3378485.2300000000,2866978.7100000000,12620506.4000000022,
FS(12),2838053.7999999998,3775968.1000000001,3573704.1699999999,2832073.2799999998,13019799.3499999996,
FS(13),2770443.0400000005,3286010.2000000002,3256971.3999999999,2839620.3999999999,12153045.0400000010,
FS(14),2799419.0800000001,3388156.9000000004,3456174.3999999999,2888676.6800000002,12532427.0600000005,
FS(15),2794589.7400000002,3363918.7000000002,3537847.6299999999,2816979.0400000000,12513335.1100000013,
FS(16),2883127.6400000001,3630538.8999999999,3513943.2699999996,2768866.1499999999,12796475.9600000009,
FS(17),2849322.2600000002,4380191.7999999998,3685257.8499999996,2791507.5099999998,13706279.4200000018,
FS(18),2868639.6200000001,4194942.7000000002,3577688.2300000000,2759432.2500000000,13400702.8000000007,
FS(19),2849322.2600000002,4181092.2999999998,3687249.8799999999,2830186.5000000000,13547850.9400000013,
FS(20),2878298.2999999998,4319596.2999999998,3832668.0699999994,2937732.9600000000,13968295.6300000008,
FS(21),2894396.1000000001,4366341.3999999994,4539838.7199999997,2965091.2700000000,14765667.4900000002,
