代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11341364.7299999986
真實報酬,1341364.7299999986
趨勢值,0.6935007461

選擇檔數,4
找到最佳解世代,2030
找到最佳解實驗,1
Stock#,KO,MCD,MRK,PFE,
分配資金,2500000,2500000,2500000,2500000,
張數,117702,47709,102880,184094,
剩餘資金,9.5200000002,48.4000000001,15.9999999999,3.4800000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2541195.7000000002,2517652.3300000001,2532921.6000000001,2573637.6000000001,10165407.2300000004,
FS(3),2538841.6600000001,2536258.8399999999,2529835.2000000002,2628865.7999999998,10233801.5000000000,
FS(4),2527071.4600000000,2561544.6099999999,2531892.7999999998,2560751.0200000000,10181259.8899999987,
FS(5),2518832.3199999998,2547231.9100000001,2593620.8000000003,2606774.5200000000,10266459.5499999989,
FS(6),2525894.4399999999,2620226.6800000002,2553497.6000000001,2650957.0800000001,10350575.8000000007,
FS(7),2516478.2799999998,2595418.0000000000,2510288.0000000000,2604933.5800000001,10227117.8599999994,
FS(8),2612993.9199999999,2574903.1299999999,2569958.3999999999,2748526.8999999999,10506382.3500000015,
FS(9),2568267.1600000001,2552002.8100000001,2640945.6000000001,2811118.8599999999,10572334.4300000016,
FS(10),2642419.4199999999,2555819.5299999998,2680040.0000000000,2824005.4399999999,10702284.3900000006,
FS(11),2645950.4800000000,2550571.5400000000,2620369.6000000001,2763254.4199999999,10580146.0399999991,
FS(12),2711863.6000000001,2585876.2000000002,2648147.1999999997,2796391.3399999999,10742278.3399999999,
FS(13),2744820.1600000001,2570132.2300000000,2651233.6000000001,2779822.8799999999,10746008.8699999992,
FS(14),2766006.5200000000,2683679.6499999999,2684155.2000000002,2781663.8199999998,10915505.1900000013,
FS(15),2747174.2000000002,2656962.6099999999,2687241.6000000001,2730117.5000000000,10821495.9100000001,
FS(16),2783661.8199999998,2723278.1199999996,2692385.6000000001,2754049.7200000002,10953375.2599999998,
FS(17),2778953.7399999998,2807245.9600000000,2732508.7999999998,2765095.3599999999,11083803.8600000013,
FS(18),2744820.1600000001,2758582.7799999998,2739710.3999999999,2698821.5200000000,10941934.8599999994,
FS(19),2760121.4199999999,2773372.5699999998,2754113.6000000001,2704344.3399999999,10991951.9299999997,
FS(20),2893124.6799999997,2814402.3100000001,2837446.3999999999,2796391.3399999999,11341364.7299999986,
