代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10806020.9800000004
真實報酬,806020.9800000004
趨勢值,0.5899436335

選擇檔數,2
找到最佳解世代,1792
找到最佳解實驗,1
Stock#,MSFT,VZ,
分配資金,5000000,5000000,
張數,233644,182815,
剩餘資金,18.4000000003,9.7499999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5000000.0000000000,5054844.5000000000,10054844.5000000000,
FS(3),5077102.5200000005,5056672.6500000004,10133775.1699999999,
FS(4),5100466.9199999999,5054844.5000000000,10155311.4199999999,
FS(5),5172896.5600000005,5000000.0000000000,10172896.5600000005,
FS(6),5151868.6000000006,5003656.2999999998,10155524.9000000004,
FS(7),5158877.9199999999,5029250.4000000004,10188128.3200000003,
FS(8),5268690.6000000006,5047531.8999999994,10316222.5000000000,
FS(9),5334110.9199999999,5084094.8999999994,10418205.8200000003,
FS(10),5450932.9199999999,5113345.2999999998,10564278.2199999988,
FS(11),5471960.8800000008,5082266.7500000000,10554227.6300000008,
FS(12),5478970.2000000002,5049360.0499999998,10528330.2500000000,
FS(13),5532708.3200000003,5089579.3499999996,10622287.6699999999,
FS(14),5490652.4000000004,5142595.7000000002,10633248.0999999996,
FS(15),5623829.4800000004,5069469.7000000002,10693299.1799999997,
FS(16),5439250.7200000007,5131626.7999999998,10570877.5200000014,
FS(17),5453269.3600000003,5215721.7000000002,10668991.0600000005,
FS(18),5483643.0800000001,5265081.7500000000,10748724.8300000001,
FS(19),5558409.1600000001,5314441.7999999998,10872850.9600000009,
FS(20),5455605.8000000007,5296160.2999999998,10751766.0999999996,
FS(21),5574764.2400000002,5360145.5499999998,10934909.7900000010,
FS(22),5553736.2800000003,5252284.7000000002,10806020.9800000004,
