代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10674997.5700000003
真實報酬,674997.5700000003
趨勢值,0.2844318396

選擇檔數,1
找到最佳解世代,1732
找到最佳解實驗,5
Stock#,PG,
分配資金,10000000,
張數,192307,
剩餘資金,36.0000000000,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9828846.7699999996,9828846.7699999996,
FS(3),10032692.1899999995,10032692.1899999995,
FS(4),9982692.3699999992,9982692.3699999992,
FS(5),10123076.4800000004,10123076.4800000004,
FS(6),10078845.8699999992,10078845.8699999992,
FS(7),10042307.5399999991,10042307.5399999991,
FS(8),10188460.8599999994,10188460.8599999994,
FS(9),10296152.7799999993,10296152.7799999993,
FS(10),10509613.5499999989,10509613.5499999989,
FS(11),10617305.4700000007,10617305.4700000007,
FS(12),10753843.4399999995,10753843.4399999995,
FS(13),10684612.9199999999,10684612.9199999999,
FS(14),10671151.4299999997,10671151.4299999997,
FS(15),10551921.0899999999,10551921.0899999999,
FS(16),10607690.1199999992,10607690.1199999992,
FS(17),10738458.8800000008,10738458.8800000008,
FS(18),10726920.4600000009,10726920.4600000009,
FS(19),10713458.9700000007,10713458.9700000007,
FS(20),10792304.8399999999,10792304.8399999999,
FS(21),10813458.6099999994,10813458.6099999994,
FS(22),10674997.5700000003,10674997.5700000003,
