代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10771206.2400000002
真實報酬,771206.2400000002
趨勢值,0.6308314708

選擇檔數,5
找到最佳解世代,2372
找到最佳解實驗,1
Stock#,AXP,PFE,TRV,UNH,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,69808,124688,44424,73099,40128,
剩餘資金,0.8000000001,4.4800000001,31.5199999999,11.3600000000,20.4799999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2004188.4800000002,2003740.6400000004,2055085.7599999998,1968567.4300000002,2000401.2799999998,10031983.5900000017,
FS(3),2119371.6800000002,1978803.0400000000,2069301.4399999997,1913743.1800000002,1974318.0799999998,10055537.4199999999,
FS(4),2185689.2800000003,1968828.0000000000,2078186.2399999998,1899123.3800000001,1965489.9199999997,10097316.8200000003,
FS(5),2282024.3200000003,1990024.9600000004,2108394.5600000001,1937865.8500000003,1977929.5999999996,10296239.2900000010,
FS(6),2257591.5200000005,1983790.5600000003,2062193.5999999999,1978801.2900000000,1995184.6399999997,10277561.6099999994,
FS(7),2199650.8800000004,1973815.5200000003,1996001.8399999999,2033625.5400000000,2008025.5999999996,10211119.3800000008,
FS(8),2219895.2000000002,1977556.1600000001,2062637.8399999999,2031432.5700000001,2026885.7599999998,10318407.5300000012,
FS(9),2232460.6400000001,1970074.8800000004,2108838.7999999998,2073829.9900000002,2081861.1199999999,10467065.4300000016,
FS(10),2214310.5600000001,1966334.2400000002,2099065.5200000000,2051169.3000000000,2078249.5999999996,10409129.2199999988,
FS(11),2121465.9200000004,1980049.9200000004,2070634.1599999997,2081870.8800000001,2069421.4399999997,10323442.3200000022,
FS(12),2212216.3200000003,1992518.7200000002,2110615.7599999998,2059941.1800000002,2060994.5599999998,10436286.5400000010,
FS(13),2212914.4000000004,2041147.0400000003,2130606.5600000001,2059941.1800000002,2073434.2399999998,10518043.4199999999,
FS(14),2270156.9600000004,2023690.7200000002,2123942.9600000000,2075291.9700000002,2075039.3599999999,10568121.9700000025,
FS(15),2293193.6000000006,2074812.8000000003,2141268.3200000003,2114034.4399999999,2060994.5599999998,10684303.7200000007,
FS(16),2280628.1600000006,2086034.7200000002,2130162.3200000003,2170320.6699999999,2068618.8799999997,10735764.7500000019,
FS(17),2291099.3600000003,2094762.8800000004,2151485.8399999999,2187133.4399999999,2073434.2399999998,10797915.7600000016,
FS(18),2313437.9200000004,2091022.2400000002,2167478.4800000000,2114765.4299999997,2078650.8799999997,10765354.9500000011,
FS(19),2370680.4800000004,2102244.1599999997,2185692.3200000003,2115496.4199999999,2056179.1999999997,10830292.5800000019,
FS(20),2390226.7200000002,2096009.7600000000,2203906.1600000001,2059941.1800000002,2051765.1199999999,10801848.9400000013,
FS(21),2360907.3600000003,2082294.0800000001,2239889.6000000001,2046783.3600000001,2041331.8399999996,10771206.2400000002,
