代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10712583.4800000004
真實報酬,712583.4800000004
趨勢值,0.7730264372

選擇檔數,4
找到最佳解世代,3160
找到最佳解實驗,1
Stock#,AAPL,MSFT,PG,TRV,
分配資金,2500000,2500000,2500000,2500000,
張數,105887,104166,47152,50751,
剩餘資金,7.9300000001,16.0000000000,0.9599999999,5.7400000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000019,
FS(2),2498941.1300000004,2485416.7599999998,2489626.5600000001,2494417.3900000001,9968401.8399999999,
FS(3),2519059.6600000001,2511458.2599999998,2492927.1999999997,2533495.6600000001,10056940.7800000012,
FS(4),2576238.6400000001,2564582.9199999999,2492455.6800000002,2543645.8599999999,10176923.0999999996,
FS(5),2615416.8300000001,2585416.1200000001,2555639.3599999999,2485282.2100000000,10241754.5200000014,
FS(6),2588945.0800000001,2581249.4800000000,2534892.4800000000,2493909.8800000004,10198996.9199999999,
FS(7),2610122.4800000000,2604166.0000000000,2642399.0400000000,2462444.2600000002,10319131.7800000012,
FS(8),2603769.2600000002,2589582.7599999998,2623538.2399999998,2456861.6499999999,10273751.9100000001,
FS(9),2628123.2700000000,2604166.0000000000,2607506.5600000001,2486297.2300000004,10326093.0600000005,
FS(10),2649300.6699999999,2624999.1999999997,2594775.5200000000,2487312.2500000000,10356387.6400000006,
FS(11),2750952.1900000004,2624999.1999999997,2607978.0800000001,2479192.0900000003,10463121.5600000005,
FS(12),2791189.2500000000,2635415.8000000003,2618351.5200000000,2420828.4400000004,10465785.0099999998,
FS(13),2798601.3400000003,2631249.1600000001,2702753.6000000001,2404080.6099999999,10536684.7100000009,
FS(14),2783777.1600000001,2635415.8000000003,2692380.1600000001,2425396.0300000003,10536969.1500000004,
FS(15),2790130.3800000004,2684373.8199999998,2698981.4399999999,2415245.8300000005,10588731.4700000025,
FS(16),2806013.4300000002,2678123.8599999999,2699452.9600000000,2400020.5300000003,10583610.7800000012,
FS(17),2780600.5500000003,2702082.0400000000,2727272.6400000001,2411693.2600000002,10621648.4900000002,
FS(18),2758364.2800000003,2661457.3000000003,2735288.4800000000,2423365.9900000002,10578476.0500000007,
FS(19),2815543.2600000002,2690623.7799999998,2742361.2799999998,2494924.8999999999,10743453.2200000007,
FS(20),2803895.6900000004,2682290.5000000000,2730573.2799999998,2484774.7000000002,10701534.1700000018,
FS(21),2803895.6900000004,2679165.5200000000,2731044.7999999998,2498477.4700000002,10712583.4800000004,
