代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10837531.6200000010
真實報酬,837531.6200000010
趨勢值,0.5539778740

選擇檔數,3
找到最佳解世代,2046
找到最佳解實驗,2
Stock#,CVX,MSFT,PG,
分配資金,3333333,3333333,3333333,
張數,48442,133976,58872,
剩餘資金,38.9799999999,10.1200000001,0.3600000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3300876.8599999999,3344051.0800000001,3340986.3600000003,9985915.3000000007,
FS(3),3361429.3599999999,3301178.7600000002,3336865.3200000003,9999474.4400000013,
FS(4),3418106.5000000000,3364147.4800000000,3357470.5200000005,10139725.5000000000,
FS(5),3415684.4000000004,3362807.7200000002,3352760.7600000007,10131253.8800000008,
FS(6),3461219.8799999999,3439174.0400000005,3393971.1600000001,10294366.0800000019,
FS(7),3524678.9000000004,3423096.9200000004,3388672.6800000006,10336449.5000000019,
FS(8),3568761.1200000001,3445872.8399999999,3385140.3600000003,10399775.3200000003,
FS(9),3588137.9199999995,3457930.6800000002,3371011.0800000001,10417080.6799999997,
FS(10),3655472.2999999998,3478027.0800000001,3373954.6800000006,10507455.0600000005,
FS(11),3715055.9600000000,3578509.0800000001,3369833.6400000006,10663399.6800000016,
FS(12),3720869.0000000000,3550374.1200000001,3381608.0400000000,10652852.1600000001,
FS(13),3762044.6999999997,3531617.4800000000,3402213.2400000002,10695876.4200000018,
FS(14),3731526.2400000002,3532957.2400000002,3422229.7200000007,10686714.2000000011,
FS(15),3728619.7199999997,3561092.1999999997,3384551.6400000006,10674264.5600000005,
FS(16),3744121.1600000001,3562431.9600000000,3422229.7200000007,10728783.8400000017,
FS(17),3714571.5400000005,3754017.6400000001,3393382.4400000004,10861972.6200000010,
FS(18),3654987.8799999999,3842441.8000000003,3349817.1600000001,10847247.8400000017,
FS(19),3710211.7600000002,3830383.9600000000,3366301.3200000003,10906898.0400000010,
FS(20),3676302.3599999999,3754017.6400000001,3369244.9199999999,10799565.9199999999,
FS(21),3776092.8799999999,3780812.8399999999,3505239.2400000002,11062145.9600000009,
FS(22),3707789.6600000001,3715164.6000000001,3414576.3600000003,10837531.6200000010,
