代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11038107.8300000001
真實報酬,1038107.8300000001
趨勢值,0.7071536485

選擇檔數,4
找到最佳解世代,2782
找到最佳解實驗,1
Stock#,DIS,MRK,VZ,WMT,
分配資金,2500000,2500000,2500000,2500000,
張數,91207,79974,90909,49721,
剩餘資金,16.1300000000,12.7599999999,2.5000000000,28.1199999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2519153.4700000002,2452815.3399999999,2470909.1200000001,2481106.0200000000,9923983.9500000011,
FS(3),2556548.3399999999,2610364.1199999996,2473636.3900000001,2504972.1000000001,10145520.9499999993,
FS(4),2645019.1299999999,2615962.2999999998,2490909.1000000001,2549721.0000000000,10301611.5299999993,
FS(5),2604888.0499999998,2606365.4199999999,2512727.2600000002,2548229.3700000001,10272210.0999999996,
FS(6),2645019.1299999999,2673543.5799999996,2564545.3900000001,2585520.1200000001,10468628.2200000007,
FS(7),2655963.9700000002,2687938.8999999999,2576363.5600000001,2600933.6300000004,10521200.0600000005,
FS(8),2671469.1599999997,2656749.0399999996,2579999.9199999999,2633749.4900000002,10541967.6099999994,
FS(9),2649579.4800000000,2637555.2799999993,2563636.2999999998,2647174.1600000001,10497945.2200000007,
FS(10),2776357.2100000000,2647152.1599999997,2560909.0300000003,2645185.3200000003,10629603.7200000007,
FS(11),2800071.0299999998,2703933.7000000002,2578181.7399999998,2643196.4800000000,10725382.9499999993,
FS(12),2815576.2200000002,2742321.2199999997,2605454.4399999999,2668056.9800000000,10831408.8599999994,
FS(13),2797334.8199999998,2810299.1199999996,2606363.5300000003,2692420.2700000000,10906417.7400000002,
FS(14),2755379.6000000001,2825494.1799999997,2593636.2700000000,2711811.4600000000,10886321.5099999998,
FS(15),2737138.2000000002,2915864.7999999998,2586363.5499999998,2698884.0000000000,10938250.5500000007,
FS(16),2780005.4899999998,2912665.8399999999,2662727.1099999999,2718772.3999999999,11074170.8399999999,
FS(17),2757203.7399999998,2896671.0399999996,2709090.7000000002,2727224.9700000002,11090190.4499999993,
FS(18),2791862.3999999999,2924661.9399999999,2722727.0499999998,2732694.2800000003,11171945.6699999999,
FS(19),2768148.5800000001,2902269.2199999997,2688181.6299999999,2716286.3500000001,11074885.7799999993,
FS(20),2756291.6699999999,2895871.2999999998,2673636.1899999999,2712308.6699999999,11038107.8300000001,
