代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10634141.8000000007
真實報酬,634141.8000000007
趨勢值,0.9302337076

選擇檔數,6
找到最佳解世代,2353
找到最佳解實驗,33
Stock#,CAT,DIS,JNJ,UTX,VZ,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,28810,52842,26292,23932,61500,30921,
剩餘資金,7.5000000000,29.3200000000,16.1200000000,41.5200000000,15.9999999999,24.1000000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000019,
FS(2),1675309.0000000000,1684632.2800000000,1667980.5999999999,1669298.5200000000,1682656.0000000000,1657080.4900000002,10036960.8900000006,
FS(3),1687409.2000000000,1671950.2000000002,1666928.9199999999,1665708.7200000000,1674661.0000000000,1659244.9600000000,10025907.0000000000,
FS(4),1683952.0000000000,1721093.2600000000,1671398.5599999998,1684136.3600000001,1683271.0000000000,1668521.2600000000,10112376.4400000013,
FS(5),1706423.7999999998,1755440.5600000001,1683755.8000000000,1705196.5200000000,1680811.0000000000,1674087.0400000000,10205718.7199999988,
FS(6),1697204.5999999999,1753855.3000000000,1687962.5200000000,1693469.8400000001,1703566.0000000000,1674396.2500000000,10210458.5099999998,
FS(7),1704983.3000000000,1760196.3400000001,1689802.9599999997,1717880.4800000000,1719556.0000000000,1671613.3600000001,10264036.4400000013,
FS(8),1693459.3000000000,1761253.1799999999,1690328.8000000000,1718119.8000000003,1710331.0000000000,1658317.3300000001,10231813.4100000001,
FS(9),1696916.5000000000,1786617.3400000001,1688488.3599999999,1724102.8000000003,1715866.0000000000,1668830.4700000000,10280825.4699999988,
FS(10),1738979.1000000001,1780276.3000000000,1687436.6800000002,1711897.4800000000,1709716.0000000000,1666666.0000000000,10294975.5600000024,
FS(11),1713338.2000000000,1781861.5600000001,1697690.5599999996,1719316.4000000001,1717096.0000000000,1713665.9200000002,10342972.6400000006,
FS(12),1712762.0000000000,1783446.8200000001,1696638.8799999999,1732718.3200000001,1720786.0000000000,1731290.8900000001,10377646.9100000020,
FS(13),1734945.7000000000,1783446.8200000001,1699793.9199999999,1727692.5999999999,1733701.0000000000,1729126.4200000002,10408710.4600000009,
FS(14),1721981.2000000002,1785032.0800000001,1710573.6399999999,1735111.5200000000,1742311.0000000000,1729744.8400000001,10424758.2800000012,
FS(15),1710457.2000000000,1777634.2000000002,1711888.2399999998,1752821.2000000000,1748461.0000000000,1711192.2400000002,10412458.0800000001,
FS(16),1727167.0000000000,1794015.2200000002,1711625.3199999998,1737744.0400000000,1762606.0000000000,1719850.1200000001,10453011.7000000011,
FS(17),1798039.5999999999,1797185.7400000000,1718461.2399999998,1749231.4000000001,1781056.0000000000,1728198.7900000000,10572176.7699999996,
FS(18),1787956.1000000001,1817265.7000000002,1702423.1199999999,1748034.8000000003,1751536.0000000000,1718613.2800000000,10525833.0000000019,
FS(19),1790260.8999999999,1854255.1000000003,1697690.5599999996,1753539.1599999999,1742926.0000000000,1719540.9100000001,10558216.6300000008,
FS(20),1798903.8999999999,1865880.3400000001,1692695.0799999998,1761915.3600000001,1746001.0000000000,1716448.8100000001,10581848.4900000002,
FS(21),1828866.2999999998,1857954.0399999998,1704263.5599999996,1771009.5200000000,1750921.0000000000,1723560.6400000001,10636579.0600000005,
FS(22),1819647.0999999999,1854783.5200000003,1706366.9199999999,1774120.6799999999,1795816.0000000000,1728817.2100000000,10679555.4299999997,
FS(23),1810716.0000000000,1844743.5399999998,1714254.5200000000,1761676.0400000000,1783516.0000000000,1719231.7000000002,10634141.8000000007,
