代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10497823.8799999990
真實報酬,497823.8799999990
趨勢值,0.5600396645

選擇檔數,3
找到最佳解世代,1784
找到最佳解實驗,1
Stock#,MCD,MMM,MSFT,
分配資金,3333333,3333333,3333333,
張數,49324,39753,114311,
剩餘資金,17.0800000001,43.9500000002,24.2400000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3355528.8000000003,3346849.0200000000,3345907.2099999995,10048286.0299999993,
FS(3),3344677.5200000000,3353209.5000000000,3351622.7599999998,10049510.7799999993,
FS(4),3339251.8800000004,3325779.9300000002,3355052.0899999999,10020084.9000000004,
FS(5),3391535.3200000003,3297555.3000000003,3420209.3599999999,10109300.9800000004,
FS(6),3387589.4000000004,3319021.9199999999,3468219.9799999995,10174832.2999999989,
FS(7),3380190.8000000003,3310673.7900000000,3465933.7599999998,10156799.3499999996,
FS(8),3399427.1600000001,3336910.7700000000,3480794.1899999995,10217133.1199999992,
FS(9),3424089.1600000001,3354799.6200000001,3523089.2599999998,10301979.0399999991,
FS(10),3411264.9199999999,3379048.9500000002,3528804.8100000001,10319119.6799999997,
FS(11),3404852.8000000003,3329755.2300000004,3505942.6099999999,10240551.6400000006,
FS(12),3448751.1600000001,3335320.6500000004,3548237.6799999997,10332310.4900000002,
FS(13),3469467.2400000002,3389782.2600000002,3584817.1999999997,10444067.6999999993,
FS(14),3470453.7200000002,3406876.0500000003,3581387.8699999996,10458718.6399999987,
FS(15),3503500.8000000003,3420789.6000000001,3588246.5299999998,10512537.9299999997,
FS(16),3509419.6800000002,3441858.6899999999,3539092.7999999998,10490372.1699999999,
FS(17),3503007.5600000001,3476046.2700000000,3556239.4499999997,10535294.2799999993,
FS(18),3478838.8000000003,3497115.3600000003,3526518.5899999999,10502473.7500000000,
FS(19),3469467.2400000002,3507848.6699999999,3533377.2500000000,10510694.1600000001,
FS(20),3527669.5600000001,3551179.4399999999,3543665.2399999998,10622515.2399999984,
FS(21),3481798.2400000002,3524942.4600000004,3491082.1799999997,10497823.8799999990,
