代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10261688.5399999991
真實報酬,261688.5399999991
趨勢值,0.2478697449

選擇檔數,2
找到最佳解世代,2309
找到最佳解實驗,1
Stock#,INTC,KO,
分配資金,5000000,5000000,
張數,243072,162022,
剩餘資金,8.9599999999,1.0800000001,
FS(1),5000000.0000000000,5000000.0000000000,9999999.9999999981,
FS(2),4944093.4399999995,5011341.5400000000,9955434.9799999986,
FS(3),4978123.5200000005,5019442.6400000006,9997566.1600000001,
FS(4),5097228.7999999998,5059948.1400000006,10157176.9399999995,
FS(5),5162858.2399999993,5069669.4600000000,10232527.6999999974,
FS(6),5160427.5200000005,5059948.1400000006,10220375.6600000001,
FS(7),5143412.4800000004,5074530.1200000001,10217942.5999999996,
FS(8),5114243.8399999999,5068049.2400000002,10182293.0800000001,
FS(9),5155566.0800000001,5087491.8799999999,10243057.9599999990,
FS(10),5233349.1200000001,5097213.2000000002,10330562.3200000003,
FS(11),5177442.5600000005,5100453.6400000006,10277896.1999999993,
FS(12),5121536.0000000000,5029163.9600000000,10150699.9599999990,
FS(13),5123966.7199999997,5064808.8000000007,10188775.5199999996,
FS(14),5109382.3999999994,5171743.3200000003,10281125.7199999988,
FS(15),5138551.0400000000,5210628.5999999996,10349179.6399999987,
FS(16),5165288.9600000000,5207388.1600000001,10372677.1199999992,
FS(17),5126397.4399999995,5153920.8999999994,10280318.3399999980,
FS(18),5199319.0400000000,5234931.9000000004,10434250.9399999995,
FS(19),5187165.4399999995,5194426.4000000004,10381591.8399999999,
FS(20),5184734.7199999997,5136098.4799999995,10320833.1999999993,
FS(21),5143412.4800000004,5118276.0599999996,10261688.5399999991,
