代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10418061.6400000006
真實報酬,418061.6400000006
趨勢值,1.2421596648

選擇檔數,7
找到最佳解世代,2331
找到最佳解實驗,1
Stock#,CSCO,CVX,IBM,KO,MCD,PG,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,73942,17274,9892,44159,18017,22985,44159,
剩餘資金,11.5600000000,11.2000000000,67.2800000000,27.3499999999,3.0699999999,53.2500000000,27.3499999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1421176.8000000000,1459664.2000000000,1436187.8400000001,1432986.8999999999,1430192.5299999998,1433397.8500000001,1445793.0100000000,10059402.1300000008,
FS(3),1410085.5000000000,1466401.0600000001,1438166.2400000000,1424155.0999999999,1437038.9900000000,1432708.3000000000,1452858.4499999997,10061416.6400000006,
FS(4),1436704.6200000001,1467437.5000000000,1434308.3600000001,1413115.3499999999,1433795.9299999997,1426502.3500000001,1452416.8599999999,10064283.9700000007,
FS(5),1433746.9400000002,1490757.3999999999,1424713.1200000001,1416206.4800000000,1447488.8499999999,1428571.0000000000,1455066.3999999999,10096553.1900000013,
FS(6),1430789.2600000002,1487993.5600000001,1434209.4399999999,1421947.1499999999,1418661.6499999997,1439603.8000000000,1456391.1699999997,10089599.0300000012,
FS(7),1456668.9600000000,1496803.3000000000,1427482.8800000001,1431662.1299999999,1398302.4399999997,1445120.2000000000,1482003.3899999999,10138046.3000000026,
FS(8),1456668.9600000000,1503367.4199999999,1432626.7200000000,1427687.8199999998,1397401.5899999999,1452705.2500000000,1503199.7099999997,10173660.4700000007,
FS(9),1447795.9199999999,1526514.5800000001,1427285.0400000000,1431662.1299999999,1389293.9399999997,1452475.3999999999,1506290.8399999999,10181320.8500000015,
FS(10),1444838.2400000000,1526687.3199999998,1442518.7200000000,1410907.3999999999,1389293.9399999997,1460750.0000000000,1531019.8799999999,10206018.4999999981,
FS(11),1439662.3000000000,1520295.9399999999,1431637.5200000000,1429454.1799999997,1386951.7300000000,1462818.6499999999,1529253.5200000000,10200076.8399999999,
FS(12),1460366.0600000001,1538433.6399999999,1429955.8800000001,1442701.8799999999,1382087.1399999997,1482585.7500000000,1534994.1899999997,10271127.5400000010,
FS(13),1445577.6600000001,1528587.4600000000,1434407.2800000000,1450650.5000000000,1383888.8399999999,1489711.1000000001,1529695.1099999999,10262520.9500000011,
FS(14),1450753.6000000001,1533942.3999999999,1429560.2000000000,1442260.2899999998,1385870.7100000000,1493388.7000000000,1534111.0100000000,10269889.9099999983,
FS(15),1444098.8200000001,1541370.2200000000,1441727.3600000001,1445793.0100000000,1384789.6899999997,1491090.2000000002,1542942.8099999998,10291815.1099999994,
FS(16),1446317.0800000001,1553289.2800000000,1443804.6799999999,1448442.5499999998,1387492.2400000000,1492929.0000000000,1553540.9699999997,10325818.8000000007,
FS(17),1455929.5400000000,1566417.5200000000,1443211.1599999999,1448000.9599999997,1386591.3899999997,1499594.6499999999,1565022.3099999998,10364770.5299999993,
FS(18),1490682.2800000000,1556744.0800000001,1437770.5600000001,1436519.6199999999,1377042.3799999999,1486493.2000000000,1567671.8499999999,10352926.9700000007,
FS(19),1504731.2600000002,1575227.2600000000,1441430.6000000001,1443143.4699999997,1377042.3799999999,1488561.8500000001,1572970.9299999997,10403110.7500000019,
FS(20),1497337.0600000001,1578336.5800000001,1449443.1200000001,1445351.4199999997,1387131.8999999997,1480287.2500000002,1571204.5699999998,10409094.9000000022,
FS(21),1495858.2200000000,1582309.5999999999,1450926.9199999999,1446234.5999999999,1382987.9900000000,1477529.0500000000,1570321.3899999999,10406170.7700000014,
FS(22),1495858.2200000000,1576263.7000000000,1451817.2000000000,1452416.8599999999,1382987.9900000000,1478678.3000000000,1580036.3699999999,10418061.6400000006,
