代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10686541.2399999984
真實報酬,686541.2399999984
趨勢值,0.7417097860

選擇檔數,5
找到最佳解世代,4611
找到最佳解實驗,1
Stock#,DIS,IBM,INTC,UNH,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,52882,13561,95923,53864,26827,
剩餘資金,2.7600000000,23.7200000001,5.4499999999,29.6799999999,47.1500000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2061871.9400000002,2002169.7600000000,2028776.8999999999,2018313.7599999998,2009389.4500000002,10120521.8100000005,
FS(3),2113167.4800000000,1994168.7700000003,2008633.0700000001,2024777.4400000002,2004024.0500000003,10144770.8100000005,
FS(4),2096774.0599999998,2016001.9800000002,1992326.1599999999,2066791.3599999999,2016901.0100000002,10188794.5699999984,
FS(5),2086197.6600000001,2006102.4500000002,1981774.6299999999,2071100.4800000000,2027900.0800000003,10173075.3000000007,
FS(6),2088841.7600000000,2002169.7600000000,1984652.3200000001,2071100.4800000000,2015559.6599999999,10162323.9800000004,
FS(7),2083553.5599999998,1997287.8000000003,2019184.6000000001,2105034.7999999998,2030582.7800000000,10235643.5400000010,
FS(8),2071390.7000000002,2021968.8200000001,2043165.3500000001,2093184.7200000000,2054458.8100000001,10284168.4000000004,
FS(9),2076150.0799999998,2018171.7400000002,2042206.1199999999,2133044.0799999996,2057946.3200000001,10327518.3399999999,
FS(10),2077736.5400000000,2034173.7200000002,2022062.2899999998,2196064.9600000000,2088260.8300000003,10418298.3399999999,
FS(11),2083024.7400000000,2042988.3700000003,2022062.2899999998,2201990.0000000000,2111600.3199999998,10461665.7199999988,
FS(12),2067160.1400000001,2111335.8100000001,2015347.6800000002,2184753.5200000000,2098991.6299999999,10477588.7799999993,
FS(13),2071390.7000000002,2112827.5200000005,2009592.2999999998,2171287.5200000000,2085846.4000000001,10450944.4399999995,
FS(14),2101533.4399999999,2108759.2200000002,1997122.3100000001,2176673.9199999995,2118843.6099999999,10502932.5000000000,
FS(15),2112109.8399999999,2164766.1500000004,2037409.9699999997,2144355.5200000000,2108381.0800000001,10567022.5599999987,
FS(16),2107879.2799999998,2189311.5600000001,2067146.1000000001,2187985.3599999994,2110795.5100000002,10663117.8100000005,
FS(17),2085668.8399999999,2183887.1600000001,2086330.7000000000,2168055.6799999997,2137085.9699999997,10661028.3499999996,
FS(18),2086726.4800000000,2184293.9900000002,2086330.7000000000,2277938.2399999998,2142987.9099999997,10778277.3200000003,
FS(19),2054468.4600000002,2159070.5300000003,2058513.0300000000,2204683.1999999997,2119111.8799999999,10595847.1000000015,
FS(20),2055526.0999999999,2196905.7200000002,2058513.0300000000,2211146.8799999994,2164449.5100000002,10686541.2399999984,
