代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11920438.0800000001
真實報酬,1920438.0800000001
趨勢值,0.8171071935

選擇檔數,5
找到最佳解世代,1424
找到最佳解實驗,1
Stock#,CAT,INTC,MRK,TRV,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,28348,96993,63351,42735,38491,
剩餘資金,48.6000000001,4.3399999999,8.9300000000,2.0000000001,7.6400000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2056412.5200000003,2058195.7999999998,1986062.7800000000,2054700.8000000000,2035411.7200000000,10190783.6199999992,
FS(3),2105171.0800000001,2119301.3900000001,1993031.3899999999,2118375.9500000002,2026558.7899999998,10362438.5999999996,
FS(4),2185395.9200000004,2136760.1299999999,1990497.3500000001,2144871.6499999999,2030407.8899999999,10487932.9399999995,
FS(5),2140889.5600000001,2161978.3099999996,2002534.0399999998,2094017.0000000002,2066974.3400000001,10466393.2499999981,
FS(6),2243225.8399999999,2219204.1799999997,2049413.7800000000,2183760.5000000000,2109699.3500000001,10805303.6500000004,
FS(7),2286598.2799999998,2229873.4099999997,2022806.3599999999,2154700.7000000002,2106235.1600000001,10800213.9099999983,
FS(8),2316080.2000000002,2242482.5000000000,2063351.0000000000,2198290.3999999999,2124710.8400000003,10944914.9399999995,
FS(9),2308709.7200000002,2268670.6099999999,2071586.6300000001,2155982.7500000000,2117782.4600000004,10922732.1700000018,
FS(10),2383831.9200000004,2279339.8399999999,2089324.9099999997,2191025.4500000002,2134718.5000000000,11078240.6199999992,
FS(11),2310977.5600000001,2258001.3799999999,2046879.7400000000,2118803.2999999998,2108544.6200000001,10843206.6000000015,
FS(12),2401691.1600000001,2269640.5399999996,2077288.2200000000,2199145.1000000001,2151269.6300000004,11099034.6500000004,
FS(13),2368807.4800000000,2351114.6599999997,2061450.4700000000,2324358.6499999999,2165126.3900000001,11270857.6500000004,
FS(14),2388651.0800000001,2290009.0699999998,2077921.7299999997,2330341.5500000003,2169745.3100000001,11256668.7400000002,
FS(15),2477380.3200000003,2330746.1299999999,2112764.7800000003,2450854.2500000000,2190915.3600000003,11562660.8400000017,
FS(16),2601544.5600000001,2385062.2100000000,2124167.9600000004,2462392.6999999997,2185526.6200000001,11758694.0500000007,
FS(17),2548250.3200000003,2388941.9299999997,2084890.3399999996,2407691.9000000004,2182832.2500000000,11612606.7400000002,
FS(18),2595874.9600000000,2395731.4399999999,2124801.4700000002,2457264.5000000000,2208236.3100000001,11781908.6799999997,
FS(19),2729110.5600000001,2437438.4299999997,2173581.7400000002,2512392.6499999999,2225172.3500000001,12077695.7300000004,
FS(20),2745552.3999999999,2422889.4800000000,2224262.5400000000,2541879.7999999998,2199768.2900000000,12134352.5099999998,
FS(21),2677800.6799999997,2380212.5599999996,2185618.4300000002,2493589.2500000000,2183217.1600000001,11920438.0800000001,
