代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10677813.7200000007
真實報酬,677813.7200000007
趨勢值,1.4759046178

選擇檔數,7
找到最佳解世代,2328
找到最佳解實驗,1
Stock#,CVX,HD,KO,MSFT,PG,UNH,V,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,13897,32124,42115,47794,22600,26822,55738,
剩餘資金,98.3699999999,16.7200000000,30.1999999999,8.3400000000,25.0000000000,31.2800000001,6.0600000001,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1441078.2999999998,1428249.7600000000,1428571.0000000000,1431438.6400000001,1431057.0000000000,1409259.1599999999,1478177.8200000001,10047834.6799999997,
FS(3),1466231.8699999999,1451057.8000000000,1433624.7999999998,1445298.8999999999,1418627.0000000000,1376268.1000000001,1491554.9400000002,10082666.4100000001,
FS(4),1482491.3599999999,1452021.5200000000,1432782.5000000000,1443387.1400000001,1435351.0000000000,1375731.6599999999,1496013.9800000000,10117782.1600000001,
FS(5),1484714.8799999999,1460373.7600000000,1443732.3999999999,1450556.2400000002,1439645.0000000000,1395579.9399999999,1490997.5600000001,10165602.7800000012,
FS(6),1483742.0899999999,1451057.8000000000,1439099.7500000000,1465372.3800000001,1438289.0000000000,1398530.3600000001,1509948.4800000000,10186042.8599999994,
FS(7),1478322.2600000000,1454270.2000000002,1431519.0500000000,1470629.7200000000,1447329.0000000002,1423206.6000000001,1566801.2400000000,10272081.0700000003,
FS(8),1463174.5299999998,1456197.6399999999,1430676.7500000000,1457725.3400000001,1443713.0000000000,1430180.3200000001,1587424.3000000000,10269094.8800000008,
FS(9),1478461.2299999997,1475472.0400000000,1441205.5000000000,1461548.8600000001,1451623.0000000000,1444395.9800000000,1570702.9000000001,10323412.5099999998,
FS(10),1479989.8999999999,1479648.1600000001,1450891.9500000002,1445776.8400000001,1457273.0000000000,1460757.4000000001,1605817.8400000001,10380158.0899999999,
FS(11),1459283.3699999999,1468404.7600000000,1440363.2000000002,1436218.0400000000,1458855.0000000000,1465048.9199999999,1604145.7000000002,10332321.9900000021,
FS(12),1480406.8099999998,1475472.0400000000,1450049.6499999999,1495482.6000000001,1473545.0000000000,1469608.6599999999,1585752.1599999999,10430319.9199999999,
FS(13),1482352.3899999999,1500528.7600000000,1454261.1499999999,1493570.8400000001,1466991.0000000000,1466658.2400000000,1602473.5600000001,10466838.9400000013,
FS(14),1506672.1399999999,1507274.8000000000,1449207.3499999999,1502651.7000000002,1455917.0000000000,1483824.3200000001,1591325.9600000002,10496876.2700000014,
FS(15),1494025.8699999999,1496031.3999999999,1458472.6500000001,1494526.7200000000,1456369.0000000000,1480069.2400000000,1621424.4800000000,10500922.3600000013,
FS(16),1505838.3199999998,1508238.5200000000,1456788.0500000000,1499306.1200000001,1501117.0000000000,1473631.9600000000,1623096.6200000001,10568019.5900000017,
FS(17),1515983.1299999999,1509202.2399999998,1452997.7000000000,1504563.4600000002,1507670.9999999998,1492675.5800000001,1638145.8800000001,10621241.9900000002,
FS(18),1523626.4799999997,1507596.0400000000,1449628.5000000000,1498350.2400000002,1507445.0000000000,1494821.3399999999,1628670.4199999999,10610141.0199999996,
FS(19),1523348.5399999998,1517233.2399999998,1449628.5000000000,1523203.1200000001,1523039.0000000000,1497771.7600000000,1657654.1799999999,10691881.3399999999,
FS(20),1516539.0100000000,1528155.3999999999,1471107.1499999999,1516989.8999999999,1528237.0000000000,1495357.7800000000,1621424.4800000000,10677813.7200000007,
