代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10534209.4499999993
真實報酬,534209.4499999993
趨勢值,0.4540969419

選擇檔數,3
找到最佳解世代,2364
找到最佳解實驗,1
Stock#,IBM,KO,WMT,
分配資金,3333333,3333333,3333333,
張數,16875,95785,56670,
剩餘資金,14.2500000000,15.0000000003,3.6000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3354933.0000000000,3313218.1500000008,3344100.2999999998,10012252.4499999993,
FS(3),3386151.7500000000,3316091.7000000002,3366201.6000000001,10068446.0499999989,
FS(4),3328776.7500000000,3293103.3000000007,3341833.5000000000,9963714.5499999989,
FS(5),3337383.0000000000,3295019.0000000005,3392269.8000000003,10024672.7999999989,
FS(6),3371808.0000000000,3318007.4000000004,3387169.5000000005,10076985.9000000004,
FS(7),3385476.7500000000,3329501.6000000001,3404737.2000000002,10119716.5499999989,
FS(8),3391889.2500000000,3360152.8000000003,3438739.2000000002,10190782.2500000000,
FS(9),3438801.7500000000,3364942.0500000007,3456873.6000000001,10260618.4000000004,
FS(10),3454664.2500000000,3363026.3500000006,3461407.2000000002,10279098.7999999989,
FS(11),3476264.2500000000,3368773.4500000007,3469907.6999999997,10314946.4000000004,
FS(12),3476433.0000000000,3360152.8000000003,3447806.4000000004,10284393.1999999993,
FS(13),3471539.2500000000,3371647.0000000009,3442139.4000000004,10285326.6500000004,
FS(14),3446733.0000000000,3381225.5000000000,3434205.6000000001,10262165.0999999996,
FS(15),3454158.0000000000,3406129.6000000006,3431938.8000000003,10292227.4000000004,
FS(16),3467658.0000000000,3420497.3500000006,3437039.1000000001,10325195.4499999993,
FS(17),3467489.2500000000,3423370.9000000008,3442706.1000000001,10333567.2500000000,
FS(18),3506133.0000000000,3443485.7500000009,3468207.6000000001,10417827.3499999996,
FS(19),3496176.7500000000,3442527.9000000004,3461973.9000000004,10400679.5499999989,
FS(20),3498033.0000000000,3479884.0500000003,3467640.8999999999,10445558.9499999993,
FS(21),3514570.5000000000,3535439.3500000001,3446673.0000000000,10496683.8499999996,
FS(22),3520983.0000000000,3545017.8500000001,3468207.6000000001,10534209.4499999993,
