代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10575338.1599999983
真實報酬,575338.1599999983
趨勢值,0.6169584368

選擇檔數,5
找到最佳解世代,2271
找到最佳解實驗,1
Stock#,AAPL,HD,NKE,UNH,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,23070,38699,86021,39054,27166,
剩餘資金,61.7000000001,35.6800000000,11.7500000000,44.6600000000,39.0799999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2003229.7999999998,1988777.2900000000,1990537.6899999999,1995704.0600000001,2011681.3799999997,9989930.2200000007,
FS(3),2029298.8999999999,2023606.3899999999,2033548.1899999999,2015621.5999999999,2025264.3799999997,10127339.4600000009,
FS(4),2051907.5000000000,2012383.6799999999,2054193.2300000000,1991798.6599999999,2017929.5599999998,10128212.6299999990,
FS(5),2046370.7000000000,2027863.2799999998,2067956.5899999999,2051941.8199999998,2010051.4199999997,10204183.8100000005,
FS(6),2042910.2000000000,2042955.8899999999,2062795.3300000001,2059362.0799999998,2018744.5399999998,10226768.0399999991,
FS(7),2045909.3000000000,2056887.5299999998,2044730.9199999999,2031633.7400000000,2006248.1799999997,10185409.6699999999,
FS(8),2048908.3999999999,2053404.6200000001,2032687.9800000000,2026947.2599999998,2001629.9600000000,10163578.2199999988,
FS(9),2076361.7000000000,2044116.8599999999,2061074.9100000001,2026947.2599999998,1994023.4800000000,10202524.2099999990,
FS(10),2081898.4999999998,2117257.9700000002,2041290.0800000001,2029681.0399999998,2010594.7400000000,10280722.3299999982,
FS(11),2079130.1000000001,2128480.6800000002,2026666.5099999998,2062876.9399999999,2022547.7800000000,10319702.0099999998,
FS(12),2097355.3999999999,2179176.3700000001,2038709.4500000000,2085137.7200000000,1960065.9800000000,10360444.9199999999,
FS(13),2136113.0000000005,2195429.9500000002,2070537.2200000000,2074983.6799999999,1955719.4199999997,10432783.2699999996,
FS(14),2192173.1000000001,2189238.1100000003,2059354.4900000002,2077717.4600000000,1964140.8799999997,10482624.0400000010,
FS(15),2162182.1000000001,2179563.3600000003,2061074.9100000001,2086309.3400000001,1940506.4600000000,10429636.1699999999,
FS(16),2204400.2000000002,2191947.0400000000,2059354.4900000002,2107789.0400000000,1949742.8999999997,10513233.6699999999,
FS(17),2183867.8999999999,2188464.1299999999,2052472.8100000001,2105836.3400000003,1944038.0399999998,10474679.2199999988,
FS(18),2185944.2000000002,2204330.7200000002,2083440.3699999999,2115209.2999999998,1958979.3399999999,10547903.9299999997,
FS(19),2227008.8000000003,2193108.0100000002,2073978.0600000001,2132783.6000000001,1969574.0799999998,10596452.5499999989,
FS(20),2224009.7000000002,2187690.1500000004,2126450.8700000001,2121848.4800000000,1967129.1399999997,10627128.3399999999,
FS(21),2219626.3999999999,2199686.8400000003,2122149.8200000003,2133955.2200000002,1976908.8999999997,10652327.1799999997,
FS(22),2188020.5000000005,2191173.0600000001,2102364.9900000002,2135907.9199999999,1962782.5799999998,10580249.0500000007,
FS(23),2192403.8000000003,2196203.9300000002,2093762.8899999999,2120676.8599999999,1972290.6799999997,10575338.1599999983,
