代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10426275.0099999998
真實報酬,426275.0099999998
趨勢值,1.2920342839

選擇檔數,9
找到最佳解世代,2384
找到最佳解實驗,7
Stock#,CAT,DIS,JNJ,JPM,MCD,MRK,V,WBA,WMT,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,11883,21743,15684,24879,12329,26877,28600,29193,16047,
剩餘資金,50.5000000000,43.7000000000,56.4399999999,14.8600000001,21.5199999999,15.8199999999,1.0000000000,25.4199999999,16.7200000001,
FS(1),1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,10000000.0000000000,
FS(2),1121805.7000000000,1113502.7300000000,1109542.5999999999,1108871.8900000001,1117398.7900000000,1137719.2299999997,1111969.0000000000,1103228.8899999999,1104050.3199999998,10028090.1500000004,
FS(3),1127984.8600000001,1134810.8699999999,1122246.6399999999,1128526.3000000000,1107782.1699999999,1128043.5099999998,1120835.0000000000,1085421.1599999999,1108222.5400000000,10063874.0500000026,
FS(4),1131430.9299999999,1108284.4099999999,1119894.0400000000,1129770.2500000000,1120850.9099999999,1132075.0599999998,1128843.0000000000,1110235.2100000000,1097631.5200000000,10079016.3300000001,
FS(5),1117052.5000000000,1103718.3799999999,1120050.8799999999,1132009.3600000001,1121220.7800000000,1133687.6799999999,1139425.0000000000,1114322.2300000000,1100680.4500000000,10082168.2600000016,
FS(6),1122281.0200000000,1104153.2400000000,1125069.7600000000,1131262.9900000000,1119618.0100000000,1144707.2500000000,1156871.0000000000,1122496.2700000000,1100359.5099999998,10126820.0499999989,
FS(7),1129886.1399999999,1104370.6699999999,1132284.3999999999,1148180.7100000000,1126892.1200000001,1149813.8799999999,1147719.0000000000,1125999.4299999999,1096989.6399999999,10162136.9900000002,
FS(8),1131193.2700000000,1099804.6399999999,1134793.8399999999,1147931.9200000002,1130960.6900000002,1161908.5299999998,1152295.0000000000,1141471.7200000000,1101322.3299999998,10201682.9399999995,
FS(9),1124538.7900000000,1100022.0700000001,1138087.4800000000,1141463.3800000001,1128494.8900000001,1164865.0000000000,1148577.0000000000,1139720.1399999999,1096026.8199999998,10181796.5700000003,
FS(10),1136897.1100000001,1110893.5700000001,1135107.5200000000,1153156.5100000002,1128248.3100000001,1152232.8099999998,1147147.0000000000,1147310.3199999998,1106938.7800000000,10217932.9300000016,
FS(11),1131193.2700000000,1120460.4900000000,1138401.1599999999,1164849.6400000001,1123193.4199999999,1143363.3999999999,1145431.0000000000,1149937.6899999999,1110629.5899999999,10227460.6600000001,
FS(12),1137253.6000000001,1139594.3299999998,1143420.0400000000,1155395.6200000001,1131330.5600000001,1149007.5699999998,1143143.0000000000,1149061.8999999999,1104852.6699999999,10253060.2899999991,
FS(13),1160068.9600000000,1138072.3200000001,1148595.7600000000,1155893.2000000002,1137495.0600000001,1155189.2799999998,1131703.0000000000,1144682.9500000000,1110469.1200000001,10282170.6500000004,
FS(14),1161257.2600000000,1146552.0899999999,1140126.3999999999,1157883.5200000000,1146002.0700000001,1161102.2200000000,1137137.0000000000,1152856.9900000000,1116566.9800000000,10319485.5299999993,
FS(15),1150919.0500000000,1173078.5500000000,1142635.8399999999,1150171.0300000000,1152536.4400000002,1150888.9599999997,1137137.0000000000,1153732.7800000000,1115122.7500000000,10326223.3999999985,
FS(16),1147948.3000000000,1173078.5500000000,1146556.8399999999,1153654.0900000001,1150440.5100000000,1155726.8199999998,1140855.0000000000,1151397.3399999999,1119936.8500000001,10339595.3000000007,
FS(17),1135827.6399999999,1182428.0400000000,1159417.7200000000,1173308.5000000000,1155495.3999999999,1168090.2399999998,1142857.0000000000,1158111.7300000000,1107259.7200000000,10382796.9900000002,
FS(18),1158048.8500000001,1181993.1799999999,1154712.5200000000,1160371.4200000002,1163385.9600000000,1153845.4299999999,1117975.0000000000,1170664.7200000000,1112876.1699999999,10373874.2500000000,
FS(19),1171714.3000000000,1173948.2700000000,1167102.8799999999,1172313.3400000001,1170290.2000000000,1173465.6399999997,1120263.0000000000,1169497.0000000000,1121541.5500000000,10440137.1799999997,
FS(20),1172308.4500000000,1169599.6699999999,1162084.0000000000,1172562.1300000001,1167207.9500000000,1169165.3199999998,1108251.0000000000,1163950.3299999998,1119294.9700000000,10404424.8200000003,
FS(21),1169218.8700000001,1171556.5400000000,1159417.7200000000,1170571.8100000001,1174851.9300000002,1162446.0699999998,1129129.0000000000,1166577.7000000000,1122504.3700000001,10426275.0099999998,
