代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10358721.7599999998
真實報酬,358721.7599999998
趨勢值,0.6185893931

選擇檔數,3
找到最佳解世代,2395
找到最佳解實驗,1
Stock#,AXP,JNJ,VZ,
分配資金,3333333,3333333,3333333,
張數,55639,44935,74805,
剩餘資金,0.5100000002,54.6999999997,22.1999999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3305513.5000000000,3330187.5499999998,3330340.7999999998,9966042.8499999996,
FS(3),3375062.2500000000,3354901.7999999993,3333333.0000000000,10063298.0500000007,
FS(4),3369498.3500000006,3387704.3499999996,3347545.9499999997,10104749.6500000004,
FS(5),3457407.9700000002,3372875.7999999998,3325852.5000000000,10156137.2700000014,
FS(6),3438490.7100000000,3391748.5000000000,3317623.9499999997,10147864.1600000001,
FS(7),3448505.7300000000,3388603.0499999993,3315379.7999999998,10152489.5800000001,
FS(8),3460746.3100000005,3406127.6999999997,3324356.3999999994,10191231.4100000001,
FS(9),3455182.4100000001,3399836.7999999993,3330340.7999999998,10185361.0099999998,
FS(10),3468535.7700000005,3406577.0499999998,3316127.8499999996,10191241.6699999999,
FS(11),3432370.4199999999,3422304.2999999993,3321364.1999999997,10176039.9199999999,
FS(12),3465197.4300000002,3458252.2999999993,3328844.6999999997,10252295.4299999997,
FS(13),3444611.0000000000,3444322.4500000002,3360262.7999999998,10249197.2500000000,
FS(14),3424024.5700000003,3454208.1499999999,3375223.7999999993,10253457.5200000014,
FS(15),3481332.7400000002,3426348.4499999997,3396169.1999999997,10303851.3900000006,
FS(16),3450731.2900000005,3395792.6499999994,3420106.7999999998,10266631.7400000002,
FS(17),3445167.3900000001,3403880.9499999997,3450028.7999999993,10299078.1400000006,
FS(18),3477438.0100000002,3429493.8999999994,3467233.9499999997,10374166.8599999994,
FS(19),3457964.3600000003,3420057.5499999998,3480698.8499999996,10358721.7599999998,
