代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10638462.4699999969
真實報酬,638462.4699999969
趨勢值,1.4315606189

選擇檔數,9
找到最佳解世代,3172
找到最佳解實驗,14
Stock#,AAPL,AXP,IBM,MCD,PFE,UNH,VZ,WBA,WMT,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,18066,17814,5475,11612,40566,20760,23782,26890,15488,
剩餘資金,52.0000000000,51.8200000000,178.7500000000,74.8399999999,8.2600000000,35.7999999999,15.9600000000,16.2000000000,1.8800000001,
FS(1),1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,1111111.0000000000,10000000.0000000000,
FS(2),1084192.6599999999,1120374.2800000000,1123594.0000000000,1104027.6799999997,1123280.8000000000,1106959.0000000000,1120385.9800000000,1123211.5000000000,1134652.7600000002,10040679.6600000001,
FS(3),1112736.9400000002,1142285.5000000002,1130930.5000000000,1112620.5599999998,1138695.8800000001,1110695.8000000000,1134179.5399999998,1094977.0000000000,1141777.2400000000,10118899.9599999990,
FS(4),1098645.4600000000,1151726.9200000002,1141059.2500000000,1124232.5599999998,1140724.1799999999,1112979.4000000001,1124428.9199999999,1074540.5999999999,1136511.3200000001,10104849.6099999994,
FS(5),1111291.6599999999,1150123.6600000001,1146753.2500000000,1127483.9199999999,1146809.0800000001,1116923.8000000000,1129185.3199999998,1079111.8999999999,1135582.0400000000,10143265.6300000008,
FS(6),1114182.2200000000,1152617.6200000001,1152009.2500000000,1146295.3599999999,1143563.8000000000,1117131.4000000001,1140600.6799999999,1092825.8000000000,1131090.5200000003,10190317.6500000004,
FS(7),1130080.3000000000,1166868.8200000001,1150366.7500000000,1148385.5199999998,1145997.7600000000,1125435.4000000001,1137033.3800000001,1110035.3999999999,1130316.1200000001,10244520.4499999993,
FS(8),1105691.2000000000,1163127.8800000001,1152940.0000000000,1146875.9600000000,1133422.3000000000,1138306.6000000001,1150113.4800000000,1103581.8000000000,1139918.6799999999,10233978.9000000004,
FS(9),1105510.5400000000,1163306.0200000000,1161207.2500000000,1154075.3999999999,1136667.5800000001,1131040.6000000001,1140125.0399999998,1150370.3999999999,1140693.0800000003,10282996.9099999983,
FS(10),1116350.1399999999,1164731.1399999999,1181683.7500000000,1153262.5599999998,1140318.5200000000,1136230.6000000001,1152967.3199999998,1148757.0000000000,1134033.2400000000,10328335.2699999996,
FS(11),1145075.0800000001,1177379.0800000001,1176865.7500000000,1157442.8799999999,1136667.5800000001,1136230.6000000001,1142027.6000000001,1144992.3999999999,1122881.8800000001,10339563.8499999996,
FS(12),1176148.5999999999,1171856.7400000000,1167503.5000000000,1144669.6799999997,1137478.8999999999,1141835.8000000000,1159388.4600000000,1140958.8999999999,1119009.8800000001,10358851.4599999990,
FS(13),1173077.3800000001,1160277.6399999999,1168762.7500000000,1142695.6399999999,1135450.5999999999,1145365.0000000000,1164144.8600000001,1203074.8000000000,1122107.4800000002,10414957.1500000004,
FS(14),1166754.2800000000,1175775.8200000001,1177632.2500000000,1146992.0799999998,1147620.3999999999,1139344.6000000001,1155821.1599999999,1237494.0000000000,1130471.0000000000,10477906.5899999999,
FS(15),1168560.8800000001,1165265.5600000001,1162302.2500000000,1144205.2000000000,1140318.5200000000,1143081.4000000001,1160577.5599999998,1231847.1000000001,1132639.3200000001,10448798.7899999991,
FS(16),1192227.3399999999,1179694.9000000001,1161316.7500000000,1152798.0799999998,1151271.3400000001,1130625.4000000001,1165809.6000000001,1250132.3000000000,1150450.5200000003,10534327.2300000004,
FS(17),1196563.1800000002,1177557.2200000000,1153980.2500000000,1140837.7199999997,1142346.8200000001,1138929.4000000001,1169139.0799999998,1242065.2999999998,1159278.6799999999,10520698.6500000004,
FS(18),1190240.0799999998,1196618.2000000002,1162849.7500000000,1143856.8399999999,1160195.8600000001,1155329.8000000000,1176749.3199999998,1279173.5000000000,1158039.6400000001,10623053.9900000002,
FS(19),1166754.2800000000,1196261.9200000002,1154801.5000000000,1148501.6399999999,1161818.5000000000,1175467.0000000000,1163907.0399999998,1270299.8000000000,1158194.5200000003,10596007.2000000011,
FS(20),1142545.8400000001,1201784.2600000000,1167996.2500000000,1157675.1199999999,1170743.0200000000,1187715.4000000001,1168901.2600000000,1282131.3999999999,1158968.9200000002,10638462.4699999969,
