代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10640879.7999999989
真實報酬,640879.7999999989
趨勢值,0.6757495371

選擇檔數,8
找到最佳解世代,2130
找到最佳解實驗,2
Stock#,HD,KO,MCD,MSFT,NKE,PFE,VZ,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17941,30902,12619,43691,42911,43342,25396,16571,
剩餘資金,50.5300000000,14.0999999999,88.0500000000,0.4900000000,2.5700000000,16.7200000000,8.8800000000,49.4699999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1274220.3499999999,1258343.5399999998,1265268.9900000002,1258301.2900000000,1263731.5200000000,1266903.3799999999,1257110.8800000001,1259776.8899999999,10103656.8399999999,
FS(3),1262379.2900000000,1241347.4399999999,1252523.8000000000,1247815.4500000000,1264160.6300000001,1258234.9800000000,1244158.9200000002,1259445.4700000000,10030065.9800000004,
FS(4),1268299.8200000001,1252781.1799999999,1269938.0200000000,1249563.0900000001,1273171.9400000002,1263869.4399999999,1252031.6799999999,1262759.6699999999,10092414.8399999999,
FS(5),1256996.9900000000,1238566.2599999998,1279907.0300000000,1253932.1899999999,1265447.9600000000,1261268.9199999999,1258634.6400000001,1265908.1599999999,10080662.1500000004,
FS(6),1277808.5500000000,1262669.8199999998,1280916.5500000000,1249126.1799999999,1286474.3500000001,1263869.4399999999,1255333.1600000001,1280822.0600000001,10157020.1100000013,
FS(7),1277449.7300000000,1258034.5199999998,1275364.1900000002,1293691.0000000000,1285187.0200000000,1261702.3399999999,1253555.4400000002,1294575.9900000000,10199560.2300000004,
FS(8),1286240.8200000001,1269159.2399999998,1280790.3599999999,1322963.9700000000,1293769.2200000000,1296809.3600000001,1266253.4400000002,1282147.7400000000,10298134.1500000004,
FS(9),1290008.4300000002,1272558.4600000000,1287099.8599999999,1264418.0300000000,1313079.1700000002,1328015.6000000001,1282760.8400000001,1289107.5600000001,10327047.9499999993,
FS(10),1320866.9500000002,1269468.2599999998,1307290.2600000000,1257864.3799999999,1299776.7600000000,1329315.8600000001,1291649.4400000002,1301867.2300000000,10378099.1400000006,
FS(11),1295928.9600000002,1238875.2800000000,1289118.9000000001,1253495.2800000000,1280466.8100000001,1319780.6199999999,1286062.3200000001,1300375.8399999999,10264104.0100000016,
FS(12),1300055.3899999999,1309331.8399999999,1300349.8100000001,1265728.7600000000,1298060.3200000001,1341018.2000000000,1281491.0400000000,1303855.7500000000,10399891.1099999994,
FS(13),1306155.3300000001,1314894.1999999997,1294040.3100000001,1259612.0200000000,1306642.5200000000,1337984.2600000000,1258126.7200000002,1301038.6800000002,10378494.0400000028,
FS(14),1300414.2100000002,1300988.2999999998,1286090.3400000001,1257864.3799999999,1291194.5600000001,1325848.5000000000,1292919.2400000000,1278667.8299999998,10333987.3600000013,
FS(15),1327684.5300000000,1318293.4199999997,1260978.5300000000,1300681.5600000001,1307071.6300000001,1346219.2400000000,1326949.8800000001,1297393.0600000001,10485271.8499999996,
FS(16),1325172.7900000000,1320147.5399999998,1253407.1299999999,1346994.0200000000,1316512.0500000000,1340584.7800000000,1325426.1200000001,1292090.3399999999,10520334.7699999996,
FS(17),1316561.1099999999,1319529.5000000000,1258959.4900000002,1336945.0900000001,1323377.8100000001,1347086.0799999998,1328727.6000000001,1310649.8600000001,10541836.5400000010,
FS(18),1314767.0100000000,1302533.3999999999,1274859.4299999999,1387626.6500000001,1320374.0400000000,1326281.9199999999,1315521.6799999999,1293084.6000000001,10535048.7300000004,
FS(19),1316381.7000000002,1308713.7999999998,1273849.9099999999,1395491.0300000000,1331960.0100000000,1311545.6400000001,1351584.0000000000,1303358.6200000001,10592884.7100000009,
FS(20),1316022.8799999999,1300988.2999999998,1273218.9600000000,1388937.3799999999,1328098.0200000000,1304177.5000000000,1361996.3600000001,1309821.3100000001,10583260.7100000009,
FS(21),1321764.0000000000,1305314.5799999998,1289497.4700000002,1424764.0000000000,1343975.0900000001,1318913.7800000000,1357679.0400000000,1299050.1599999999,10660958.1199999992,
FS(22),1316022.8799999999,1308095.7599999998,1288992.7100000000,1446172.5900000001,1364572.3700000001,1259968.6599999999,1369107.2400000000,1287947.5899999999,10640879.7999999989,
