代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10385998.5999999996
真實報酬,385998.5999999996
趨勢值,0.1800753909

選擇檔數,2
找到最佳解世代,2191
找到最佳解實驗,1
Stock#,UNH,VZ,
分配資金,5000000,5000000,
張數,79617,102753,
剩餘資金,52.4000000002,39.0200000004,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4964968.5200000005,5018495.5400000010,9983464.0600000005,
FS(3),4916402.1500000004,4963008.9199999999,9879411.0700000003,
FS(4),4929937.0400000010,5134606.4300000006,10064543.4700000007,
FS(5),4981688.0900000008,5162349.7400000002,10144037.8300000001,
FS(6),5070062.9600000000,5192148.1100000003,10262211.0700000003,
FS(7),5089967.2100000000,5156184.5600000005,10246151.7699999996,
FS(8),5082005.5099999998,5127413.7200000007,10209419.2299999986,
FS(9),5107482.9500000011,5203450.9400000004,10310933.8900000006,
FS(10),5079617.0000000000,5247634.7300000004,10327251.7300000004,
FS(11),5124998.6900000004,5210643.6500000004,10335642.3399999999,
FS(12),5229296.9600000009,5296956.1699999999,10526253.1300000008,
FS(13),5195857.8200000012,5142826.6699999999,10338684.4900000002,
FS(14),5079617.0000000000,5030825.9000000004,10110442.9000000004,
FS(15),5087578.7000000002,5088367.5800000010,10175946.2799999993,
FS(16),5147291.4500000011,5047266.3799999999,10194557.8300000001,
FS(17),5074043.8100000005,5182900.3399999999,10256944.1500000004,
FS(18),5157641.6600000001,5205506.0000000000,10363147.6600000001,
FS(19),5261939.9300000006,5240442.0200000005,10502381.9500000011,
FS(20),5213373.5600000005,5172625.0400000010,10385998.5999999996,
