代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10419589.8399999980
真實報酬,419589.8399999980
趨勢值,0.2600930471

選擇檔數,2
找到最佳解世代,2117
找到最佳解實驗,1
Stock#,MRK,UTX,
分配資金,5000000,5000000,
張數,101030,44448,
剩餘資金,25.2999999998,44.4800000002,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5024247.1999999993,5018223.6800000006,10042470.8799999990,
FS(3),5025257.5000000000,5013334.4000000004,10038591.9000000004,
FS(4),5062638.5999999996,5045336.9600000009,10107975.5599999987,
FS(5),5030309.0000000000,5051559.6800000006,10081868.6799999997,
FS(6),5003030.9000000004,5054226.5600000005,10057257.4599999990,
FS(7),5039401.7000000002,5059560.3200000003,10098962.0199999996,
FS(8),5366738.8999999994,5013778.8799999999,10380517.7799999993,
FS(9),5354615.2999999998,5006222.7200000007,10360838.0199999996,
FS(10),5306120.9000000004,5070227.8399999999,10376348.7400000002,
FS(11),5304100.2999999998,5076895.0400000000,10380995.3399999999,
FS(12),5248533.7999999998,5076450.5600000005,10324984.3599999994,
FS(13),5236410.1999999993,5111120.0000000000,10347530.1999999993,
FS(14),5187915.7999999998,5161346.2400000002,10349262.0399999991,
FS(15),5213173.2999999998,5104452.8000000007,10317626.0999999996,
FS(16),5251564.6999999993,4969330.8799999999,10220895.5799999982,
FS(17),5307131.2000000002,5057782.4000000004,10364913.5999999996,
FS(18),5341481.3999999994,5060893.7600000007,10402375.1599999983,
FS(19),5274801.5999999996,5034669.4400000004,10309471.0399999991,
FS(20),5406140.5999999996,5097341.1200000010,10503481.7199999988,
FS(21),5351584.3999999994,5068005.4400000004,10419589.8399999980,
