代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10539679.4000000004
真實報酬,539679.4000000004
趨勢值,0.4927252954

選擇檔數,4
找到最佳解世代,1842
找到最佳解實驗,1
Stock#,JNJ,MCD,PG,UNH,
分配資金,2500000,2500000,2500000,2500000,
張數,27304,26505,32266,32425,
剩餘資金,45.7599999999,48.4000000002,30.3199999999,32.5000000002,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2548601.1199999996,2517493.3000000003,2531298.0200000000,2533397.7500000000,10130790.1899999995,
FS(3),2528123.1199999996,2518553.5000000005,2510970.4399999995,2528858.2500000000,10086505.3100000005,
FS(4),2536314.3199999998,2533396.3000000003,2518714.2799999998,2517509.5000000000,10105934.4000000004,
FS(5),2548055.0399999996,2531275.9000000004,2529039.3999999999,2509727.5000000000,10118097.8399999999,
FS(6),2551604.5600000001,2523324.4000000004,2533879.2999999998,2525291.5000000000,10134099.7600000016,
FS(7),2552696.7199999997,2618212.3000000003,2547431.0200000000,2522049.0000000000,10240389.0400000010,
FS(8),2555700.1599999997,2616356.9500000002,2556788.1599999997,2516212.5000000000,10245057.7699999996,
FS(9),2539317.7599999998,2580840.2500000005,2555174.8599999999,2497081.7500000000,10172414.6200000010,
FS(10),2534130.0000000000,2586406.3000000003,2548399.0000000000,2454605.0000000000,10123540.3000000007,
FS(11),2564710.4800000000,2586936.4000000004,2576147.7599999998,2488975.5000000000,10216770.1400000006,
FS(12),2564983.5199999996,2579249.9500000007,2573889.1399999997,2529182.5000000000,10247305.1099999994,
FS(13),2555427.1199999996,2547178.9000000004,2541945.7999999998,2592735.5000000000,10237287.3200000003,
FS(14),2569898.2399999998,2560431.4000000004,2527103.4399999995,2643642.7500000000,10301075.8300000001,
FS(15),2619318.4800000000,2530480.7500000005,2512906.3999999999,2637482.0000000000,10300187.6300000008,
FS(16),2599386.5600000001,2549299.3000000007,2558724.1199999996,2635536.5000000000,10342946.4800000004,
FS(17),2658909.2799999998,2542142.9500000002,2575179.7799999998,2629700.0000000000,10405932.0099999998,
FS(18),2649898.9599999995,2540287.6000000006,2565177.3199999998,2643967.0000000000,10399330.8800000008,
FS(19),2656178.8799999999,2548769.2000000002,2570017.2200000002,2627106.0000000000,10402071.3000000007,
FS(20),2660547.5199999996,2577394.6000000001,2573566.4800000000,2646561.0000000000,10458069.6000000015,
FS(21),2682117.6799999997,2598333.5500000003,2600669.9199999995,2658558.2500000000,10539679.4000000004,
