代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10507592.7699999996
真實報酬,507592.7699999996
趨勢值,0.5939601479

選擇檔數,5
找到最佳解世代,1927
找到最佳解實驗,1
Stock#,CAT,INTC,KO,MCD,TRV,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,20038,76952,52069,20429,23699,
剩餘資金,7.2200000000,17.5200000001,29.7100000002,0.8999999999,41.3900000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2056507.1599999999,1992304.8000000000,1995834.4800000002,1993667.0100000000,2006161.7400000000,10044475.1900000013,
FS(3),2054904.1199999999,2032319.8400000001,1982296.5400000003,1995097.0399999998,2013982.4099999999,10078599.9499999993,
FS(4),2047289.6799999999,2013081.8400000001,1990106.8900000001,1999387.1299999999,2019196.1899999999,10069061.7300000004,
FS(5),2026049.3999999999,2038476.0000000000,2010934.4900000000,1981818.1899999999,2014456.3899999999,10071734.4700000007,
FS(6),2051698.0400000000,2070795.8400000001,2025513.8100000001,2003677.2200000000,2008057.6599999999,10159742.5700000003,
FS(7),2063720.8399999999,2076182.4800000000,2030200.0200000003,2009193.0499999998,2033889.5699999998,10213185.9600000009,
FS(8),2049093.1000000001,2033858.8799999999,2024993.1200000001,2031256.3700000001,2014219.3999999997,10153420.8700000010,
FS(9),2032862.3200000001,2014620.8799999999,2011455.1800000004,2028396.3100000001,2021566.0899999999,10108900.7799999993,
FS(10),2059512.8600000001,2043862.6399999999,2016662.0800000001,2045148.0899999999,2026305.8899999999,10191491.5600000005,
FS(11),2053902.2200000000,2060022.5600000001,2092162.1300000001,2059856.9700000000,2035548.5000000000,10301492.3800000008,
FS(12),2062518.5600000001,2072334.8799999999,2113510.4199999999,2059856.9700000000,2056640.6099999999,10364861.4400000013,
FS(13),2060514.7600000000,2080799.5999999999,2120279.3900000001,2048008.1499999999,2054270.7100000000,10363872.6099999994,
FS(14),2056707.5400000000,2073873.9199999999,2121841.4600000000,2036159.3299999998,2047634.9900000000,10336217.2400000002,
FS(15),2077747.4399999999,2065409.2000000000,2119758.7000000002,2029009.1799999997,2059247.5000000000,10351172.0199999996,
FS(16),2071535.6599999999,2058483.5200000000,2120800.0799999996,2025127.6699999999,2088634.2599999998,10364581.1899999995,
FS(17),2109607.8599999999,2058483.5200000000,2119238.0100000002,2039632.2600000000,2099535.8000000003,10426497.4500000011,
FS(18),2097785.4399999995,2020777.0400000000,2135379.3999999999,2057814.0700000001,2092900.0799999998,10404656.0299999993,
FS(19),2089169.1000000001,2026163.6799999999,2136420.7799999998,2049233.8899999999,2124419.7500000000,10425407.2000000011,
FS(20),2110008.6199999996,2037706.4800000000,2112469.0400000000,2073544.3999999999,2154280.4900000002,10488009.0299999993,
FS(21),2112012.4199999999,2053866.4000000001,2123924.2199999997,2071092.9199999999,2146696.8100000001,10507592.7699999996,
