代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10450469.0199999996
真實報酬,450469.0199999996
趨勢值,0.6937097567

選擇檔數,6
找到最佳解世代,1735
找到最佳解實驗,1
Stock#,BA,CSCO,DIS,MCD,TRV,VZ,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,12974,72432,20948,16508,18349,35295,
剩餘資金,25.9599999999,5.6799999999,43.1200000000,18.3200000001,26.3300000000,36.1000000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1685867.5200000000,1661595.7600000000,1682377.0000000000,1674424.7600000002,1669785.3300000001,1663136.5000000000,10037190.8700000010,
FS(3),1712075.0000000000,1663044.3999999999,1701439.6799999999,1669637.4400000002,1663363.1800000002,1672666.1500000001,10082229.8500000015,
FS(4),1697414.3800000001,1645660.7199999997,1697459.5599999998,1666500.9200000002,1649234.4500000000,1675489.7500000000,10031763.7799999993,
FS(5),1691186.8599999999,1656525.5200000000,1681958.0400000000,1683174.0000000000,1671069.7600000000,1697725.6000000001,10081643.7799999993,
FS(6),1694041.1399999999,1667390.3199999998,1709399.9199999997,1683008.9200000002,1674189.0900000001,1711490.6500000001,10139524.0400000010,
FS(7),1700917.3599999999,1667390.3199999998,1716731.7200000000,1699186.7600000002,1675290.0300000000,1711137.7000000000,10170657.8899999987,
FS(8),1720378.3599999999,1679703.7600000000,1726577.2800000000,1698031.2000000000,1688868.2900000003,1699843.3000000000,10213406.1899999995,
FS(9),1731406.2599999998,1655801.2000000000,1719454.9599999997,1709091.5600000001,1704831.9199999999,1688901.8500000001,10209491.7500000000,
FS(10),1725438.2200000000,1652179.5999999999,1695155.2800000000,1700837.5600000001,1700061.1800000002,1694549.0500000000,10168224.8899999987,
FS(11),1702344.5000000000,1751411.4399999999,1679025.3200000001,1692088.3200000001,1694923.4600000002,1692784.3000000000,10212581.3399999999,
FS(12),1697154.8999999999,1765173.5200000000,1684052.8399999999,1702653.4400000002,1698776.7500000000,1731961.7500000000,10279777.2000000011,
FS(13),1704160.8599999999,1763724.8800000001,1697878.5199999998,1685320.0400000000,1702263.0600000001,1734785.3500000001,10288136.7099999990,
FS(14),1681196.8800000001,1747065.5200000000,1698716.4399999999,1676075.5600000001,1700428.1600000001,1717137.8500000001,10220624.4100000001,
FS(15),1699101.0000000000,1773141.0400000000,1721759.2399999998,1693078.8000000000,1703914.4700000000,1735491.2500000002,10326489.8000000007,
FS(16),1710518.1200000001,1765897.8399999999,1725110.9199999997,1691262.9200000002,1706666.8200000001,1745373.8500000001,10344834.4699999988,
FS(17),1717913.2999999998,1776038.3199999998,1745430.4799999997,1683834.3200000001,1703914.4700000000,1755609.4000000001,10382744.2900000010,
FS(18),1740747.5399999998,1789800.3999999999,1754228.6399999997,1689777.2000000000,1715474.3400000001,1751374.0000000000,10441406.1199999992,
FS(19),1742823.3800000001,1797767.9199999999,1751295.9199999997,1672278.7200000000,1714923.8699999999,1755609.4000000001,10434703.2100000009,
FS(20),1753332.3199999998,1787627.4399999999,1760303.5599999998,1672939.0400000000,1726667.2300000000,1754903.5000000000,10455777.0899999999,
FS(21),1754759.4600000000,1783281.5200000000,1759884.6000000001,1674424.7600000002,1714740.3800000001,1763374.3000000000,10450469.0199999996,
