代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10662996.3599999994
真實報酬,662996.3599999994
趨勢值,0.8634485788

選擇檔數,4
找到最佳解世代,2074
找到最佳解實驗,1
Stock#,AAPL,CVX,INTC,UNH,
分配資金,2500000,2500000,2500000,2500000,
張數,27836,20456,91709,31458,
剩餘資金,48.8399999999,72.2400000001,12.6599999999,32.7400000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2535351.7199999997,2506955.0400000000,2536683.5999999996,2512897.7800000003,10091888.1400000006,
FS(3),2564301.1600000001,2502863.8400000003,2531181.0599999996,2532716.3200000003,10131062.3800000008,
FS(4),2574322.1200000001,2526797.3600000003,2536683.5999999996,2510381.1400000001,10148184.2200000007,
FS(5),2567084.7599999998,2540502.8800000004,2583455.1899999999,2514470.6800000006,10205513.5099999998,
FS(6),2608282.0400000000,2544184.9600000004,2559610.8499999996,2509122.8200000003,10221200.6700000018,
FS(7),2623591.8399999999,2564027.2800000003,2589874.8199999994,2510695.7200000002,10288189.6600000001,
FS(8),2612735.7999999998,2560754.3200000003,2561445.0299999998,2522020.6000000001,10256955.7500000000,
FS(9),2569033.2799999998,2579778.4000000004,2564196.2999999998,2499056.2600000002,10212064.2400000002,
FS(10),2540918.9199999999,2603302.8000000003,2739360.4899999998,2490877.1800000006,10374459.3900000006,
FS(11),2566528.0400000000,2629486.4800000000,2752199.7500000000,2453756.7400000002,10401971.0100000016,
FS(12),2563187.7199999997,2635418.7200000007,2746697.2099999995,2459104.6000000001,10404408.2500000000,
FS(13),2565971.3199999998,2665079.9200000004,2744863.0299999998,2491820.9199999999,10467735.1900000013,
FS(14),2557063.7999999998,2700059.6800000006,2759536.4699999997,2532716.3200000003,10549376.2700000014,
FS(15),2530619.5999999996,2707219.2800000003,2769624.4599999995,2561028.5200000000,10568491.8599999994,
FS(16),2528392.7199999997,2720311.1200000001,2772375.7299999995,2563545.1600000001,10584624.7300000004,
FS(17),2513082.9199999999,2695559.3600000003,2797137.1599999997,2571409.6600000001,10577189.0999999996,
FS(18),2515309.7999999998,2684513.1200000001,2831986.5799999996,2590284.4600000004,10622093.9600000009,
FS(19),2530341.2400000002,2678171.7599999998,2822815.6799999997,2588711.5600000005,10620040.2400000002,
FS(20),2560404.1200000001,2666716.4000000004,2836572.0299999998,2579588.7400000002,10643281.2900000010,
FS(21),2586848.3199999998,2670603.0400000005,2833820.7599999998,2571724.2400000002,10662996.3599999994,
