代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10482398.5600000005
真實報酬,482398.5600000005
趨勢值,0.3231768489

選擇檔數,3
找到最佳解世代,1870
找到最佳解實驗,1
Stock#,AAPL,IBM,INTC,
分配資金,3333333,3333333,3333333,
張數,35642,17887,107596,
剩餘資金,93.1600000001,90.5500000001,8.9200000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3331907.3200000003,3369822.4800000000,3333333.0000000000,10035063.8000000007,
FS(3),3351510.4200000004,3372326.6600000001,3350548.3599999999,10074386.4400000013,
FS(4),3420655.8999999999,3363562.0300000003,3338712.8000000003,10122931.7300000004,
FS(5),3398557.8599999999,3348894.6900000004,3312889.7599999998,10060343.3100000005,
FS(6),3399983.5400000000,3370359.0899999999,3323649.3599999999,10093992.9900000002,
FS(7),3387508.8400000003,3357480.4500000002,3363459.8799999999,10108450.1700000018,
FS(8),3393924.3999999999,3362846.5500000003,3362383.9199999999,10119155.8700000010,
FS(9),3437764.0600000001,3396116.3700000006,3388206.9600000000,10222088.3900000006,
FS(10),3397488.6000000001,3371611.1800000006,3411878.0800000001,10180978.8600000013,
FS(11),3378241.9200000004,3440833.8700000006,3728210.3199999998,10547287.1100000013,
FS(12),3318006.9400000004,3443159.1800000006,3625994.1200000001,10387161.2400000021,
FS(13),3365767.2200000002,3443338.0500000003,3625994.1200000001,10435100.3900000025,
FS(14),3348302.6400000001,3413824.5000000000,3664728.6800000002,10426856.8200000003,
FS(15),3376103.3999999999,3471778.3800000004,3743273.7599999998,10591156.5400000010,
FS(16),3464139.1400000001,3463550.3600000003,3712070.9199999999,10639761.4199999999,
FS(17),3458436.4200000004,3492348.4300000006,3685171.9199999999,10635957.7700000014,
FS(18),3481247.3000000003,3477323.3500000006,3685171.9199999999,10643743.5700000022,
FS(19),3529364.0000000000,3502007.4100000001,3683019.9999999995,10714392.4100000001,
FS(20),3506553.1200000001,3480364.1400000001,3678716.1599999997,10665634.4199999999,
FS(21),3498355.4600000004,3470168.5500000003,3695931.5200000000,10664456.5300000012,
FS(22),3407468.3599999999,3428491.8399999999,3646437.3599999999,10482398.5600000005,
