代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10339475.5599999987
真實報酬,339475.5599999987
趨勢值,0.3960730239

選擇檔數,8
找到最佳解世代,2231
找到最佳解實驗,1
Stock#,GS,JNJ,KO,MCD,MSFT,NKE,PFE,PG,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,6953,12093,30019,13469,27722,31533,42720,15063,
剩餘資金,59.1899999999,67.5200000000,8.8400000000,76.8000000000,15.0199999999,31.8800000000,12.7999999999,72.2599999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000019,
FS(2),1248817.9900000000,1254837.2000000002,1254202.6600000001,1254579.4600000000,1246396.1400000001,1242747.4099999997,1255980.8000000000,1248794.9600000002,10006356.6199999992,
FS(3),1252155.4299999999,1255804.6400000001,1256904.3700000001,1252828.4900000002,1254712.7400000000,1260090.5599999998,1254699.2000000002,1260845.3600000001,10048040.7899999991,
FS(4),1249860.9399999999,1262818.5800000001,1256003.8000000003,1253636.6299999999,1272732.0400000000,1293515.5400000000,1266660.8000000000,1261899.7700000000,10117128.0999999996,
FS(5),1252364.0200000000,1258344.1699999999,1254202.6600000001,1245959.3000000000,1288256.3600000001,1299191.4800000000,1255980.8000000000,1255121.4199999999,10109420.2099999990,
FS(6),1233521.3899999999,1255320.9199999999,1259005.7000000000,1226968.0100000000,1296295.7400000000,1290362.2400000000,1248718.4000000001,1250150.6299999999,10060343.0299999993,
FS(7),1250695.3000000000,1269711.5899999999,1265910.0700000001,1252693.8000000000,1298513.5000000000,1300452.8000000000,1257689.6000000001,1259941.5800000001,10155608.2400000021,
FS(8),1258552.1899999999,1264390.6699999999,1259305.8900000001,1252155.0400000000,1302949.0200000000,1290046.9099999997,1265806.3999999999,1257682.1299999999,10150888.2500000000,
FS(9),1273640.2000000000,1264753.4600000000,1244596.5800000001,1257273.2600000000,1294632.4200000002,1290362.2400000000,1257262.4000000001,1254217.6400000001,10136738.2000000030,
FS(10),1279272.1299999999,1266446.4800000000,1245797.3400000001,1259024.2300000000,1281880.3000000000,1286893.6099999999,1278195.2000000002,1263406.0700000001,10160915.3600000013,
FS(11),1279689.3099999998,1280474.3599999999,1250000.0000000000,1262795.5500000000,1296295.7400000000,1280271.6799999999,1283748.8000000000,1266569.3000000000,10199844.7400000002,
FS(12),1285112.6499999999,1284223.1899999999,1249099.4300000002,1259832.3700000001,1289642.4600000002,1285316.9599999997,1296564.8000000000,1267774.3399999999,10217566.2000000011,
FS(13),1306458.3599999999,1298251.0700000001,1254502.8500000001,1259158.9200000002,1294077.9800000000,1292569.5500000000,1306390.3999999999,1268226.2300000000,10279635.3600000013,
FS(14),1294707.7899999998,1305990.5899999999,1262307.7900000000,1271011.6400000001,1317364.4600000002,1290046.9099999997,1298700.8000000000,1272443.8699999999,10312573.8499999996,
FS(15),1288380.5599999998,1304660.3599999999,1267411.0200000000,1265219.9700000002,1304612.3400000001,1272388.4299999999,1289302.4000000001,1277565.2900000000,10269540.3700000010,
FS(16),1286989.9600000000,1299581.3000000000,1257504.7500000000,1259562.9900000002,1290751.3400000001,1263243.8599999999,1283748.8000000000,1271991.9800000000,10213374.9800000023,
FS(17),1305902.1199999999,1313851.0400000000,1268911.9700000002,1279631.8000000000,1305166.7800000000,1274595.7400000000,1294856.0000000000,1284042.3799999999,10326957.8300000001,
FS(18),1280036.9600000000,1295227.8200000001,1254202.6600000001,1268317.8400000001,1276335.8999999999,1257567.9199999999,1280758.4000000001,1270335.0500000000,10182782.5499999989,
FS(19),1287198.5500000000,1295227.8200000001,1266810.6400000001,1275591.1000000001,1286593.0400000000,1411133.6299999999,1269651.2000000000,1274100.8000000000,10366306.7799999993,
FS(20),1278229.1799999999,1288455.7400000000,1268311.5900000001,1296063.9800000000,1287424.7000000000,1405142.3599999999,1271787.2000000000,1271991.9800000000,10367406.7300000004,
FS(21),1276421.3999999999,1289060.3900000001,1280619.3799999999,1277072.6900000002,1285206.9399999999,1406403.6799999999,1263243.2000000000,1261447.8799999999,10339475.5599999987,
