代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10624823.5600000005
真實報酬,624823.5600000005
趨勢值,1.2344668502

選擇檔數,8
找到最佳解世代,3608
找到最佳解實驗,3
Stock#,AAPL,BA,JNJ,JPM,NKE,UTX,VZ,WBA,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10536,8546,12397,22534,27197,10722,26607,16691,
剩餘資金,114.3200000000,62.0400000001,10.4900000000,39.0200000000,25.8800000000,29.2400000000,3.1400000001,11.0100000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1250210.7200000002,1259229.6800000002,1270207.1099999999,1278167.5000000000,1269581.8399999999,1274767.8200000001,1272615.9500000002,1248330.9000000001,10123111.5200000014,
FS(3),1259798.4800000000,1258204.1599999999,1256570.4099999999,1270505.9400000002,1258431.0700000001,1262973.6200000001,1271817.7400000000,1246327.9800000000,10084629.4000000022,
FS(4),1263802.1600000001,1269997.6399999999,1270207.1099999999,1279294.2000000002,1269309.8699999999,1287848.6599999999,1273414.1600000001,1248330.9000000001,10162204.7000000011,
FS(5),1253160.8000000000,1264870.0400000000,1253347.1899999999,1304532.2800000000,1248368.1799999999,1284632.0600000001,1312526.4500000002,1271030.6600000001,10192467.6600000001,
FS(6),1261484.2400000000,1261280.7200000002,1236983.1499999999,1302954.9000000001,1239937.1099999999,1279378.2800000000,1306140.7700000003,1275203.4100000001,10163362.5800000019,
FS(7),1285717.0400000000,1265211.8799999999,1244049.4399999999,1317376.6600000001,1261422.7400000000,1280236.0400000000,1317315.7100000000,1280043.8000000000,10251373.3099999987,
FS(8),1315850.0000000000,1264186.3599999999,1244421.3499999999,1315348.5999999999,1241840.8999999999,1272623.4199999999,1325297.8100000003,1327446.2400000000,10307014.6799999997,
FS(9),1332496.8799999999,1265639.1800000002,1220371.1699999999,1342389.4000000001,1251087.8799999999,1282273.2200000000,1317581.7800000003,1334623.3699999999,10346462.8800000008,
FS(10),1339029.2000000000,1279654.6199999999,1234999.6300000001,1344642.8000000000,1251631.8200000001,1300071.7400000000,1311994.3100000003,1314093.4400000002,10376117.5600000005,
FS(11),1346931.2000000000,1281278.3599999999,1245165.1699999999,1354332.4200000002,1249184.0899999999,1300822.2800000000,1308535.4000000001,1301909.0100000000,10388157.9300000016,
FS(12),1356308.2400000000,1291960.8599999999,1239214.6099999999,1337882.5999999999,1273117.4500000000,1308006.0200000000,1302149.7200000000,1298403.9000000001,10407043.4000000004,
FS(13),1353463.5200000000,1314009.5400000000,1248388.3900000001,1334727.8399999999,1274205.3299999998,1317870.2600000000,1301351.5100000000,1286887.1099999999,10430903.5000000000,
FS(14),1364526.3200000001,1352979.3000000000,1242933.7100000000,1347572.2200000000,1291067.4700000000,1330736.6599999999,1302947.9300000002,1287387.8399999999,10520151.4500000011,
FS(15),1401402.3200000001,1322470.0800000001,1241941.9500000002,1337431.9200000002,1292155.3499999999,1326555.0800000001,1297626.5300000003,1311756.7000000000,10531339.9299999997,
FS(16),1392657.4399999999,1319393.5200000000,1248388.3900000001,1370556.9000000001,1297594.7500000000,1327305.6200000001,1309599.6800000002,1341800.5000000000,10607296.8000000007,
FS(17),1357045.7600000000,1307685.5000000000,1254710.8599999999,1377767.7800000000,1316632.6499999999,1322802.3800000001,1309067.5400000003,1335457.9200000002,10581170.3900000006,
FS(18),1374219.4399999999,1296746.6199999999,1274422.0899999999,1387682.7400000000,1319080.3799999999,1315296.9800000000,1313590.7300000000,1362831.1600000001,10643870.1400000006,
FS(19),1353568.8800000001,1289226.1399999999,1270826.9600000000,1380922.5400000000,1320712.2000000000,1307148.2600000000,1315719.2900000003,1386699.2900000000,10624823.5600000005,
