代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10340032.6799999997
真實報酬,340032.6799999997
趨勢值,0.1109239324

選擇檔數,1
找到最佳解世代,2194
找到最佳解實驗,1
Stock#,UNH,
分配資金,10000000,
張數,87412,
剩餘資金,67.1999999995,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9865385.5199999996,9865385.5199999996,
FS(3),9949301.0399999991,9949301.0399999991,
FS(4),10034090.6799999997,10034090.6799999997,
FS(5),9867133.7599999998,9867133.7599999998,
FS(6),10043706.0000000000,10043706.0000000000,
FS(7),9830420.7199999988,9830420.7199999988,
FS(8),9853147.8399999999,9853147.8399999999,
FS(9),10041957.7599999998,10041957.7599999998,
FS(10),10074300.1999999993,10074300.1999999993,
FS(11),10360137.4399999995,10360137.4399999995,
FS(12),10279718.3999999985,10279718.3999999985,
FS(13),10486010.7199999988,10486010.7199999988,
FS(14),10555940.3200000003,10555940.3200000003,
FS(15),10414332.8799999990,10414332.8799999990,
FS(16),10405591.6799999997,10405591.6799999997,
FS(17),10325172.6399999987,10325172.6399999987,
FS(18),10187061.6799999997,10187061.6799999997,
FS(19),10161712.1999999993,10161712.1999999993,
FS(20),10315557.3200000003,10315557.3200000003,
FS(21),10576919.1999999993,10576919.1999999993,
FS(22),10340032.6799999997,10340032.6799999997,
