代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10322410.0599999987
真實報酬,322410.0599999987
趨勢值,0.2993971732

選擇檔數,1
找到最佳解世代,2245
找到最佳解實驗,1
Stock#,MCD,
分配資金,10000000,
張數,87374,
剩餘資金,45.6999999998,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9936216.9799999986,9936216.9799999986,
FS(3),9907383.5599999987,9907383.5599999987,
FS(4),10152904.5000000000,10152904.5000000000,
FS(5),10172126.7799999993,10172126.7799999993,
FS(6),10181737.9199999999,10181737.9199999999,
FS(7),10186106.6199999992,10186106.6199999992,
FS(8),10240278.5000000000,10240278.5000000000,
FS(9),10142419.6199999992,10142419.6199999992,
FS(10),10158146.9399999995,10158146.9399999995,
FS(11),10216687.5199999996,10216687.5199999996,
FS(12),10296197.8599999994,10296197.8599999994,
FS(13),10266490.6999999993,10266490.6999999993,
FS(14),10193096.5399999991,10193096.5399999991,
FS(15),10283091.7599999998,10283091.7599999998,
FS(16),10285712.9799999986,10285712.9799999986,
FS(17),10380076.8999999985,10380076.8999999985,
FS(18),10359980.8799999990,10359980.8799999990,
FS(19),10375708.1999999993,10375708.1999999993,
FS(20),10491041.8799999990,10491041.8799999990,
FS(21),10435122.5199999996,10435122.5199999996,
FS(22),10322410.0599999987,10322410.0599999987,
