代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10750568.8200000003
真實報酬,750568.8200000003
趨勢值,0.6730110077

選擇檔數,4
找到最佳解世代,1957
找到最佳解實驗,1
Stock#,BA,CVX,PFE,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,19691,26522,83222,30135,
剩餘資金,30.6400000001,36.2799999999,11.1200000001,0.4000000002,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2487791.5800000001,2477986.7399999998,2556590.9600000000,2506027.0000000005,10028396.2799999993,
FS(3),2501378.3700000001,2457830.0200000000,2609853.0400000000,2477398.7500000000,10046460.1799999997,
FS(4),2519100.2700000005,2515382.7599999998,2740511.5800000001,2510547.2500000005,10285541.8599999994,
FS(5),2500787.6400000001,2514056.6600000001,2726363.8399999999,2482220.3500000006,10223428.4899999984,
FS(6),2518115.7200000002,2554900.5399999996,2704726.1200000001,2507533.7500000000,10285276.1299999990,
FS(7),2518706.4500000002,2525991.5599999996,2653960.7000000002,2510848.6000000001,10209507.3099999987,
FS(8),2549424.4100000001,2586196.5000000000,2659786.2400000002,2541887.6500000004,10337294.7999999989,
FS(9),2582308.3799999999,2588583.4799999995,2708055.0000000000,2556352.4500000002,10435299.3099999987,
FS(10),2576597.9900000002,2598661.8399999999,2717209.4199999999,2574433.4500000007,10466902.6999999993,
FS(11),2582111.4700000002,2578770.3399999999,2704726.1200000001,2560571.3500000006,10426179.2799999993,
FS(12),2598651.9100000001,2617757.6799999997,2713880.5400000000,2584980.7000000002,10515270.8300000001,
FS(13),2612632.5200000005,2665497.2799999998,2737182.7000000002,2597938.7500000000,10613251.2500000000,
FS(14),2571084.5099999998,2697058.4600000000,2765478.1799999997,2615718.4000000004,10649339.5499999989,
FS(15),2574431.9800000004,2689367.0800000001,2766310.4000000004,2615417.0500000007,10645526.5099999998,
FS(16),2580536.1900000004,2705545.5000000000,2768807.0600000005,2637716.9500000002,10692605.7000000011,
FS(17),2574628.8900000001,2692284.5000000000,2763813.7400000002,2631689.9500000002,10662417.0800000001,
FS(18),2623659.4800000004,2712971.6600000001,2750498.2199999997,2640730.4500000002,10727859.8100000005,
FS(19),2699272.9200000004,2754345.9799999995,2746337.1200000001,2665742.5000000000,10865698.5199999996,
FS(20),2654377.4400000004,2715889.0800000001,2738847.1399999997,2652784.4500000002,10761898.1099999994,
FS(21),2654377.4400000004,2710054.2399999998,2722202.7400000002,2663934.4000000004,10750568.8200000003,
