代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10283463.4300000016
真實報酬,283463.4300000016
趨勢值,0.2228351087

選擇檔數,2
找到最佳解世代,2135
找到最佳解實驗,1
Stock#,PFE,XOM,
分配資金,5000000,5000000,
張數,152439,56097,
剩餘資金,0.8000000004,74.3900000003,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5137195.1000000015,4942781.0600000005,10079976.1600000020,
FS(3),5091463.4000000004,4933244.5700000003,10024707.9700000007,
FS(4),5117378.0300000012,4938854.2700000005,10056232.3000000026,
FS(5),5118902.4200000009,4965219.8600000013,10084122.2800000012,
FS(6),5155487.7800000012,4968585.6800000006,10124073.4600000009,
FS(7),5152439.0000000000,5048243.4199999999,10200682.4199999999,
FS(8),5054878.0400000000,4982048.9600000009,10036927.0000000000,
FS(9),5059451.2100000000,5030292.3800000008,10089743.5899999999,
FS(10),5059451.2100000000,4973634.4100000001,10033085.6200000010,
FS(11),5088414.6200000010,5024682.6800000006,10113097.3000000007,
FS(12),5035060.9700000007,5022438.8000000007,10057499.7700000014,
FS(13),5056402.4300000006,5012341.3399999999,10068743.7700000014,
FS(14),5088414.6200000010,5054975.0600000005,10143389.6800000016,
FS(15),5143292.6600000011,5034219.1699999999,10177511.8300000019,
FS(16),5132621.9300000006,5026365.5899999999,10158987.5200000014,
FS(17),5198170.7000000011,5030292.3800000008,10228463.0800000019,
FS(18),5236280.4500000011,5063389.6100000013,10299670.0600000024,
FS(19),5248475.5700000003,5037584.9900000002,10286060.5600000005,
FS(20),5275914.5900000008,5049365.3600000013,10325279.9500000011,
FS(21),5289634.1000000015,4993829.3300000001,10283463.4300000016,
