代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10500960.1500000004
真實報酬,500960.1500000004
趨勢值,0.5562877937

選擇檔數,4
找到最佳解世代,2117
找到最佳解實驗,1
Stock#,AAPL,BA,GS,KO,
分配資金,2500000,2500000,2500000,2500000,
張數,22218,18885,15521,59481,
剩餘資金,30.6400000001,3.7000000001,32.5300000001,13.5699999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2510664.6400000001,2497544.9500000002,2518625.2000000007,2488698.6099999999,10015533.4000000004,
FS(3),2511775.5400000000,2543057.8000000003,2582726.9300000002,2486914.1800000002,10124474.4499999993,
FS(4),2530438.6600000001,2538525.3999999999,2594367.6800000002,2480966.0800000001,10144297.8200000003,
FS(5),2534215.7200000002,2527760.9500000002,2635963.9600000004,2482155.6999999997,10180096.3300000001,
FS(6),2578429.5400000000,2565342.1000000001,2654744.3700000001,2482155.6999999997,10280671.7099999990,
FS(7),2583984.0400000000,2525683.6000000006,2623702.3700000001,2470854.3099999996,10204224.3199999984,
FS(8),2607090.7600000002,2514730.3000000003,2627737.8300000005,2485129.7500000000,10234688.6399999987,
FS(9),2599092.2800000003,2518885.0000000000,2598558.3500000001,2483940.1299999999,10200475.7599999998,
FS(10),2613533.9800000000,2521151.2000000002,2646673.4500000007,2478586.8399999999,10259945.4699999988,
FS(11),2611756.5400000000,2530593.7000000002,2623081.5300000003,2474423.1699999999,10239854.9399999995,
FS(12),2609979.1000000001,2551367.2000000002,2679422.7600000002,2496431.1399999997,10337200.1999999993,
FS(13),2602202.8000000003,2571763.0000000005,2708602.2400000002,2501189.6199999996,10383757.6600000001,
FS(14),2600869.7200000002,2565342.1000000001,2708602.2400000002,2494051.8999999999,10368865.9599999990,
FS(15),2590649.4399999999,2561376.2500000000,2711085.6000000001,2505948.1000000001,10369059.3899999987,
FS(16),2613978.3400000003,2595746.9500000002,2718070.0500000003,2531524.9300000002,10459320.2699999996,
FS(17),2627309.1400000001,2625396.4000000004,2724744.0800000005,2530335.3099999996,10507784.9299999997,
FS(18),2568209.2600000002,2748526.6000000001,2748336.0000000000,2524387.2099999995,10589459.0699999984,
FS(19),2543547.2800000003,2706413.0500000003,2758890.2800000003,2505353.2899999996,10514203.9000000004,
FS(20),2526661.6000000001,2700747.5499999998,2749422.4700000002,2511896.1999999997,10488727.8199999984,
FS(21),2522662.3600000003,2689794.2500000005,2766495.5700000003,2522007.9699999997,10500960.1500000004,
