代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10576698.4299999997
真實報酬,576698.4299999997
趨勢值,0.5968921581

選擇檔數,6
找到最佳解世代,2365
找到最佳解實驗,1
Stock#,DIS,DD,MMM,NKE,UNH,VZ,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,18039,21760,10147,33588,11953,34969,
剩餘資金,42.7900000000,67.5999999999,21.2500000000,29.4400000001,59.2099999999,43.4600000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,9999999.9999999981,
FS(2),1658007.2800000000,1661008.3999999999,1681683.5599999998,1670024.8000000000,1661287.1499999999,1641488.3200000001,9973503.5099999998,
FS(3),1684344.2200000002,1650563.5999999996,1692845.2600000002,1670360.6800000002,1647541.2000000002,1639040.4900000000,9984699.4500000011,
FS(4),1667748.3400000001,1646429.1999999997,1689293.8099999998,1678085.9200000002,1646106.8400000001,1646383.9800000002,9974052.0899999999,
FS(5),1703465.5600000001,1662531.6000000001,1722373.0300000000,1709994.5200000000,1696548.5000000000,1659672.2000000002,10154589.4100000001,
FS(6),1702563.6099999999,1655786.0000000000,1735462.6599999999,1715704.4800000002,1708142.9099999999,1666316.3100000001,10183979.9699999988,
FS(7),1707253.7500000000,1669494.7999999998,1728968.5799999998,1717048.0000000000,1696189.9099999999,1673659.8000000003,10192618.8399999999,
FS(8),1713026.2300000000,1677981.2000000000,1768440.4099999999,1692528.7600000002,1746751.0999999999,1632746.0700000001,10231477.7699999996,
FS(9),1762092.3100000001,1662531.6000000001,1776558.0100000002,1705292.2000000002,1750217.4699999997,1632746.0700000001,10289441.6600000001,
FS(10),1766421.6700000002,1656656.3999999997,1754539.0200000000,1686482.9200000002,1820262.0500000000,1614911.8800000001,10299277.9400000013,
FS(11),1762453.0900000001,1647734.7999999998,1768034.5300000000,1683795.8800000004,1819664.3999999999,1656524.9900000000,10338211.6899999995,
FS(12),1788068.4700000002,1647952.3999999999,1745406.7200000000,1702269.2800000003,1810938.7100000000,1676107.6300000001,10370747.2099999990,
FS(13),1792578.2200000002,1653609.9999999998,1753118.4400000002,1732834.3600000003,1802213.0200000000,1672960.4200000004,10407318.4600000009,
FS(14),1772194.1499999999,1649475.5999999999,1755046.3700000001,1716376.2400000002,1786435.0599999998,1681003.2900000003,10360534.7099999990,
FS(15),1761190.3599999999,1673411.6000000001,1740434.6900000002,1722422.0800000003,1797909.9399999999,1689395.8500000003,10384768.5199999996,
FS(16),1762633.4800000000,1683638.8000000000,1744392.0200000000,1736864.9200000002,1820022.9899999998,1730659.2700000003,10478215.4800000004,
FS(17),1772554.9300000002,1675587.5999999999,1747842.0000000000,1724437.3600000003,1835322.8299999998,1756536.3300000001,10512285.0499999989,
FS(18),1782656.7700000000,1679069.1999999997,1760424.2800000000,1730483.2000000002,1826597.1399999999,1771922.6900000002,10551157.2800000012,
FS(19),1785362.6200000001,1683421.2000000000,1750378.7500000000,1713353.3200000001,1818230.0400000000,1787658.7400000000,10538408.6699999999,
FS(20),1797989.9200000002,1673193.9999999998,1753118.4400000002,1700589.8800000004,1883732.4800000000,1782063.7000000002,10590692.4200000018,
FS(21),1788068.4700000002,1726723.5999999996,1742667.0300000000,1681780.6000000001,1892458.1699999999,1744996.5600000001,10576698.4299999997,
