代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10703828.7100000009
真實報酬,703828.7100000009
趨勢值,0.5168106840

選擇檔數,1
找到最佳解世代,1949
找到最佳解實驗,1
Stock#,VZ,
分配資金,10000000,
張數,200521,
剩餘資金,17.7300000005,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9987968.7400000002,9987968.7400000002,
FS(3),9975937.4800000004,9975937.4800000004,
FS(4),10098255.2900000010,10098255.2900000010,
FS(5),10302786.7100000009,10302786.7100000009,
FS(6),10252656.4600000009,10252656.4600000009,
FS(7),10324844.0200000014,10324844.0200000014,
FS(8),10378984.6899999995,10378984.6899999995,
FS(9),10499297.2900000010,10499297.2900000010,
FS(10),10352916.9600000009,10352916.9600000009,
FS(11),10389010.7400000002,10389010.7400000002,
FS(12),10481250.4000000004,10481250.4000000004,
FS(13),10609583.8399999999,10609583.8399999999,
FS(14),10651693.2500000000,10651693.2500000000,
FS(15),10621615.0999999996,10621615.0999999996,
FS(16),10757969.3800000008,10757969.3800000008,
FS(17),10763985.0099999998,10763985.0099999998,
FS(18),10755964.1699999999,10755964.1699999999,
FS(19),10715859.9700000007,10715859.9700000007,
FS(20),10776016.2700000014,10776016.2700000014,
FS(21),10703828.7100000009,10703828.7100000009,
