代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10295645.2099999990
真實報酬,295645.2099999990
趨勢值,0.7891570496

選擇檔數,5
找到最佳解世代,2298
找到最佳解實驗,1
Stock#,AAPL,AXP,HD,MCD,PG,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,17219,26542,14890,16719,23752,
剩餘資金,13.1499999999,60.3000000002,124.1000000000,73.2199999999,81.5999999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),1997761.5299999998,2024153.2200000002,2017719.0999999999,1997659.3400000001,2007125.5999999999,10044418.7899999991,
FS(3),2007920.7400000000,1999203.7399999998,1993895.0999999999,2001337.5200000000,2020426.7200000000,10022783.8199999984,
FS(4),2030305.4399999999,2003185.0400000000,1988385.7999999998,2019059.6600000001,2019714.1599999999,10060650.0999999996,
FS(5),2048901.9599999997,2013536.4199999999,2000000.0000000000,2013542.3900000001,2004750.3999999999,10080731.1699999999,
FS(6),2050968.2400000000,2034504.6000000001,2026653.0999999999,2010532.9700000000,1983136.0799999998,10105794.9899999984,
FS(7),2061988.3999999999,2041405.5200000000,2020697.0999999996,2021065.9399999999,1989311.5999999999,10134468.5599999987,
FS(8),2053378.8999999999,2040609.2600000000,2011316.3999999997,2041463.1199999999,1991449.2800000000,10138216.9599999990,
FS(9),2049762.9099999999,2033708.3400000001,2010869.6999999997,2031431.7200000000,1995487.1199999999,10121259.7899999991,
FS(10),2066293.1499999999,2033177.5000000000,2024121.8000000000,2052330.4700000000,2023989.5199999998,10199912.4399999976,
FS(11),2066120.9599999997,2056799.8799999999,2027546.4999999998,2051661.7100000000,2017338.9600000000,10219468.0099999998,
FS(12),2062504.9700000000,2035566.2800000000,2016081.1999999997,2042800.6400000001,2011876.0000000000,10168829.0899999980,
FS(13),2066293.1499999999,2022560.7000000002,2019208.0999999999,2044138.1600000001,2077194.0000000000,10229394.1099999994,
FS(14),2067670.6699999999,2016456.0400000000,2055986.3999999997,2029425.4399999999,2065555.5199999998,10235094.0699999984,
FS(15),2065776.5799999998,2055207.3600000003,2055837.5000000000,2023908.1699999999,2086932.3199999998,10287661.9299999997,
FS(16),2098664.8699999996,2040874.6800000002,2047201.2999999998,2036280.2300000000,2070305.9199999997,10293326.9999999981,
FS(17),2099698.0099999998,2041936.3600000003,2061793.5000000000,2037784.9399999999,2057004.7999999998,10298217.6099999994,
FS(18),2099870.2000000002,2039813.0000000000,2059857.8000000000,2054169.5600000001,2059855.0399999998,10313565.5999999996,
FS(19),2094360.1199999999,2051226.0600000001,2061942.3999999999,2056844.5999999999,2060567.5999999999,10324940.7799999993,
FS(20),2089538.7999999998,2027338.2600000000,2048690.3000000000,2049321.0499999998,2080756.7999999998,10295645.2099999990,
