代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10320429.8399999999
真實報酬,320429.8399999999
趨勢值,0.6072189586

選擇檔數,2
找到最佳解世代,2600
找到最佳解實驗,1
Stock#,KO,WMT,
分配資金,5000000,5000000,
張數,117896,69608,
剩餘資金,30.6400000004,57.3600000001,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5031831.9200000009,5012529.4400000004,10044361.3600000013,
FS(3),5018863.3600000003,4987470.5600000005,10006333.9199999999,
FS(4),5030652.9600000009,4972156.8000000007,10002809.7600000016,
FS(5),5023579.2000000002,5074480.5600000005,10098059.7599999998,
FS(6),5033010.8799999999,5085617.8400000008,10118628.7199999988,
FS(7),5029474.0000000000,5111372.8000000007,10140846.8000000007,
FS(8),5062484.8799999999,5112068.8799999999,10174553.7599999998,
FS(9),5044800.4800000004,5091882.5600000005,10136683.0400000010,
FS(10),5077811.3600000003,5115549.2800000003,10193360.6399999987,
FS(11),5126148.7200000007,5143392.4800000004,10269541.1999999993,
FS(12),5096674.7200000007,5155921.9199999999,10252596.6399999987,
FS(13),5080169.2800000012,5206735.7599999998,10286905.0400000010,
FS(14),5077811.3600000003,5216480.8799999999,10294292.2400000002,
FS(15),5102569.5200000005,5205343.6000000006,10307913.1199999992,
FS(16),5082527.2000000002,5224137.7599999998,10306664.9599999990,
FS(17),5097853.6800000006,5250588.8000000007,10348442.4800000004,
FS(18),5070737.6000000006,5251284.8799999999,10322022.4800000004,
FS(19),5087243.0400000000,5233186.8000000007,10320429.8399999999,
