代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10575108.4299999978
真實報酬,575108.4299999978
趨勢值,1.0083151535

選擇檔數,7
找到最佳解世代,2604
找到最佳解實驗,1
Stock#,BA,MCD,MSFT,UNH,UTX,V,WBA,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,7193,9367,20956,7653,11701,15303,18284,
剩餘資金,113.1300000000,103.5000000000,0.4800000000,138.5500000000,112.9200000000,35.9500000001,42.0800000001,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1451732.4600000000,1433910.1899999999,1447640.9600000000,1440815.8000000000,1436878.7100000000,1438670.9800000002,1437895.8400000001,10087547.9399999995,
FS(3),1449358.7699999998,1434097.5300000000,1436953.3999999999,1430790.3700000001,1426347.8099999998,1427040.7000000002,1421074.5600000001,10025666.1400000006,
FS(4),1455760.5400000000,1463884.5900000001,1455604.2399999998,1438596.4300000002,1434772.5300000000,1437293.7100000002,1416503.5600000001,10102418.6000000015,
FS(5),1467197.4099999999,1456859.3400000001,1466501.3600000001,1430866.8999999999,1440037.9800000000,1455198.2200000002,1410835.5200000000,10127499.7299999986,
FS(6),1483813.2400000000,1451145.4700000000,1466710.9199999999,1423213.8999999999,1445654.4600000000,1460095.1800000002,1413212.4400000002,10143848.6099999975,
FS(7),1485036.0499999998,1466788.3600000001,1491019.8800000001,1428877.1200000001,1447643.6299999999,1471878.4900000002,1417417.7600000000,10208664.2900000010,
FS(8),1483525.5199999998,1452363.1799999999,1504012.5999999999,1419616.9900000000,1440154.9899999998,1468205.7700000003,1426376.9200000002,10194258.9699999988,
FS(9),1499925.5599999998,1454611.2600000000,1525178.1599999999,1430484.2500000000,1444133.3299999998,1483355.7400000002,1442832.5200000000,10280523.8200000003,
FS(10),1503450.1299999999,1454423.9199999999,1537123.0799999998,1426275.1000000001,1440623.0300000000,1481825.4400000002,1447769.2000000002,10291492.9000000004,
FS(11),1497983.4500000000,1442246.8200000001,1536075.2800000000,1430101.6000000001,1435006.5499999998,1493302.6900000002,1438444.3600000001,10273163.7499999981,
FS(12),1516972.9699999997,1441591.1299999999,1547810.6399999999,1448009.6200000001,1440272.0000000000,1503555.7000000002,1454717.1200000001,10352932.1800000016,
FS(13),1512657.1699999999,1444588.5700000001,1555354.8000000000,1465688.0500000000,1432900.3699999999,1501413.2800000003,1459105.2800000000,10371710.5199999996,
FS(14),1526036.1499999997,1441872.1399999999,1546343.7200000002,1467830.8900000001,1445069.4099999999,1524214.7500000000,1442649.6800000002,10394019.7399999984,
FS(15),1526323.8699999999,1422482.4500000000,1542362.0799999998,1461019.7200000000,1440857.0499999998,1535998.0600000003,1455448.4800000000,10384494.7099999990,
FS(16),1528337.9099999999,1490112.1899999999,1554726.1199999999,1457269.7500000000,1409147.3399999999,1530182.9200000002,1463859.1200000001,10433638.3499999996,
FS(17),1679318.9799999997,1466132.6699999999,1551792.2800000000,1459948.3000000000,1398850.4600000000,1543343.5000000000,1438627.2000000002,10538016.3900000006,
FS(18),1733626.1299999999,1470254.1499999999,1533141.4399999999,1446019.8400000001,1388904.6099999999,1523755.6600000001,1440455.6000000001,10536160.4299999978,
FS(19),1735568.2400000000,1459950.4500000000,1530626.7200000002,1463009.5000000000,1391010.7900000000,1517328.4000000004,1455814.1600000001,10553311.2599999998,
FS(20),1744127.9099999999,1453299.8799999999,1523501.6799999999,1468060.4800000000,1387500.4899999998,1523602.6300000001,1475012.3600000001,10575108.4299999978,
